date_stamp,ethnicity,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-05-20,1,2933,15.8267,15,4.8
2020-05-20,9,6488,35.0097,13,4.2
2020-05-20,0,9111,49.1636,281,90.9
2020-05-21,9,6491,34.2334,13,4.1
2020-05-21,1,3124,16.4759,17,5.4
2020-05-21,0,9346,49.2906,283,90.4
2020-05-22,9,6484,33.433,12,3.8
2020-05-22,1,3324,17.1393,17,5.3
2020-05-22,0,9586,49.4277,286,90.7
2020-05-23,1,3470,17.535,19,5.7
2020-05-23,9,6421,32.4473,13,3.9
2020-05-23,0,9898,50.0177,297,90.2
2020-05-24,9,6556,32.5441,16,4.7
2020-05-24,1,3578,17.7612,20,5.9
2020-05-24,0,10011,49.6947,300,89.2
2020-05-25,1,3706,17.9842,20,5.9
2020-05-25,9,6784,32.9209,16,4.7
2020-05-25,0,10117,49.095,302,89.3
2020-05-26,9,6849,32.6687,18,5.2
2020-05-26,1,3851,18.3687,20,5.8
2020-05-26,0,10265,48.9626,305,88.9
2020-05-27,1,4118,19.3279,22,6.2
2020-05-27,9,6681,31.3574,18,5.0
2020-05-27,0,10507,49.3147,313,88.6
2020-05-28,9,6630,30.5826,19,5.3
2020-05-28,1,4316,19.9087,22,6.1
2020-05-28,0,10733,49.5087,315,88.4
2020-05-29,9,6675,30.2241,20,5.5
2020-05-29,1,4516,20.4483,23,6.3
2020-05-29,0,10894,49.3276,317,88.0
2020-05-30,9,6638,29.4159,21,5.7
2020-05-30,1,4798,21.2621,23,6.3
2020-05-30,0,11130,49.322,320,87.9
2020-05-31,9,6801,29.5619,20,5.4
2020-05-31,1,4930,21.4292,23,6.3
2020-05-31,0,11275,49.009,321,88.1
2020-06-01,9,6964,29.5661,19,5.1
2020-06-01,1,5144,21.8392,23,6.2
2020-06-01,0,11446,48.5947,325,88.5
2020-06-02,9,7339,30.1087,23,6.0
2020-06-02,1,5368,22.0226,26,6.8
2020-06-02,0,11668,47.8687,332,87.1
2020-06-03,0,11937,48.0904,333,85.8247
2020-06-03,1,5613,22.613,28,7.2165
2020-06-03,9,7272,29.2966,27,6.9588
