date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-05-27,US,01,01,AL,543177,11140,0
2021-05-27,US,02,02,AK,70162,369,0
2021-05-27,US,04,04,AZ,879102,17594,0
2021-05-27,US,05,05,AR,340916,5829,0
2021-05-27,US,06,06,CA,3786459,63168,0
2021-05-27,US,08,08,CO,540924,6545,0
2021-05-27,US,09,09,CT,347137,8230,0
2021-05-27,US,10,10,DE,108607,1660,0
2021-05-27,US,11,11,DC,48844,1132,0
2021-05-27,US,12,12,FL,2318480,36733,0
2021-05-27,US,13,13,GA,1122166,20774,0
2021-05-27,US,15,15,HI,36032,498,0
2021-05-27,US,16,16,ID,191877,2090,0
2021-05-27,US,17,17,IL,1379197,25101,0
2021-05-27,US,18,18,IN,742353,13583,0
2021-05-27,US,19,19,IA,371143,6047,0
2021-05-27,US,20,20,KS,315110,5068,0
2021-05-27,US,21,21,KY,457482,6748,0
2021-05-27,US,22,22,LA,470331,10570,0
2021-05-27,US,23,23,ME,67423,825,0
2021-05-27,US,24,24,MD,459095,9581,0
2021-05-27,US,25,25,MA,706272,17850,0
2021-05-27,US,26,26,MI,990638,20301,0
2021-05-27,US,27,27,MN,600408,7496,0
2021-05-27,US,28,28,MS,317276,7304,0
2021-05-27,US,29,29,MO,604987,9490,0
2021-05-27,US,30,30,MT,111623,1610,0
2021-05-27,US,31,31,NE,223243,2236,0
2021-05-27,US,32,32,NV,323481,5578,0
2021-05-27,US,33,33,NH,98613,1349,0
2021-05-27,US,34,34,NJ,1015368,26173,0
2021-05-27,US,35,35,NM,202698,4259,0
2021-05-27,US,36,36,NY,2099246,53229,0
2021-05-27,US,37,37,NC,1000416,13055,0
2021-05-27,US,38,38,ND,109820,1541,0
2021-05-27,US,39,39,OH,1100312,19753,0
2021-05-27,US,40,40,OK,452633,7291,0
2021-05-27,US,41,41,OR,200210,2660,0
2021-05-27,US,42,42,PA,1201228,27130,0
2021-05-27,US,44,44,RI,151691,2708,0
2021-05-27,US,45,45,SC,592243,9711,0
2021-05-27,US,46,46,SD,124105,2004,0
2021-05-27,US,47,47,TN,862098,12428,0
2021-05-27,US,48,48,TX,2950587,51401,0
2021-05-27,US,49,49,UT,405387,2294,0
2021-05-27,US,50,50,VT,24182,255,0
2021-05-27,US,51,51,VA,674439,11152,0
2021-05-27,US,53,53,WA,433701,5754,0
2021-05-27,US,54,54,WV,161046,2792,0
2021-05-27,US,55,55,WI,673738,7814,0
2021-05-27,US,56,56,WY,60048,719,0
2021-05-27,US,66,66,GU,8154,139,0
2021-05-27,US,69,69,MP,181,2,0
2021-05-27,US,72,72,PR,138355,2495,0
2021-05-27,US,78,78,VI,3399,27,0
2021-05-27,US,DP,,,49,0,0
2021-05-27,US,GP,,,103,3,0
2021-05-27,US,RC,,,0,0,0
