date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-11-29,US,01,01,AL,845284,16116,0
2021-11-29,US,02,02,AK,150809,878,0
2021-11-29,US,04,04,AZ,1266809,22230,0
2021-11-29,US,05,05,AR,527794,8655,0
2021-11-29,US,06,06,CA,5078594,74367,0
2021-11-29,US,08,08,CO,826815,9151,0
2021-11-29,US,09,09,CT,420785,8864,0
2021-11-29,US,10,10,DE,152904,2173,0
2021-11-29,US,11,11,DC,66510,1196,0
2021-11-29,US,12,12,FL,3721503,61538,0
2021-11-29,US,13,13,GA,1662995,30471,0
2021-11-29,US,15,15,HI,87585,1018,0
2021-11-29,US,16,16,ID,306209,3921,0
2021-11-29,US,17,17,IL,1804161,28824,0
2021-11-29,US,18,18,IN,1097128,17438,0
2021-11-29,US,19,19,IA,522858,7354,0
2021-11-29,US,20,20,KS,466125,6689,0
2021-11-29,US,21,21,KY,783409,10913,0
2021-11-29,US,22,22,LA,770305,14794,0
2021-11-29,US,23,23,ME,118748,1307,0
2021-11-29,US,24,24,MD,584899,11190,0
2021-11-29,US,25,25,MA,915495,19373,0
2021-11-29,US,26,26,MI,1475053,25399,0
2021-11-29,US,27,27,MN,899739,9506,0
2021-11-29,US,28,28,MS,513622,10264,0
2021-11-29,US,29,29,MO,908715,13033,0
2021-11-29,US,30,30,MT,190424,2638,0
2021-11-29,US,31,31,NE,308384,3146,0
2021-11-29,US,32,32,NV,456803,7984,0
2021-11-29,US,33,33,NH,160287,1694,0
2021-11-29,US,34,34,NJ,1249454,28348,0
2021-11-29,US,35,35,NM,313139,5355,0
2021-11-29,US,36,36,NY,2722936,57477,0
2021-11-29,US,37,37,NC,1532250,18714,0
2021-11-29,US,38,38,ND,161453,1915,0
2021-11-29,US,39,39,OH,1683472,26483,0
2021-11-29,US,40,40,OK,666040,11903,0
2021-11-29,US,41,41,OR,390066,5142,0
2021-11-29,US,42,42,PA,1731154,33308,0
2021-11-29,US,44,44,RI,190975,2927,0
2021-11-29,US,45,45,SC,917833,14209,0
2021-11-29,US,46,46,SD,164867,2328,0
2021-11-29,US,47,47,TN,1314188,16992,0
2021-11-29,US,48,48,TX,4329309,73754,0
2021-11-29,US,49,49,UT,594606,3508,0
2021-11-29,US,50,50,VT,49801,410,0
2021-11-29,US,51,51,VA,967209,14684,0
2021-11-29,US,53,53,WA,773069,9257,0
2021-11-29,US,54,54,WV,294014,4837,0
2021-11-29,US,55,55,WI,974871,9955,0
2021-11-29,US,56,56,WY,110824,1347,0
2021-11-29,US,60,60,AS,4,0,0
2021-11-29,US,66,66,GU,19179,263,0
2021-11-29,US,69,69,MP,395,3,0
2021-11-29,US,72,72,PR,188433,3269,0
2021-11-29,US,78,78,VI,7511,86,0
2021-11-29,US,DP,,,49,0,0
2021-11-29,US,GP,,,103,3,0
2021-11-29,US,RC,,,0,0,0
