date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2020-06-13,US,01,01,AL,25364,773,0
2020-06-13,US,02,02,AK,653,12,0
2020-06-13,US,04,04,AZ,34660,1189,0
2020-06-13,US,05,05,AR,12095,177,0
2020-06-13,US,06,06,CA,151885,5076,0
2020-06-13,US,08,08,CO,29017,1597,0
2020-06-13,US,09,09,CT,44994,4186,0
2020-06-13,US,10,10,DE,10229,419,0
2020-06-13,US,11,11,DC,9709,511,0
2020-06-13,US,12,12,FL,73552,2925,0
2020-06-13,US,13,13,GA,56804,2447,0
2020-06-13,US,15,15,HI,723,17,0
2020-06-13,US,16,16,ID,3353,87,0
2020-06-13,US,17,17,IL,131871,6289,0
2020-06-13,US,18,18,IN,39543,2413,0
2020-06-13,US,19,19,IA,23717,650,0
2020-06-13,US,20,20,KS,11020,245,0
2020-06-13,US,21,21,KY,12445,499,0
2020-06-13,US,22,22,LA,46283,3004,0
2020-06-13,US,23,23,ME,2757,100,0
2020-06-13,US,24,24,MD,61305,2926,0
2020-06-13,US,25,25,MA,105395,7576,0
2020-06-13,US,26,26,MI,65836,6013,0
2020-06-13,US,27,27,MN,30172,1314,0
2020-06-13,US,28,28,MS,19348,889,0
2020-06-13,US,29,29,MO,16208,885,0
2020-06-13,US,30,30,MT,588,18,0
2020-06-13,US,31,31,NE,16640,215,0
2020-06-13,US,32,32,NV,10997,462,0
2020-06-13,US,33,33,NH,5299,318,0
2020-06-13,US,34,34,NJ,167141,12621,0
2020-06-13,US,35,35,NM,9621,431,0
2020-06-13,US,36,36,NY,382630,30795,0
2020-06-13,US,37,37,NC,42845,1127,0
2020-06-13,US,38,38,ND,3058,74,0
2020-06-13,US,39,39,OH,40851,2556,0
2020-06-13,US,40,40,OK,8073,359,0
2020-06-13,US,41,41,OR,5377,173,0
2020-06-13,US,42,42,PA,82944,6211,0
2020-06-13,US,44,44,RI,15947,833,0
2020-06-13,US,45,45,SC,17955,599,0
2020-06-13,US,46,46,SD,5833,75,0
2020-06-13,US,47,47,TN,29549,472,0
2020-06-13,US,48,48,TX,87192,2057,0
2020-06-13,US,49,49,UT,13981,139,0
2020-06-13,US,50,50,VT,1125,55,0
2020-06-13,US,51,51,VA,53869,1541,0
2020-06-13,US,53,53,WA,25825,1207,0
2020-06-13,US,54,54,WV,2274,88,0
2020-06-13,US,55,55,WI,22518,691,0
2020-06-13,US,56,56,WY,1050,18,0
2020-06-13,US,66,66,GU,183,5,0
2020-06-13,US,69,69,MP,30,2,0
2020-06-13,US,72,72,PR,5690,146,0
2020-06-13,US,78,78,VI,72,6,0
2020-06-13,US,DP,,,49,0,0
2020-06-13,US,GP,,,103,3,0
2020-06-13,US,RC,,,0,0,556606
