date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-10-23,US,01,01,AL,819597,15406,0
2021-10-23,US,02,02,AK,133272,698,0
2021-10-23,US,04,04,AZ,1148340,20851,0
2021-10-23,US,05,05,AR,509999,8267,0
2021-10-23,US,06,06,CA,4850807,71341,0
2021-10-23,US,08,08,CO,720620,8029,0
2021-10-23,US,09,09,CT,400226,8739,0
2021-10-23,US,10,10,DE,142058,2064,0
2021-10-23,US,11,11,DC,63588,1186,0
2021-10-23,US,12,12,FL,3678661,58803,0
2021-10-23,US,13,13,GA,1625399,28519,0
2021-10-23,US,15,15,HI,83188,885,0
2021-10-23,US,16,16,ID,285003,3413,0
2021-10-23,US,17,17,IL,1680908,28023,0
2021-10-23,US,18,18,IN,1007681,16470,0
2021-10-23,US,19,19,IA,476426,6848,0
2021-10-23,US,20,20,KS,429672,6215,0
2021-10-23,US,21,21,KY,734137,9559,0
2021-10-23,US,22,22,LA,755631,14462,0
2021-10-23,US,23,23,ME,100967,1122,0
2021-10-23,US,24,24,MD,555366,10796,0
2021-10-23,US,25,25,MA,842652,18911,0
2021-10-23,US,26,26,MI,1247023,23309,0
2021-10-23,US,27,27,MN,770246,8661,0
2021-10-23,US,28,28,MS,501097,9990,0
2021-10-23,US,29,29,MO,852895,12453,0
2021-10-23,US,30,30,MT,170567,2247,0
2021-10-23,US,31,31,NE,278976,2461,0
2021-10-23,US,32,32,NV,434898,7522,0
2021-10-23,US,33,33,NH,131790,1543,0
2021-10-23,US,34,34,NJ,1188709,27848,0
2021-10-23,US,35,35,NM,268891,4987,0
2021-10-23,US,36,36,NY,2530860,56199,0
2021-10-23,US,37,37,NC,1463410,17765,0
2021-10-23,US,38,38,ND,144559,1753,0
2021-10-23,US,39,39,OH,1519304,23955,0
2021-10-23,US,40,40,OK,638957,10540,0
2021-10-23,US,41,41,OR,357526,4284,0
2021-10-23,US,42,42,PA,1534495,30962,0
2021-10-23,US,44,44,RI,177998,2872,0
2021-10-23,US,45,45,SC,891072,13472,0
2021-10-23,US,46,46,SD,152308,2218,0
2021-10-23,US,47,47,TN,1272558,16150,0
2021-10-23,US,48,48,TX,4209200,70202,0
2021-10-23,US,49,49,UT,538895,3128,0
2021-10-23,US,50,50,VT,38573,351,0
2021-10-23,US,51,51,VA,914755,13668,0
2021-10-23,US,53,53,WA,710511,8451,0
2021-10-23,US,54,54,WV,265879,4263,0
2021-10-23,US,55,55,WI,867512,9259,0
2021-10-23,US,56,56,WY,100174,1149,0
2021-10-23,US,60,60,AS,3,0,0
2021-10-23,US,66,66,GU,17508,227,0
2021-10-23,US,69,69,MP,290,3,0
2021-10-23,US,72,72,PR,184541,3220,0
2021-10-23,US,78,78,VI,7134,78,0
2021-10-23,US,DP,,,49,0,0
2021-10-23,US,GP,,,103,3,0
2021-10-23,US,RC,,,0,0,0
