date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-02-26,US,01,01,AL,491849,9869,0
2021-02-26,US,02,02,AK,58263,290,0
2021-02-26,US,04,04,AZ,814528,15897,0
2021-02-26,US,05,05,AR,318638,5407,0
2021-02-26,US,06,06,CA,3559311,51794,0
2021-02-26,US,08,08,CO,426198,5940,0
2021-02-26,US,09,09,CT,279946,7622,0
2021-02-26,US,10,10,DE,86098,1418,0
2021-02-26,US,11,11,DC,40284,1009,0
2021-02-26,US,12,12,FL,1898223,30624,0
2021-02-26,US,13,13,GA,1000822,17219,0
2021-02-26,US,15,15,HI,27606,436,0
2021-02-26,US,16,16,ID,170907,1859,0
2021-02-26,US,17,17,IL,1183569,22675,0
2021-02-26,US,18,18,IN,660071,12531,0
2021-02-26,US,19,19,IA,362951,5463,0
2021-02-26,US,20,20,KS,295997,4692,0
2021-02-26,US,21,21,KY,402926,4600,0
2021-02-26,US,22,22,LA,428592,9587,0
2021-02-26,US,23,23,ME,44296,701,0
2021-02-26,US,24,24,MD,380436,7838,0
2021-02-26,US,25,25,MA,577980,16024,0
2021-02-26,US,26,26,MI,644125,16438,0
2021-02-26,US,27,27,MN,482978,6530,0
2021-02-26,US,28,28,MS,293542,6638,0
2021-02-26,US,29,29,MO,494329,8269,0
2021-02-26,US,30,30,MT,99613,1354,0
2021-02-26,US,31,31,NE,200447,2078,0
2021-02-26,US,32,32,NV,293029,4942,0
2021-02-26,US,33,33,NH,74893,1167,0
2021-02-26,US,34,34,NJ,782833,23192,0
2021-02-26,US,35,35,NM,184736,3685,0
2021-02-26,US,36,36,NY,1624213,47389,0
2021-02-26,US,37,37,NC,855905,11186,0
2021-02-26,US,38,38,ND,99711,1472,0
2021-02-26,US,39,39,OH,964380,17183,0
2021-02-26,US,40,40,OK,423023,4320,0
2021-02-26,US,41,41,OR,154878,2206,0
2021-02-26,US,42,42,PA,928633,23895,0
2021-02-26,US,44,44,RI,125622,2502,0
2021-02-26,US,45,45,SC,513295,8477,0
2021-02-26,US,46,46,SD,112107,1879,0
2021-02-26,US,47,47,TN,772513,11377,0
2021-02-26,US,48,48,TX,2643463,43376,0
2021-02-26,US,49,49,UT,370084,1907,0
2021-02-26,US,50,50,VT,14963,204,0
2021-02-26,US,51,51,VA,572639,8197,0
2021-02-26,US,53,53,WA,338822,4956,0
2021-02-26,US,54,54,WV,131234,2291,0
2021-02-26,US,55,55,WI,616018,6999,0
2021-02-26,US,56,56,WY,54350,671,0
2021-02-26,US,66,66,GU,7734,130,0
2021-02-26,US,69,69,MP,143,2,0
2021-02-26,US,72,72,PR,99860,2023,0
2021-02-26,US,78,78,VI,2636,25,0
2021-02-26,US,DP,,,49,0,0
2021-02-26,US,GP,,,103,3,0
2021-02-26,US,RC,,,0,0,0
