date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-05-19,US,01,01,AL,540891,11045,0
2021-05-19,US,02,02,AK,69756,369,0
2021-05-19,US,04,04,AZ,874605,17497,0
2021-05-19,US,05,05,AR,339406,5805,0
2021-05-19,US,06,06,CA,3772702,62765,0
2021-05-19,US,08,08,CO,534364,6472,0
2021-05-19,US,09,09,CT,345948,8204,0
2021-05-19,US,10,10,DE,107928,1652,0
2021-05-19,US,11,11,DC,48634,1124,0
2021-05-19,US,12,12,FL,2299596,36271,0
2021-05-19,US,13,13,GA,1117475,20569,0
2021-05-19,US,15,15,HI,35585,492,0
2021-05-19,US,16,16,ID,190712,2074,0
2021-05-19,US,17,17,IL,1370247,24864,0
2021-05-19,US,18,18,IN,737282,13518,0
2021-05-19,US,19,19,IA,369984,6018,0
2021-05-19,US,20,20,KS,314058,5054,0
2021-05-19,US,21,21,KY,454044,6678,0
2021-05-19,US,22,22,LA,467055,10509,0
2021-05-19,US,23,23,ME,66316,807,0
2021-05-19,US,24,24,MD,456765,8957,0
2021-05-19,US,25,25,MA,703292,17794,0
2021-05-19,US,26,26,MI,982400,19931,0
2021-05-19,US,27,27,MN,596186,7418,0
2021-05-19,US,28,28,MS,315891,7269,0
2021-05-19,US,29,29,MO,601228,9403,0
2021-05-19,US,30,30,MT,110992,1602,0
2021-05-19,US,31,31,NE,222676,2244,0
2021-05-19,US,32,32,NV,321716,5545,0
2021-05-19,US,33,33,NH,97978,1340,0
2021-05-19,US,34,34,NJ,1012196,26030,0
2021-05-19,US,35,35,NM,201489,4122,0
2021-05-19,US,36,36,NY,2089698,53044,0
2021-05-19,US,37,37,NC,993547,12938,0
2021-05-19,US,38,38,ND,109362,1536,0
2021-05-19,US,39,39,OH,1093534,19628,0
2021-05-19,US,40,40,OK,451473,6918,0
2021-05-19,US,41,41,OR,196788,2601,0
2021-05-19,US,42,42,PA,1190969,26874,0
2021-05-19,US,44,44,RI,150737,2703,0
2021-05-19,US,45,45,SC,589488,9667,0
2021-05-19,US,46,46,SD,123822,1994,0
2021-05-19,US,47,47,TN,859281,12353,0
2021-05-19,US,48,48,TX,2936614,51081,0
2021-05-19,US,49,49,UT,403418,2275,0
2021-05-19,US,50,50,VT,23988,255,0
2021-05-19,US,51,51,VA,671325,11048,0
2021-05-19,US,53,53,WA,424903,5673,0
2021-05-19,US,54,54,WV,159149,2767,0
2021-05-19,US,55,55,WI,670876,7732,0
2021-05-19,US,56,56,WY,59376,713,0
2021-05-19,US,66,66,GU,8118,139,0
2021-05-19,US,69,69,MP,174,2,0
2021-05-19,US,72,72,PR,137147,2461,0
2021-05-19,US,78,78,VI,3288,27,0
2021-05-19,US,DP,,,49,0,0
2021-05-19,US,GP,,,103,3,0
2021-05-19,US,RC,,,0,0,0
