date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,cnt_confirmed,cnt_deaths,cnt_recovered
2021-12-14,US,01,01,AL,854229,16285,0
2021-12-14,US,02,02,AK,153835,887,0
2021-12-14,US,04,04,AZ,1320748,23243,0
2021-12-14,US,05,05,AR,539483,8880,0
2021-12-14,US,06,06,CA,5177395,75428,0
2021-12-14,US,08,08,CO,860004,9740,0
2021-12-14,US,09,09,CT,450315,9000,0
2021-12-14,US,10,10,DE,161650,2225,0
2021-12-14,US,11,11,DC,69540,1203,0
2021-12-14,US,12,12,FL,3754042,62073,0
2021-12-14,US,13,13,GA,1683676,30882,0
2021-12-14,US,15,15,HI,89593,1058,0
2021-12-14,US,16,16,ID,312591,4049,0
2021-12-14,US,17,17,IL,1911649,29367,0
2021-12-14,US,18,18,IN,1166283,18176,0
2021-12-14,US,19,19,IA,549642,7550,0
2021-12-14,US,20,20,KS,490151,6879,0
2021-12-14,US,21,21,KY,817818,11676,0
2021-12-14,US,22,22,LA,777106,14884,0
2021-12-14,US,23,23,ME,131380,1376,0
2021-12-14,US,24,24,MD,592679,11255,0
2021-12-14,US,25,25,MA,985946,19725,0
2021-12-14,US,26,26,MI,1585297,27080,0
2021-12-14,US,27,27,MN,969450,10088,0
2021-12-14,US,28,28,MS,520259,10340,0
2021-12-14,US,29,29,MO,949201,15722,0
2021-12-14,US,30,30,MT,194108,2853,0
2021-12-14,US,31,31,NE,323702,3271,0
2021-12-14,US,32,32,NV,466583,8226,0
2021-12-14,US,33,33,NH,178967,1810,0
2021-12-14,US,34,34,NJ,1311119,28613,0
2021-12-14,US,35,35,NM,332975,5491,0
2021-12-14,US,36,36,NY,2868885,58287,0
2021-12-14,US,37,37,NC,1577154,19033,0
2021-12-14,US,38,38,ND,167818,2005,0
2021-12-14,US,39,39,OH,1796951,27594,0
2021-12-14,US,40,40,OK,684340,12118,0
2021-12-14,US,41,41,OR,402436,5469,0
2021-12-14,US,42,42,PA,1850578,34731,0
2021-12-14,US,44,44,RI,204954,2975,0
2021-12-14,US,45,45,SC,932938,14419,0
2021-12-14,US,46,46,SD,172300,2411,0
2021-12-14,US,47,47,TN,1341702,17809,0
2021-12-14,US,48,48,TX,4401117,74707,0
2021-12-14,US,49,49,UT,614270,3673,0
2021-12-14,US,50,50,VT,56317,436,0
2021-12-14,US,51,51,VA,1003110,14992,0
2021-12-14,US,53,53,WA,794878,9608,0
2021-12-14,US,54,54,WV,308985,5114,0
2021-12-14,US,55,55,WI,1038465,10483,0
2021-12-14,US,56,56,WY,113233,1502,0
2021-12-14,US,60,60,AS,10,0,0
2021-12-14,US,66,66,GU,19340,269,0
2021-12-14,US,69,69,MP,2018,6,0
2021-12-14,US,72,72,PR,190135,3276,0
2021-12-14,US,78,78,VI,9836,88,0
2021-12-14,US,DP,,,49,0,0
2021-12-14,US,GP,,,103,3,0
2021-12-14,US,RC,,,0,0,0
