date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2020-11-19,AD,6066,76,5127,863
2020-11-19,AE,155254,544,146469,8241
2020-11-19,AF,44177,1653,35350,7174
2020-11-19,AG,139,4,127,8
2020-11-19,AL,30623,657,14565,15401
2020-11-19,AM,121979,1870,88388,31721
2020-11-19,AO,14134,333,7062,6739
2020-11-19,AR,1349434,36532,1167514,145388
2020-11-19,AT,228683,2116,149541,77026
2020-11-19,AU,27792,907,25511,1374
2020-11-19,AZ,83994,1053,59465,23476
2020-11-19,BA,76757,2153,41031,33573
2020-11-19,BB,253,7,241,5
2020-11-19,BD,441159,6305,356722,78132
2020-11-19,BE,550264,15196,0,535068
2020-11-19,BF,2686,68,2476,142
2020-11-19,BG,114435,2649,33327,78459
2020-11-19,BH,85317,337,83244,1736
2020-11-19,BI,641,1,575,65
2020-11-19,BJ,2916,43,2579,294
2020-11-19,BN,148,3,145,0
2020-11-19,BO,143756,8889,118691,16176
2020-11-19,BR,5981767,168061,5406066,407640
2020-11-19,BS,7348,163,5516,1669
2020-11-19,BT,378,0,357,21
2020-11-19,BW,9594,31,7296,2267
2020-11-19,BY,119390,1074,99584,18732
2020-11-19,BZ,5018,102,2743,2173
2020-11-19,CA,319247,11394,257310,50543
2020-11-19,CD,12008,323,11215,470
2020-11-19,CF,4907,63,1924,2920
2020-11-19,CG,5632,93,3887,1652
2020-11-19,CH,285655,3879,180700,101076
2020-11-19,CI,21083,129,20729,225
2020-11-19,CL,536012,14955,511874,9183
2020-11-19,CM,23528,435,22177,916
2020-11-19,CN,91935,4742,86727,466
2020-11-19,CO,1225490,34761,1132393,58336
2020-11-19,CR,128231,1599,78851,47781
2020-11-19,CU,7725,131,7201,393
2020-11-19,CV,10082,104,9557,421
2020-11-19,CY,7979,41,2021,5917
2020-11-19,CZ,481755,6874,379380,95501
2020-11-19,DE,891525,13662,570961,306902
2020-11-19,DJ,5658,61,5550,47
2020-11-19,DK,67621,773,52958,13890
2020-11-19,DM,68,0,41,27
2020-11-19,DO,136183,2301,111527,22355
2020-11-19,DZ,71652,2224,46962,22466
2020-11-19,EC,183246,13073,160639,9534
2020-11-19,EE,8715,86,5264,3365
2020-11-19,EG,111955,6508,101564,3883
2020-11-19,ER,527,0,456,71
2020-11-19,ES,1541574,42291,150376,1348907
2020-11-19,ET,104427,1607,64983,37837
2020-11-19,FI,20286,374,15300,4612
2020-11-19,FJ,35,2,32,1
2020-11-19,FR,2138704,47198,153145,1938361
2020-11-19,GA,9116,59,8965,92
2020-11-19,GB,1456940,53870,3242,1399828
2020-11-19,GD,36,0,30,6
2020-11-19,GE,93092,853,73877,18362
2020-11-19,GH,50631,323,49103,1205
2020-11-19,GM,3705,122,3578,5
2020-11-19,GN,12713,75,11689,949
2020-11-19,GQ,5121,85,4975,61
2020-11-19,GR,85261,1347,23074,60840
2020-11-19,GT,117066,4050,106305,6711
2020-11-19,GW,2421,43,2286,92
2020-11-19,GY,4976,143,3965,868
2020-11-19,HN,103488,2839,45082,55567
2020-11-19,HR,93879,1200,74865,17814
2020-11-19,HT,9191,232,7820,1139
2020-11-19,HU,161461,3472,36345,121644
2020-11-19,ID,483518,15600,406612,61306
2020-11-19,IE,69473,2010,23364,44099
2020-11-19,IL,327355,2778,315469,9108
2020-11-19,IN,9004365,132162,8428409,443794
2020-11-19,IQ,529226,11834,457490,59902
2020-11-19,IR,815117,43417,583704,187996
2020-11-19,IS,5231,25,4973,233
2020-11-19,IT,1308528,47870,498987,761671
2020-11-19,JM,10088,235,5407,4446
2020-11-19,JO,169395,2053,100280,67062
2020-11-19,JP,125859,1920,106074,17865
2020-11-19,KE,74145,1330,50658,22157
2020-11-19,KG,68316,1217,59362,7737
2020-11-19,KH,304,0,291,13
2020-11-19,KM,592,7,563,22
2020-11-19,KN,19,0,19,0
2020-11-19,KR,30017,501,26263,3253
2020-11-19,KW,138822,859,130426,7537
2020-11-19,KZ,164578,2368,141297,20913
2020-11-19,LA,25,0,23,2
2020-11-19,LB,111946,868,63404,47674
2020-11-19,LC,203,2,60,141
2020-11-19,LI,1072,8,865,199
2020-11-19,LK,18841,73,12903,5865
2020-11-19,LR,1539,82,1331,126
2020-11-19,LS,2065,44,1273,748
2020-11-19,LT,40492,341,10008,30143
2020-11-19,LU,29243,254,19231,9758
2020-11-19,LV,11722,141,1557,10024
2020-11-19,LY,76006,1062,46793,28151
2020-11-19,MA,311554,5090,257992,48472
2020-11-19,MC,573,3,497,73
2020-11-19,MD,93961,2091,75530,16340
2020-11-19,ME,29577,420,18744,10413
2020-11-19,MG,17310,250,16592,468
2020-11-19,MH,4,0,1,3
2020-11-19,MK,51213,1423,30204,19586
2020-11-19,ML,4093,142,2997,954
2020-11-19,MM,74882,1676,55633,17573
2020-11-19,MN,555,0,335,220
2020-11-19,MR,8034,168,7554,312
2020-11-19,MT,8560,104,6301,2155
2020-11-19,MU,494,10,433,51
2020-11-19,MV,12452,45,11475,932
2020-11-19,MW,6002,185,5435,382
2020-11-19,MX,1019543,100104,766361,153078
2020-11-19,MY,51680,326,38132,13222
2020-11-19,MZ,14723,120,12849,1754
2020-11-19,NA,13662,141,13182,339
2020-11-19,NE,1335,70,1153,112
2020-11-19,NG,65839,1165,61573,3101
2020-11-19,NI,5725,159,4225,1341
2020-11-19,NL,474641,8846,6566,459229
2020-11-19,NO,31441,305,17998,13138
2020-11-19,NP,215020,1276,185638,28106
