date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2021-09-09,AD,15078,130,0,14948
2021-09-09,AE,726797,2057,0,724740
2021-09-09,AF,153840,7157,0,146683
2021-09-09,AG,2059,47,0,2012
2021-09-09,AL,154316,2531,0,151785
2021-09-09,AM,246997,4968,0,242029
2021-09-09,AO,49628,1313,0,48315
2021-09-09,AR,5218993,113099,0,5105894
2021-09-09,AT,703572,10822,0,692750
2021-09-09,AU,69912,1076,0,68836
2021-09-09,AZ,447725,5920,0,441805
2021-09-09,BA,219804,9976,0,209828
2021-09-09,BB,5651,51,0,5600
2021-09-09,BD,1524890,26794,0,1498096
2021-09-09,BE,1203326,25447,0,1177879
2021-09-09,BF,13872,171,0,13701
2021-09-09,BG,468300,19387,0,448913
2021-09-09,BH,273454,1388,0,272066
2021-09-09,BI,12585,38,0,12547
2021-09-09,BJ,19106,141,0,18965
2021-09-09,BN,3831,17,0,3814
2021-09-09,BO,493914,18541,0,475373
2021-09-09,BR,20958899,585174,0,20373725
2021-09-09,BS,19139,453,0,18686
2021-09-09,BT,2596,3,0,2593
2021-09-09,BW,163665,2325,0,161340
2021-09-09,BY,497420,3882,0,493538
2021-09-09,BZ,17405,373,0,17032
2021-09-09,CA,1541555,27190,0,1514365
2021-09-09,CD,56085,1068,0,55017
2021-09-09,CF,11309,100,0,11209
2021-09-09,CG,13701,183,0,13518
2021-09-09,CH,805164,10945,0,794219
2021-09-09,CI,57424,492,0,56932
2021-09-09,CL,1642646,37159,0,1605487
2021-09-09,CM,84210,1357,0,82853
2021-09-09,CN,107324,4848,0,102476
2021-09-09,CO,4925000,125480,0,4799520
2021-09-09,CR,486959,5721,0,481238
2021-09-09,CU,720739,6056,0,714683
2021-09-09,CV,36327,318,0,36009
2021-09-09,CY,115831,526,0,115305
2021-09-09,CZ,1682054,30413,0,1651641
2021-09-09,DE,4068495,92559,0,3975936
2021-09-09,DJ,11824,157,0,11667
2021-09-09,DK,352400,2606,0,349794
2021-09-09,DM,2175,6,0,2169
2021-09-09,DO,352441,4014,0,348427
2021-09-09,DZ,199275,5519,0,193756
2021-09-09,EC,504781,32391,0,472390
2021-09-09,EE,145345,1307,0,144038
2021-09-09,EG,291585,16836,0,274749
2021-09-09,ER,6654,40,0,6614
2021-09-09,ES,4903021,85218,0,4817803
2021-09-09,ET,320453,4857,0,315596
2021-09-09,FI,132172,1042,0,131130
2021-09-09,FJ,48572,533,0,48039
2021-09-09,FM,1,0,0,1
2021-09-09,FR,6962917,115941,0,6846976
2021-09-09,GA,26379,169,0,26210
2021-09-09,GB,7165200,134166,0,7031034
2021-09-09,GD,1748,14,0,1734
2021-09-09,GE,572948,8035,0,564913
2021-09-09,GH,122543,1084,0,121459
2021-09-09,GM,9820,328,0,9492
2021-09-09,GN,29953,363,0,29590
2021-09-09,GQ,10284,129,0,10155
2021-09-09,GR,609519,14060,0,595459
2021-09-09,GT,500840,12544,0,488296
2021-09-09,GW,5958,124,0,5834
2021-09-09,GY,27301,659,0,26642
2021-09-09,HN,348894,9224,0,339670
2021-09-09,HR,380904,8405,0,372499
2021-09-09,HT,21124,588,0,20536
2021-09-09,HU,814409,30080,0,784329
2021-09-09,ID,4153355,138116,0,4015239
2021-09-09,IE,362228,5155,0,357073
2021-09-09,IL,1145932,7313,0,1138619
2021-09-09,IN,33174954,442009,0,32732945
2021-09-09,IQ,1939408,21333,0,1918075
2021-09-09,IR,5237799,112935,0,5124864
2021-09-09,IS,11173,33,0,11140
2021-09-09,IT,4590941,129766,0,4461175
2021-09-09,JM,74007,1685,0,72322
2021-09-09,JO,804326,10501,0,793825
2021-09-09,JP,1617099,16649,0,1600450
2021-09-09,KE,242284,4864,0,237420
2021-09-09,KG,176883,2563,0,174320
2021-09-09,KH,97524,2007,0,95517
2021-09-09,KI,2,0,0,2
2021-09-09,KM,4093,147,0,3946
2021-09-09,KN,1352,5,0,1347
2021-09-09,KR,269362,2348,0,267014
2021-09-09,KW,410631,2428,0,408203
2021-09-09,KZ,904471,14423,0,890048
2021-09-09,LA,16742,16,0,16726
2021-09-09,LB,611097,8157,0,602940
2021-09-09,LC,9403,128,0,9275
2021-09-09,LI,3365,59,0,3306
2021-09-09,LK,477636,10864,0,466772
2021-09-09,LR,5727,245,0,5482
2021-09-09,LS,14395,403,0,13992
2021-09-09,LT,305605,4641,0,300964
2021-09-09,LU,76540,833,0,75707
2021-09-09,LV,145893,2598,0,143295
2021-09-09,LY,321370,4397,0,316973
2021-09-09,MA,896913,13370,0,883543
2021-09-09,MC,3265,33,0,3232
2021-09-09,MD,273056,6478,0,266578
2021-09-09,ME,120149,1785,0,118364
2021-09-09,MG,42884,957,0,41927
2021-09-09,MH,4,0,0,4
2021-09-09,MK,181875,6184,0,175691
2021-09-09,ML,14968,542,0,14426
2021-09-09,MM,425414,16265,0,409149
2021-09-09,MN,247399,992,0,246407
2021-09-09,MR,34594,743,0,33851
2021-09-09,MT,36636,446,0,36190
2021-09-09,MU,12783,37,0,12746
2021-09-09,MV,82475,227,0,82248
2021-09-09,MW,60995,2229,0,58766
2021-09-09,MX,3479999,266150,0,3213849
2021-09-09,MY,1919774,19486,0,1900288
2021-09-09,MZ,148727,1891,0,146836
2021-09-09,NA,125966,3422,0,122544
2021-09-09,NE,5908,199,0,5709
2021-09-09,NG,197773,2585,0,195188
2021-09-09,NI,12350,201,0,12149
2021-09-09,NL,2000376,18439,0,1981937
2021-09-09,NO,173348,827,0,172521
2021-09-09,NP,774587,10903,0,763684
2021-09-09,NZ,3867,27,0,3840
2021-09-09,OM,302924,4084,0,298840
2021-09-09,PA,461230,7112,0,454118
2021-09-09,PE,2158493,198621,0,1959872
2021-09-09,PG,18339,194,0,18145
2021-09-09,PH,2161892,34733,0,2127159
2021-09-09,PK,1197887,26580,0,1171307
2021-09-09,PL,2892113,75409,0,2816704
2021-09-09,PS,364364,3780,0,360584
2021-09-09,PT,1052127,17836,0,1034291
2021-09-09,PW,2,0,0,2
2021-09-09,PY,459133,16028,0,443105
2021-09-09,QA,234236,604,0,233632
2021-09-09,RO,1113381,34871,0,1078510
2021-09-09,RS,800359,7468,0,792891
2021-09-09,RU,6982628,186999,0,6795629
2021-09-09,RW,91555,1153,0,90402
2021-09-09,SA,545727,8604,0,537123
2021-09-09,SB,20,0,0,20
2021-09-09,SC,20593,106,0,20487
2021-09-09,SD,37931,2837,0,35094
2021-09-09,SE,1136535,14702,0,1121833
2021-09-09,SG,70039,57,0,69982
2021-09-09,SI,273529,4462,0,269067
2021-09-09,SK,397382,12556,0,384826
2021-09-09,SL,6378,121,0,6257
2021-09-09,SM,5366,90,0,5276
2021-09-09,SN,73353,1825,0,71528
2021-09-09,SO,18273,1017,0,17256
2021-09-09,SR,32189,752,0,31437
2021-09-09,SS,11589,120,0,11469
2021-09-09,ST,2738,39,0,2699
2021-09-09,SV,98122,2995,0,95127
2021-09-09,SY,29086,2060,0,27026
2021-09-09,SZ,44646,1166,0,43480
2021-09-09,TD,5011,174,0,4837
2021-09-09,TG,23264,203,0,23061
2021-09-09,TH,1338550,13731,0,1324819
2021-09-09,TJ,17442,125,0,17317
2021-09-09,TL,18211,88,0,18123
2021-09-09,TN,680074,24041,0,656033
2021-09-09,TR,6590384,59170,0,6531214
2021-09-09,TT,46553,1350,0,45203
2021-09-09,TW,16062,838,0,15224
2021-09-09,TZ,1367,50,0,1317
2021-09-09,UA,2408595,57552,0,2351043
2021-09-09,UG,120990,3074,0,117916
2021-09-09,US,40601792,654583,0,39947209
2021-09-09,UY,386258,6037,0,380221
2021-09-09,UZ,162421,1137,0,161284
2021-09-09,VA,27,0,0,27
2021-09-09,VC,2391,12,0,2379
2021-09-09,VE,344297,4167,0,340130
2021-09-09,VN,576096,14470,0,561626
2021-09-09,VU,4,1,0,3
2021-09-09,WS,3,0,0,3
2021-09-09,XK,155310,2728,0,152582
2021-09-09,YE,8267,1549,0,6718
2021-09-09,ZA,2843042,84327,0,2758715
2021-09-09,ZM,207560,3623,0,203937
2021-09-09,ZW,126056,4521,0,121535
