date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2022-03-21,AD,39234,153,0,39081
2022-03-21,AE,888070,2302,0,885768
2022-03-21,AF,177191,7654,0,169537
2022-03-21,AG,7473,135,0,7338
2022-03-21,AL,273088,3487,0,269601
2022-03-21,AM,422328,8598,0,413730
2022-03-21,AO,99010,1900,0,97110
2022-03-21,AR,9011367,127599,0,8883768
2022-03-21,AT,3498075,15432,0,3482643
2022-03-21,AU,3996431,5763,0,3990668
2022-03-21,AZ,791511,9659,0,781852
2022-03-21,BA,374276,15677,0,358599
2022-03-21,BB,57800,329,0,57471
2022-03-21,BD,1950725,29117,0,1921608
2022-03-21,BE,3728945,30575,0,3698370
2022-03-21,BF,20813,379,0,20434
2022-03-21,BG,1126146,36330,0,1089816
2022-03-21,BH,545761,1465,0,544296
2022-03-21,BI,38372,38,0,38334
2022-03-21,BJ,26952,163,0,26789
2022-03-21,BN,126109,193,0,125916
2022-03-21,BO,899999,21483,0,878516
2022-03-21,BR,29650082,657595,0,28992487
2022-03-21,BS,33230,787,0,32443
2022-03-21,BT,22385,9,0,22376
2022-03-21,BW,263950,2619,0,261331
2022-03-21,BY,951758,6727,0,945031
2022-03-21,BZ,57168,654,0,56514
2022-03-21,CA,3413117,37254,0,3375863
2022-03-21,CD,86461,1335,0,85126
2022-03-21,CF,14649,113,0,14536
2022-03-21,CG,24062,384,0,23678
2022-03-21,CH,3329950,13445,0,3316505
2022-03-21,CI,81667,796,0,80871
2022-03-21,CL,3401145,55965,0,3345180
2022-03-21,CM,119544,1927,0,117617
2022-03-21,CN,1194502,10757,0,1183745
2022-03-21,CO,6081639,139471,0,5942168
2022-03-21,CR,831152,8244,0,822908
2022-03-21,CU,1082201,8507,0,1073694
2022-03-21,CV,55927,401,0,55526
2022-03-21,CY,382642,920,0,381722
2022-03-21,CZ,3740174,39374,0,3700800
2022-03-21,DE,18810035,126933,0,18683102
2022-03-21,DJ,15573,189,0,15384
2022-03-21,DK,3056722,5478,0,3051244
2022-03-21,DM,11745,62,0,11683
2022-03-21,DO,577354,4375,0,572979
2022-03-21,DZ,265562,6872,0,258690
2022-03-21,EC,854252,35410,0,818842
2022-03-21,EE,543053,2397,0,540656
2022-03-21,EG,500889,24361,0,476528
2022-03-21,ER,9723,103,0,9620
2022-03-21,ES,11324637,101703,0,11222934
2022-03-21,ET,469469,7489,0,461980
2022-03-21,FI,812017,2881,0,809136
2022-03-21,FJ,64327,834,0,63493
2022-03-21,FM,1,0,0,1
2022-03-21,FR,24347772,142114,0,24205658
2022-03-21,GA,47581,303,0,47278
2022-03-21,GB,20470351,164266,0,20306085
2022-03-21,GD,13936,217,0,13719
2022-03-21,GE,1642242,16671,0,1625571
2022-03-21,GH,160863,1445,0,159418
2022-03-21,GM,11978,365,0,11613
2022-03-21,GN,36459,440,0,36019
2022-03-21,GQ,15899,183,0,15716
2022-03-21,GR,2812182,26995,0,2785187
2022-03-21,GT,816653,17241,0,799412
2022-03-21,GW,8113,169,0,7944
2022-03-21,GY,63195,1226,0,61969
2022-03-21,HN,418300,10857,0,407443
2022-03-21,HR,1084304,15451,0,1068853
2022-03-21,HT,30509,827,0,29682
2022-03-21,HU,1829928,45095,0,1784833
2022-03-21,ID,5967182,153892,0,5813290
2022-03-21,IE,1390177,6664,0,1383513
2022-03-21,IL,3785806,10431,0,3775375
2022-03-21,IN,43010971,516543,0,42494428
2022-03-21,IQ,2316306,25131,0,2291175
2022-03-21,IR,7142287,139662,0,7002625
2022-03-21,IS,173796,91,0,173705
2022-03-21,IT,13895188,157904,0,13737284
2022-03-21,JM,128565,2869,0,125696
2022-03-21,JO,1689314,14003,0,1675311
2022-03-21,JP,6127897,27180,0,6100717
2022-03-21,KE,323289,5647,0,317642
2022-03-21,KG,200818,2980,0,197838
2022-03-21,KH,135085,3052,0,132033
2022-03-21,KI,3061,13,0,3048
2022-03-21,KM,8077,160,0,7917
2022-03-21,KN,5548,42,0,5506
2022-03-21,KR,9936540,13141,0,9923399
2022-03-21,KW,627584,2553,0,625031
2022-03-21,KZ,1393456,19004,0,1374452
2022-03-21,LA,154094,649,0,153445
2022-03-21,LB,1088595,10252,0,1078343
2022-03-21,LC,22891,365,0,22526
2022-03-21,LI,15458,83,0,15375
2022-03-21,LK,658493,16436,0,642057
2022-03-21,LR,7397,294,0,7103
2022-03-21,LS,32775,697,0,32078
2022-03-21,LT,993953,8736,0,985217
2022-03-21,LU,201718,1015,0,200703
2022-03-21,LV,772390,5514,0,766876
2022-03-21,LY,501135,6377,0,494758
2022-03-21,MA,1162539,16052,0,1146487
2022-03-21,MC,10175,54,0,10121
2022-03-21,MD,510700,11389,0,499311
2022-03-21,ME,232249,2696,0,229553
2022-03-21,MG,63928,1380,0,62548
2022-03-21,MH,7,0,0,7
2022-03-21,MK,303418,9184,0,294234
2022-03-21,ML,30454,727,0,29727
2022-03-21,MM,609288,19425,0,589863
2022-03-21,MN,917213,2177,0,915036
2022-03-21,MR,58665,981,0,57684
2022-03-21,MT,74769,624,0,74145
2022-03-21,MU,192558,934,0,191624
2022-03-21,MV,174658,297,0,174361
2022-03-21,MW,85563,2626,0,82937
2022-03-21,MX,5634829,322092,0,5312737
2022-03-21,MY,4010952,34463,0,3976489
2022-03-21,MZ,225211,2200,0,223011
2022-03-21,NA,157523,4016,0,153507
2022-03-21,NE,8794,308,0,8486
2022-03-21,NG,255103,3142,0,251961
2022-03-21,NI,18290,228,0,18062
2022-03-21,NL,7718814,22410,0,7696404
