date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2022-01-24,AD,33025,144,0,32881
2022-01-24,AE,828328,2219,0,826109
2022-01-24,AF,159896,7393,0,152503
2022-01-24,AG,6023,122,0,5901
2022-01-24,AL,248070,3305,0,244765
2022-01-24,AM,352399,8028,0,344371
2022-01-24,AO,97263,1888,0,95375
2022-01-24,AR,7940657,119444,0,7821213
2022-01-24,AT,1625651,14000,0,1611651
2022-01-24,AU,2287126,3230,0,2283896
2022-01-24,AZ,634488,8619,0,625869
2022-01-24,BA,334141,14085,0,320056
2022-01-24,BB,39709,276,0,39433
2022-01-24,BD,1699964,28238,0,1671726
2022-01-24,BE,2830719,28835,0,2801884
2022-01-24,BF,20514,353,0,20161
2022-01-24,BG,891277,32796,0,858481
2022-01-24,BH,334164,1399,0,332765
2022-01-24,BI,37042,38,0,37004
2022-01-24,BJ,26309,163,0,26146
2022-01-24,BN,16148,98,0,16050
2022-01-24,BO,820583,20671,0,799912
2022-01-24,BR,24142032,623636,0,23518396
2022-01-24,BS,32137,729,0,31408
2022-01-24,BT,3811,3,0,3808
2022-01-24,BW,245904,2565,0,243339
2022-01-24,BY,728804,5949,0,722855
2022-01-24,BZ,47147,622,0,46525
2022-01-24,CA,2901603,32413,0,2869190
2022-01-24,CD,84519,1278,0,83241
2022-01-24,CF,13611,109,0,13502
2022-01-24,CG,23485,371,0,23114
2022-01-24,CH,1966600,12621,0,1953979
2022-01-24,CI,80249,779,0,79470
2022-01-24,CL,1984190,39535,0,1944655
2022-01-24,CM,114113,1867,0,112246
2022-01-24,CN,118888,4849,0,114039
2022-01-24,CO,5761398,132477,0,5628921
2022-01-24,CR,643496,7451,0,636045
2022-01-24,CU,1025419,8367,0,1017052
2022-01-24,CV,55401,391,0,55010
2022-01-24,CY,241888,713,0,241175
2022-01-24,CZ,2763800,37050,0,2726750
2022-01-24,DE,8909503,116967,0,8792536
2022-01-24,DJ,15349,189,0,15160
2022-01-24,DK,1462869,3642,0,1459227
2022-01-24,DM,8517,49,0,8468
2022-01-24,DO,542056,4289,0,537767
2022-01-24,DZ,238885,6508,0,232377
2022-01-24,EC,658045,34279,0,623766
2022-01-24,EE,296466,2008,0,294458
2022-01-24,EG,411749,22396,0,389353
2022-01-24,ER,9332,95,0,9237
2022-01-24,ES,9280890,91994,0,9188896
2022-01-24,ET,462514,7265,0,455249
2022-01-24,FI,371135,1724,0,369411
