date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2022-04-09,AD,40328,153,0,40175
2022-04-09,AE,893538,2302,0,891236
2022-04-09,AF,177974,7671,0,170303
2022-04-09,AG,7511,135,0,7376
2022-04-09,AL,274191,3492,0,270699
2022-04-09,AM,422662,8620,0,414042
2022-04-09,AO,99194,1900,0,97294
2022-04-09,AR,9052083,128197,0,8923886
2022-04-09,AT,3976750,16208,0,3960542
2022-04-09,AU,5059642,6562,0,5053080
2022-04-09,AZ,792216,9703,0,782513
2022-04-09,BA,376081,15732,0,360349
2022-04-09,BB,61953,379,0,61574
2022-04-09,BD,1952023,29123,0,1922900
2022-04-09,BE,3915732,30997,0,3884735
2022-04-09,BF,20858,382,0,20476
2022-04-09,BG,1145143,36692,0,1108451
2022-04-09,BH,559431,1472,0,557959
2022-04-09,BI,38663,38,0,38625
2022-04-09,BJ,26952,163,0,26789
2022-04-09,BN,138261,215,0,138046
2022-04-09,BO,903306,21899,0,881407
2022-04-09,BR,30146769,661475,0,29485294
2022-04-09,BS,33346,789,0,32557
2022-04-09,BT,40629,14,0,40615
2022-04-09,BW,305526,2686,0,302840
2022-04-09,BY,969616,6872,0,962744
2022-04-09,BZ,57318,660,0,56658
2022-04-09,CA,3545510,37928,0,3507582
2022-04-09,CD,86748,1337,0,85411
2022-04-09,CF,14649,113,0,14536
2022-04-09,CG,24079,385,0,23694
2022-04-09,CH,3528689,13607,0,3515082
2022-04-09,CI,81814,796,0,81018
2022-04-09,CL,3508556,56997,0,3451559
2022-04-09,CM,119780,1927,0,117853
2022-04-09,CN,1575964,13343,0,1562621
2022-04-09,CO,6087737,139713,0,5948024
2022-04-09,CR,841343,8327,0,833016
2022-04-09,CU,1096234,8517,0,1087717
2022-04-09,CV,55971,401,0,55570
2022-04-09,CY,456126,980,0,455146
2022-04-09,CZ,3862322,39880,0,3822442
2022-04-09,DE,22684849,131715,0,22553134
2022-04-09,DJ,15594,189,0,15405
2022-04-09,DK,3130061,5934,0,3124127
2022-04-09,DM,11953,63,0,11890
2022-04-09,DO,578416,4375,0,574041
2022-04-09,DZ,265720,6874,0,258846
2022-04-09,EC,863398,35461,0,827937
2022-04-09,EE,563684,2490,0,561194
2022-04-09,EG,509177,24473,0,484704
2022-04-09,ER,9729,103,0,9626
2022-04-09,ES,11551574,102541,0,11449033
2022-04-09,ET,470025,7509,0,462516
2022-04-09,FI,920692,3334,0,917358
2022-04-09,FJ,64492,834,0,63658
2022-04-09,FM,1,0,0,1
2022-04-09,FR,27029271,144280,0,26884991
2022-04-09,GA,47588,303,0,47285
2022-04-09,GB,21716180,170367,0,21545813
2022-04-09,GD,14024,218,0,13806
2022-04-09,GE,1651322,16770,0,1634552
2022-04-09,GH,161048,1445,0,159603
2022-04-09,GM,11990,365,0,11625
2022-04-09,GN,36459,440,0,36019
2022-04-09,GQ,16001,183,0,15818
2022-04-09,GR,3164995,28076,0,3136919
2022-04-09,GT,835213,17373,0,817840
2022-04-09,GW,8172,170,0,8002
2022-04-09,GY,63315,1226,0,62089
2022-04-09,HN,421268,10888,0,410380
2022-04-09,HR,1108551,15675,0,1092876
2022-04-09,HT,30585,835,0,29750
2022-04-09,HU,1868007,45721,0,1822286
2022-04-09,ID,6031636,155597,0,5876039
2022-04-09,IE,1487164,6863,0,1480301
2022-04-09,IL,3993515,10559,0,3982956
2022-04-09,IN,43035271,521685,0,42513586
2022-04-09,IQ,2321781,25183,0,2296598
2022-04-09,IR,7188749,140577,0,7048172
2022-04-09,IS,183363,105,0,183258
2022-04-09,IT,15238128,160658,0,15077470
2022-04-09,JM,128972,2902,0,126070
2022-04-09,JO,1694216,14048,0,1680168
2022-04-09,JP,6990349,28649,0,6961700
2022-04-09,KE,323531,5648,0,317883
2022-04-09,KG,200969,2991,0,197978
2022-04-09,KH,135914,3055,0,132859
2022-04-09,KI,3069,13,0,3056
2022-04-09,KM,8097,160,0,7937
2022-04-09,KN,5553,43,0,5510
2022-04-09,KR,15333670,19421,0,15314249
2022-04-09,KW,630252,2555,0,627697
2022-04-09,KZ,1394044,19013,0,1375031
2022-04-09,LA,194541,692,0,193849
2022-04-09,LB,1094503,10338,0,1084165
2022-04-09,LC,23029,365,0,22664
2022-04-09,LI,16702,84,0,16618
2022-04-09,LK,662559,16489,0,646070
2022-04-09,LR,7400,294,0,7106
2022-04-09,LS,32910,697,0,32213
