date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2022-10-19,AD,46449,155,0,46294
2022-10-19,AE,1033770,2347,0,1031423
2022-10-19,AF,201557,7812,0,193745
2022-10-19,AG,9106,146,0,8960
2022-10-19,AL,332701,3592,0,329109
2022-10-19,AM,444869,8706,0,436163
2022-10-19,AO,103131,1917,0,101214
2022-10-19,AR,9715464,129970,0,9585494
2022-10-19,AT,5369885,20953,0,5348932
2022-10-19,AU,10313911,15496,0,10298415
2022-10-19,AZ,822751,9935,0,812816
2022-10-19,BA,399584,16161,0,383423
2022-10-19,BB,103014,560,0,102454
2022-10-19,BD,2033419,29410,0,2004009
2022-10-19,BE,4594338,32810,0,4561528
2022-10-19,BF,21631,387,0,21244
2022-10-19,BG,1272645,37812,0,1234833
2022-10-19,BH,686629,1523,0,685106
2022-10-19,BI,50372,38,0,50334
2022-10-19,BJ,27782,163,0,27619
2022-10-19,BN,234582,225,0,234357
2022-10-19,BO,1109123,22237,0,1086886
2022-10-19,BR,34771320,687423,0,34083897
2022-10-19,BS,37334,833,0,36501
2022-10-19,BT,62248,21,0,62227
2022-10-19,BW,326344,2790,0,323554
2022-10-19,BY,994037,7118,0,986919
2022-10-19,BZ,68926,687,0,68239
2022-10-19,CA,4332828,46020,0,4286808
2022-10-19,CD,92972,1444,0,91528
2022-10-19,CF,15151,113,0,15038
2022-10-19,CG,24837,386,0,24451
2022-10-19,CH,4164685,14041,0,4150644
2022-10-19,CI,87657,827,0,86830
2022-10-19,CL,4690513,61459,0,4629054
2022-10-19,CM,121652,1935,0,119717
2022-10-19,CN,2870228,15529,0,2854699
2022-10-19,CO,6308558,141820,0,6166738
2022-10-19,CR,1130568,8982,0,1121586
2022-10-19,CU,1111263,8530,0,1102733
2022-10-19,CV,62397,410,0,61987
2022-10-19,CY,593542,1189,0,592353
2022-10-19,CZ,4147736,41454,0,4106282
2022-10-19,DE,35005769,152100,0,34853669
2022-10-19,DJ,15690,189,0,15501
2022-10-19,DK,3370464,7271,0,3363193
2022-10-19,DM,15760,74,0,15686
2022-10-19,DO,647205,4384,0,642821
2022-10-19,DZ,270768,6881,0,263887
2022-10-19,EC,1006922,35904,0,971018
2022-10-19,EE,605622,2729,0,602893
2022-10-19,EG,515645,24798,0,490847
2022-10-19,ER,10185,103,0,10082
2022-10-19,ES,13462593,114641,0,13347952
2022-10-19,ET,493818,7572,0,486246
2022-10-19,FI,1323455,6242,0,1317213
2022-10-19,FJ,68248,878,0,67370
2022-10-19,FM,21815,55,0,21760
2022-10-19,FR,36636069,157227,0,36478842
2022-10-19,GA,48810,306,0,48504
2022-10-19,GB,24021973,208678,0,23813295
2022-10-19,GD,19584,237,0,19347
2022-10-19,GE,1780691,16900,0,1763791
2022-10-19,GH,170321,1460,0,168861
2022-10-19,GM,12508,372,0,12136
2022-10-19,GN,37999,456,0,37543
2022-10-19,GQ,17131,183,0,16948
2022-10-19,GR,5081981,33426,0,5048555
2022-10-19,GT,1134947,19861,0,1115086
2022-10-19,GW,8831,176,0,8655
2022-10-19,GY,71418,1281,0,70137
2022-10-19,HN,456886,11007,0,445879
2022-10-19,HR,1242909,17046,0,1225863
2022-10-19,HT,33764,857,0,32907
2022-10-19,HU,2132490,47798,0,2084692
2022-10-19,ID,6462655,158361,0,6304294
2022-10-19,IE,1670377,8010,0,1662367
2022-10-19,IL,4675027,11728,0,4663299
2022-10-19,IN,44636517,528943,0,44107574
2022-10-19,IQ,2460868,25356,0,2435512
2022-10-19,IR,7555355,144531,0,7410824
2022-10-19,IS,206134,213,0,205921
2022-10-19,IT,23214073,178275,0,23035798
2022-10-19,JM,151931,3320,0,148611
2022-10-19,JO,1746997,14122,0,1732875
2022-10-19,JP,21887525,46120,0,21841405
2022-10-19,KE,338678,5678,0,333000
2022-10-19,KG,206334,2991,0,203343
2022-10-19,KH,137976,3056,0,134920
2022-10-19,KI,3430,13,0,3417
2022-10-19,KM,8481,161,0,8320
2022-10-19,KN,6547,46,0,6501
2022-10-19,KP,1,6,0,-5
2022-10-19,KR,25219546,28922,0,25190624
2022-10-19,KW,661335,2565,0,658770
2022-10-19,KZ,1484400,19052,0,1465348
2022-10-19,LA,216158,758,0,215400
2022-10-19,LB,1217831,10696,0,1207135
2022-10-19,LC,29550,405,0,29145
2022-10-19,LI,20465,86,0,20379
2022-10-19,LK,670952,16772,0,654180
2022-10-19,LR,7988,294,0,7694
2022-10-19,LS,34490,706,0,33784
2022-10-19,LT,1263538,9369,0,1254169
2022-10-19,LU,299022,1139,0,297883
2022-10-19,LV,946092,6036,0,940056
2022-10-19,LY,507024,6437,0,500587
2022-10-19,MA,1265301,16280,0,1249021
2022-10-19,MC,14852,63,0,14789
2022-10-19,MD,592535,11879,0,580656
2022-10-19,ME,282052,2784,0,279268
2022-10-19,MG,66687,1410,0,65277
2022-10-19,MH,15389,17,0,15372
2022-10-19,MK,343824,9556,0,334268
2022-10-19,ML,32712,742,0,31970
2022-10-19,MM,629653,19472,0,610181
2022-10-19,MN,984144,2131,0,982013
2022-10-19,MR,63194,995,0,62199
2022-10-19,MT,115103,806,0,114297
2022-10-19,MU,263780,1032,0,262748
2022-10-19,MV,185194,308,0,184886
2022-10-19,MW,88064,2683,0,85381
2022-10-19,MX,7103339,330279,0,6773060
2022-10-19,MY,4872570,36429,0,4836141
2022-10-19,MZ,230370,2224,0,228146
2022-10-19,NA,169253,4080,0,165173
2022-10-19,NE,9415,314,0,9101
2022-10-19,NG,265937,3155,0,262782
2022-10-19,NI,15145,245,0,14900
2022-10-19,NL,8598636,23394,0,8575242
2022-10-19,NO,1463751,4154,0,1459597
2022-10-19,NP,1000275,12018,0,988257
2022-10-19,NR,4611,1,0,4610
2022-10-19,NZ,1821362,2066,0,1819296
2022-10-19,OM,398660,4628,0,394032
2022-10-19,PA,989005,8506,0,980499
2022-10-19,PE,4150737,216877,0,3933860
2022-10-19,PG,45264,668,0,44596
2022-10-19,PH,3987316,63625,0,3923691
2022-10-19,PK,1572778,30619,0,1542159
2022-10-19,PL,6330904,117973,0,6212931
2022-10-19,PS,702804,5707,0,697097
2022-10-19,PT,5509424,25128,0,5484296
2022-10-19,PW,5490,7,0,5483
2022-10-19,PY,717260,19596,0,697664
