date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2020-04-25,AD,738,40,344,354
2020-04-25,AE,9813,71,1887,7855
2020-04-25,AF,1464,47,188,1229
2020-04-25,AG,24,3,11,10
2020-04-25,AL,712,27,403,282
2020-04-25,AM,1677,28,803,846
2020-04-25,AO,25,2,6,17
2020-04-25,AR,3780,185,1030,2565
2020-04-25,AT,15148,536,12103,2509
2020-04-25,AU,6694,80,4223,2391
2020-04-25,AZ,1617,21,1080,516
2020-04-25,BA,1486,57,592,837
2020-04-25,BB,79,6,31,42
2020-04-25,BD,4998,140,113,4745
2020-04-25,BE,45325,6917,10417,27991
2020-04-25,BF,629,41,442,146
2020-04-25,BG,1247,55,197,995
2020-04-25,BH,2588,8,1160,1420
2020-04-25,BI,11,1,4,6
2020-04-25,BJ,54,1,27,26
2020-04-25,BN,138,1,121,16
2020-04-25,BO,866,46,54,766
2020-04-25,BR,59324,4057,29160,26107
2020-04-25,BS,78,11,15,52
2020-04-25,BT,7,0,3,4
2020-04-25,BW,22,1,0,21
2020-04-25,BY,9590,67,1573,7950
2020-04-25,BZ,18,2,5,11
2020-04-25,CA,45493,3195,16013,26285
2020-04-25,CD,416,28,49,339
2020-04-25,CF,16,0,10,6
2020-04-25,CG,200,6,19,175
2020-04-25,CH,28894,1599,21300,5995
2020-04-25,CI,1077,14,419,644
2020-04-25,CL,12858,181,6746,5931
2020-04-25,CM,1518,53,697,768
2020-04-25,CN,83909,4636,78175,1098
2020-04-25,CO,5142,233,1067,3842
2020-04-25,CR,693,6,242,445
2020-04-25,CU,1337,51,437,849
2020-04-25,CV,90,1,1,88
2020-04-25,CY,810,14,148,648
2020-04-25,CZ,7352,218,2453,4681
2020-04-25,DE,156513,5877,109800,40836
2020-04-25,DJ,1008,2,373,633
2020-04-25,DK,8643,418,5858,2367
2020-04-25,DM,16,0,13,3
2020-04-25,DO,5926,273,822,4831
2020-04-25,DZ,3256,419,1479,1358
2020-04-25,EC,22719,576,1366,20777
2020-04-25,EE,1635,46,228,1361
2020-04-25,EG,4319,307,1114,2898
2020-04-25,ER,39,0,13,26
2020-04-25,ES,223759,22902,95708,105149
2020-04-25,ET,122,3,29,90
2020-04-25,FI,4475,186,2500,1789
2020-04-25,FJ,18,0,10,8
2020-04-25,FR,161647,22619,45372,93656
2020-04-25,GA,176,3,30,143
2020-04-25,GB,149569,20381,774,128414
2020-04-25,GD,18,0,7,11
2020-04-25,GE,456,5,139,312
2020-04-25,GH,1279,10,134,1135
2020-04-25,GM,10,1,8,1
2020-04-25,GN,996,7,208,781
2020-04-25,GQ,258,1,7,250
2020-04-25,GR,2506,130,577,1799
2020-04-25,GT,473,13,45,415
2020-04-25,GW,52,0,3,49
2020-04-25,GY,73,7,12,54
2020-04-25,HN,627,59,65,503
2020-04-25,HR,2016,54,1034,928
2020-04-25,HT,72,5,6,61
2020-04-25,HU,2443,262,458,1723
2020-04-25,ID,8607,720,1042,6845
2020-04-25,IE,18561,1063,9233,8265
2020-04-25,IL,15302,202,6655,8445
2020-04-25,IN,26283,825,5939,19519
2020-04-25,IQ,1763,86,1224,453
2020-04-25,IR,89328,5650,68193,15485
2020-04-25,IS,1790,10,1570,210
2020-04-25,IT,195351,26384,63120,105847
2020-04-25,JM,305,7,28,270
2020-04-25,JO,444,7,332,105
2020-04-25,JP,13231,360,1656,11215
2020-04-25,KE,343,14,98,231
2020-04-25,KG,665,8,345,312
2020-04-25,KH,122,0,117,5
2020-04-25,KN,15,0,2,13
2020-04-25,KR,10728,242,8717,1769
2020-04-25,KW,2892,19,656,2217
2020-04-25,KZ,2601,25,646,1930
2020-04-25,LA,19,0,7,12
2020-04-25,LB,704,24,143,537
2020-04-25,LC,15,0,15,0
2020-04-25,LI,81,1,55,25
2020-04-25,LK,460,7,118,335
2020-04-25,LR,120,11,25,84
2020-04-25,LT,1301,29,539,733
2020-04-25,LU,3711,85,3088,538
2020-04-25,LV,804,12,267,525
2020-04-25,LY,61,2,18,41
2020-04-25,MA,3897,159,537,3201
2020-04-25,MC,94,4,42,48
2020-04-25,MD,3304,94,825,2385
2020-04-25,ME,320,6,153,161
2020-04-25,MG,123,0,62,61
2020-04-25,MK,1367,59,374,934
2020-04-25,ML,370,21,91,258
2020-04-25,MM,146,5,10,131
2020-04-25,MN,37,0,9,28
2020-04-25,MR,7,1,6,0
2020-04-25,MT,448,4,249,195
2020-04-25,MU,331,9,295,27
2020-04-25,MV,177,0,17,160
2020-04-25,MW,33,3,4,26
2020-04-25,MX,13842,1305,7149,5388
2020-04-25,MY,5742,98,3762,1882
2020-04-25,MZ,70,0,12,58
2020-04-25,NA,16,0,7,9
2020-04-25,NE,684,27,325,332
2020-04-25,NG,1182,35,222,925
2020-04-25,NI,12,3,7,2
2020-04-25,NL,37384,4424,102,32858
2020-04-25,NO,7499,201,32,7266
2020-04-25,NP,49,0,12,37
2020-04-25,NZ,1470,18,1142,310
2020-04-25,OM,1905,10,329,1566
2020-04-25,PA,5538,159,338,5041
2020-04-25,PE,25331,700,7797,16834
2020-04-25,PG,8,0,0,8
2020-04-25,PH,7294,494,792,6008
2020-04-25,PK,12723,269,2866,9588
2020-04-25,PL,11273,524,2126,8623
2020-04-25,PS,342,2,92,248
2020-04-25,PT,23392,880,1277,21235
2020-04-25,PY,228,9,85,134
2020-04-25,QA,9358,10,929,8419
2020-04-25,RO,10635,601,2890,7144
2020-04-25,RS,6630,125,870,5635
2020-04-25,RU,74588,681,6250,67657
2020-04-25,RW,183,0,88,95
2020-04-25,SA,16299,136,2215,13948
2020-04-25,SC,11,0,6,5
2020-04-25,SD,213,17,19,177
2020-04-25,SE,18177,2192,1005,14980
2020-04-25,SG,12693,12,1002,11679
2020-04-25,SI,1388,81,219,1088
2020-04-25,SK,1373,17,386,970
2020-04-25,SL,82,2,10,70
2020-04-25,SM,513,40,64,409
2020-04-25,SN,614,7,276,331
2020-04-25,SO,390,18,8,364
2020-04-25,SR,10,1,7,2
2020-04-25,SS,5,0,0,5
2020-04-25,ST,4,0,0,4
2020-04-25,SV,274,8,75,191
2020-04-25,SY,42,3,11,28
2020-04-25,SZ,56,1,10,45
2020-04-25,TD,46,0,15,31
2020-04-25,TG,96,6,62,28
2020-04-25,TH,2907,51,2547,309
2020-04-25,TL,24,0,2,22
2020-04-25,TN,939,38,207,694
2020-04-25,TR,107773,2706,25582,79485
2020-04-25,TT,115,8,53,54
2020-04-25,TW,429,6,275,148
2020-04-25,TZ,299,10,48,241
2020-04-25,UA,8125,201,782,7142
2020-04-25,UG,75,0,46,29
2020-04-25,US,939016,53835,100372,784809
2020-04-25,UY,596,14,370,212
2020-04-25,UZ,1862,8,707,1147
2020-04-25,VA,9,0,2,7
2020-04-25,VC,14,0,5,9
2020-04-25,VE,323,10,132,181
2020-04-25,VN,270,0,225,45
2020-04-25,WS,0,0,0,0
2020-04-25,XK,510,12,93,405
2020-04-25,YE,1,0,0,1
2020-04-25,ZA,4361,86,1473,2802
2020-04-25,ZM,84,3,37,44
2020-04-25,ZW,31,4,2,25
