date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2023-01-03,AD,47751,165,0,47586
2023-01-03,AE,1047157,2348,0,1044809
2023-01-03,AF,207654,7850,0,199804
2023-01-03,AG,9106,146,0,8960
2023-01-03,AL,333812,3596,0,330216
2023-01-03,AM,445976,8716,0,437260
2023-01-03,AO,105095,1930,0,103165
2023-01-03,AR,9963697,130171,0,9833526
2023-01-03,AT,5712491,21448,0,5691043
2023-01-03,AU,11135105,17082,0,11118023
2023-01-03,AZ,826462,10008,0,816454
2023-01-03,BA,401036,16229,0,384807
2023-01-03,BB,105515,568,0,104947
2023-01-03,BD,2037187,29440,0,2007747
2023-01-03,BE,4668248,33228,0,4635020
2023-01-03,BF,22006,395,0,21611
2023-01-03,BG,1292525,38113,0,1254412
2023-01-03,BH,698889,1539,0,697350
2023-01-03,BI,52051,38,0,52013
2023-01-03,BJ,27982,163,0,27819
2023-01-03,BN,266819,225,0,266594
2023-01-03,BO,1165375,22310,0,1143065
2023-01-03,BR,36362366,693981,0,35668385
2023-01-03,BS,37491,833,0,36658
2023-01-03,BT,62531,21,0,62510
2023-01-03,BW,328071,2876,0,325195
2023-01-03,BY,994037,7118,0,986919
2023-01-03,BZ,70174,688,0,69486
2023-01-03,CA,4507762,49242,0,4458520
2023-01-03,CD,95173,1462,0,93711
2023-01-03,CF,15351,113,0,15238
2023-01-03,CG,25375,386,0,24989
2023-01-03,CH,4399516,14182,0,4385334
2023-01-03,CI,87945,831,0,87114
2023-01-03,CL,5045602,63200,0,4982402
2023-01-03,CM,123993,1965,0,122028
2023-01-03,CN,4596884,17273,0,4579611
2023-01-03,CO,6336660,141881,0,6194779
2023-01-03,CR,1166842,9085,0,1157757
2023-01-03,CU,1112048,8530,0,1103518
2023-01-03,CV,63203,412,0,62791
2023-01-03,CY,631111,1258,0,629853
2023-01-03,CZ,4580954,42158,0,4538796
2023-01-03,DE,37446795,162021,0,37284774
2023-01-03,DJ,15690,189,0,15501
2023-01-03,DK,3438226,7897,0,3430329
2023-01-03,DM,15760,74,0,15686
2023-01-03,DO,658863,4384,0,654479
2023-01-03,DZ,271230,6881,0,264349
