date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2022-11-26,AD,46824,156,0,46668
2022-11-26,AE,1043798,2348,0,1041450
2022-11-26,AF,205612,7833,0,197779
2022-11-26,AG,9106,146,0,8960
2022-11-26,AL,333322,3594,0,329728
2022-11-26,AM,445631,8709,0,436922
2022-11-26,AO,104491,1923,0,102568
2022-11-26,AR,9723924,130017,0,9593907
2022-11-26,AT,5544112,21187,0,5522925
2022-11-26,AU,10646596,16100,0,10630496
2022-11-26,AZ,824193,9976,0,814217
2022-11-26,BA,400466,16200,0,384266
2022-11-26,BB,103955,564,0,103391
2022-11-26,BD,2036511,29431,0,2007080
2022-11-26,BE,4633112,33042,0,4600070
2022-11-26,BF,21631,387,0,21244
2022-11-26,BG,1286538,38027,0,1248511
2022-11-26,BH,695766,1536,0,694230
2022-11-26,BI,50778,38,0,50740
2022-11-26,BJ,27922,163,0,27759
2022-11-26,BN,253406,225,0,253181
2022-11-26,BO,1110608,22245,0,1088363
2022-11-26,BR,35149503,689442,0,34460061
2022-11-26,BS,37476,833,0,36643
2022-11-26,BT,62488,21,0,62467
2022-11-26,BW,326344,2790,0,323554
2022-11-26,BY,994037,7118,0,986919
2022-11-26,BZ,69012,688,0,68324
2022-11-26,CA,4428546,47862,0,4380684
2022-11-26,CD,93837,1452,0,92385
2022-11-26,CF,15311,113,0,15198
2022-11-26,CG,25375,386,0,24989
2022-11-26,CH,4318881,14116,0,4304765
2022-11-26,CI,87885,830,0,87055
2022-11-26,CL,4905535,62357,0,4843178
2022-11-26,CM,123993,1965,0,122028
2022-11-26,CN,3533755,15910,0,3517845
2022-11-26,CO,6312657,141881,0,6170776
2022-11-26,CR,1143597,9031,0,1134566
2022-11-26,CU,1111368,8530,0,1102838
2022-11-26,CV,62948,412,0,62536
2022-11-26,CY,614237,1226,0,613011
2022-11-26,CZ,4171060,41797,0,4129263
2022-11-26,DE,36373164,157495,0,36215669
2022-11-26,DJ,15690,189,0,15501
2022-11-26,DK,3396301,7562,0,3388739
2022-11-26,DM,15760,74,0,15686
2022-11-26,DO,649150,4384,0,644766
2022-11-26,DZ,271061,6881,0,264180
2022-11-26,EC,1009958,35940,0,974018
2022-11-26,EE,608796,2781,0,606015
2022-11-26,EG,515645,24798,0,490847
2022-11-26,ER,10189,103,0,10086
2022-11-26,ES,13595504,115901,0,13479603
2022-11-26,ET,494462,7572,0,486890
2022-11-26,FI,1394254,7265,0,1386989
2022-11-26,FJ,68375,878,0,67497
2022-11-26,FM,22203,58,0,22145
2022-11-26,FR,37789817,159679,0,37630138
2022-11-26,GA,48972,306,0,48666
2022-11-26,GB,24591146,212585,0,24378561
2022-11-26,GD,19616,237,0,19379
2022-11-26,GE,1805698,16912,0,1788786
2022-11-26,GH,171009,1461,0,169548
2022-11-26,GM,12586,372,0,12214
2022-11-26,GN,38153,464,0,37689
2022-11-26,GQ,17182,183,0,16999
2022-11-26,GR,5360506,34178,0,5326328
2022-11-26,GT,1153644,19946,0,1133698
2022-11-26,GW,8848,176,0,8672
2022-11-26,GY,71573,1285,0,70288
2022-11-26,HN,457676,11043,0,446633
2022-11-26,HR,1252886,17292,0,1235594
