date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2021-04-05,AD,12286,117,11523,646
2021-04-05,AE,472148,1512,456747,13889
2021-04-05,AF,56717,2508,51902,2307
2021-04-05,AG,1173,29,885,259
2021-04-05,AL,126795,2274,94431,30090
2021-04-05,AM,197113,3614,176889,16610
2021-04-05,AO,22717,543,21452,722
2021-04-05,AR,2407159,56471,2153509,197179
2021-04-05,AT,560972,9482,516084,35406
2021-04-05,AU,29365,909,23048,5408
2021-04-05,AZ,271834,3711,242293,25830
2021-04-05,BA,176413,6953,133262,36198
2021-04-05,BB,3679,43,3534,102
2021-04-05,BD,644439,9318,555414,79707
2021-04-05,BE,902964,23202,0,879762
2021-04-05,BF,12825,150,12477,198
2021-04-05,BG,356859,13786,273429,69644
2021-04-05,BH,149791,541,139205,10045
2021-04-05,BI,2964,6,773,2185
2021-04-05,BJ,7313,93,6452,768
2021-04-05,BN,214,3,197,14
2021-04-05,BO,275392,12344,225483,37565
2021-04-05,BR,13013601,332752,11405558,1275291
2021-04-05,BS,9171,188,8676,307
2021-04-05,BT,891,1,870,20
2021-04-05,BW,41710,616,36958,4136
2021-04-05,BY,328290,2294,318756,7240
2021-04-05,BZ,12456,317,12090,49
2021-04-05,CA,1017130,23083,937403,56644
2021-04-05,CD,28354,745,25587,2022
2021-04-05,CF,5313,73,5024,216
2021-04-05,CG,9681,135,8208,1338
2021-04-05,CH,605342,10377,317600,277365
2021-04-05,CI,44841,256,42438,2147
2021-04-05,CL,1032612,23677,965641,43294
2021-04-05,CM,57337,851,35261,21225
2021-04-05,CN,101901,4841,96642,418
2021-04-05,CO,2456409,64293,2325833,66283
2021-04-05,CR,216764,2957,192699,21108
2021-04-05,CU,80610,436,75127,5047
2021-04-05,CV,17939,173,16587,1179
2021-04-05,CY,48278,262,2057,45959
2021-04-05,CZ,1553820,27057,1411748,115015
2021-04-05,DE,2902309,77136,2587580,237593
2021-04-05,DJ,8696,76,6791,1829
2021-04-05,DK,234489,2431,222843,9215
2021-04-05,DM,165,0,159,6
2021-04-05,DO,254435,3351,214512,36572
2021-04-05,DZ,117739,3108,81994,32637
2021-04-05,EC,336777,16987,290314,29476
2021-04-05,EE,109781,950,87092,21739
2021-04-05,EG,205732,12210,156574,36948
2021-04-05,ER,3340,10,3064,266
