date_stamp,iso3166_1,cnt_confirmed,cnt_deaths,cnt_recovered,cnt_active
2021-10-16,AD,15338,130,0,15208
2021-10-16,AE,738487,2118,0,736369
2021-10-16,AF,155739,7238,0,148501
2021-10-16,AG,3888,95,0,3793
2021-10-16,AL,177536,2810,0,174726
2021-10-16,AM,280294,5754,0,274540
2021-10-16,AO,62789,1662,0,61127
2021-10-16,AR,5272151,115663,0,5156488
2021-10-16,AT,773540,11161,0,762379
2021-10-16,AU,143204,1532,0,141672
2021-10-16,AZ,498630,6734,0,491896
2021-10-16,BA,243914,11110,0,232804
2021-10-16,BB,12773,114,0,12659
2021-10-16,BD,1565174,27752,0,1537422
2021-10-16,BE,1279869,25747,0,1254122
2021-10-16,BF,14686,203,0,14483
2021-10-16,BG,539619,22231,0,517388
2021-10-16,BH,276030,1391,0,274639
2021-10-16,BI,19555,38,0,19517
2021-10-16,BJ,24560,161,0,24399
2021-10-16,BN,10356,68,0,10288
2021-10-16,BO,506150,18824,0,487326
2021-10-16,BR,21638726,603152,0,21035574
2021-10-16,BS,21580,590,0,20990
2021-10-16,BT,2617,3,0,2614
2021-10-16,BW,181856,2386,0,179470
2021-10-16,BY,570006,4386,0,565620
2021-10-16,BZ,23990,461,0,23529
2021-10-16,CA,1686625,28534,0,1658091
2021-10-16,CD,57269,1089,0,56180
2021-10-16,CF,11469,100,0,11369
2021-10-16,CG,15514,222,0,15292
2021-10-16,CH,854591,11157,0,843434
2021-10-16,CI,60982,674,0,60308
2021-10-16,CL,1669236,37597,0,1631639
2021-10-16,CM,98402,1550,0,96852
2021-10-16,CN,108891,4849,0,104042
2021-10-16,CO,4980233,126830,0,4853403
2021-10-16,CR,551144,6797,0,544347
2021-10-16,CU,932768,8037,0,924731
2021-10-16,CV,38035,347,0,37688
2021-10-16,CY,121995,562,0,121433
2021-10-16,CZ,1707756,30539,0,1677217
2021-10-16,DE,4375253,94622,0,4280631
2021-10-16,DJ,13383,179,0,13204
2021-10-16,DK,370046,2682,0,367364
2021-10-16,DM,4153,28,0,4125
2021-10-16,DO,369700,4084,0,365616
2021-10-16,DZ,205199,5870,0,199329
2021-10-16,EC,513026,32899,0,480127
2021-10-16,EE,171395,1422,0,169973
2021-10-16,EG,317585,17926,0,299659
2021-10-16,ER,6773,44,0,6729
2021-10-16,ES,4984386,86974,0,4897412
2021-10-16,ET,358739,6197,0,352542
2021-10-16,FI,149897,1116,0,148781
2021-10-16,FJ,51701,663,0,51038
2021-10-16,FM,1,0,0,1
2021-10-16,FR,7185744,118173,0,7067571
2021-10-16,GA,33442,213,0,33229
2021-10-16,GB,8443882,138940,0,8304942
2021-10-16,GD,5734,192,0,5542
2021-10-16,GE,657753,9440,0,648313
2021-10-16,GH,129258,1165,0,128093
2021-10-16,GM,9946,339,0,9607
2021-10-16,GN,30572,385,0,30187
