district_id,district_name,region_id,region_name,student_cases,staff_cases,date_stamp
10,Anderson County,5,East Tennessee CORE Region,3,2,2022-04-13
11,Clinton,5,East Tennessee CORE Region,,,2022-04-13
12,Oak Ridge,5,East Tennessee CORE Region,,,2022-04-13
20,Bedford County,8,South Central CORE Region,,,2022-04-13
30,Benton County,1,Northwest Tennessee CORE Region,,,2022-04-13
40,Bledsoe County,4,Upper Cumberland CORE Region,,,2022-04-13
50,Blount County,5,East Tennessee CORE Region,0,0,2022-04-13
51,Alcoa,5,East Tennessee CORE Region,,,2022-04-13
52,Maryville,5,East Tennessee CORE Region,,,2022-04-13
60,Bradley County,7,Southeast Tennessee CORE Region,,,2022-04-13
61,Cleveland,7,Southeast Tennessee CORE Region,0,0,2022-04-13
70,Campbell County,5,East Tennessee CORE Region,,,2022-04-13
80,Cannon County,4,Upper Cumberland CORE Region,0,0,2022-04-13
90,Carroll County,1,Northwest Tennessee CORE Region,,,2022-04-13
92,Hollow Rock - Bruceton,1,Northwest Tennessee CORE Region,0,0,2022-04-13
93,Huntingdon Special School District,1,Northwest Tennessee CORE Region,,,2022-04-13
94,McKenzie,1,Northwest Tennessee CORE Region,,,2022-04-13
95,South Carroll,1,Northwest Tennessee CORE Region,0,0,2022-04-13
97,West Carroll Sp Dist,1,Northwest Tennessee CORE Region,0,0,2022-04-13
100,Carter County,6,First Tennessee CORE Region,0,0,2022-04-13
101,Elizabethton,6,First Tennessee CORE Region,1,1,2022-04-13
110,Cheatham County,3,Mid Cumberland CORE Region,,,2022-04-13
120,Chester County,9,Southwest CORE Region,0,0,2022-04-13
130,Claiborne County,5,East Tennessee CORE Region,3,2,2022-04-13
140,Clay County,4,Upper Cumberland CORE Region,,,2022-04-13
150,Cocke County,6,First Tennessee CORE Region,,,2022-04-13
151,Newport,6,First Tennessee CORE Region,,,2022-04-13
160,Coffee County,8,South Central CORE Region,0,0,2022-04-13
161,Manchester,8,South Central CORE Region,0,0,2022-04-13
162,Tullahoma,8,South Central CORE Region,0,0,2022-04-13
170,Crockett County,1,Northwest Tennessee CORE Region,,,2022-04-13
171,Alamo,1,Northwest Tennessee CORE Region,,,2022-04-13
172,Bells,1,Northwest Tennessee CORE Region,,,2022-04-13
180,Cumberland County,4,Upper Cumberland CORE Region,0,0,2022-04-13
190,Davidson County,3,Mid Cumberland CORE Region,41,9,2022-04-13
200,Decatur County,9,Southwest CORE Region,,,2022-04-13
210,DeKalb County,4,Upper Cumberland CORE Region,,,2022-04-13
220,Dickson County,3,Mid Cumberland CORE Region,0,0,2022-04-13
230,Dyer County,1,Northwest Tennessee CORE Region,0,0,2022-04-13
231,Dyersburg,1,Northwest Tennessee CORE Region,0,0,2022-04-13
240,Fayette County Public Schools,9,Southwest CORE Region,,,2022-04-13
250,Fentress County,4,Upper Cumberland CORE Region,0,0,2022-04-13
260,Franklin County,8,South Central CORE Region,,,2022-04-13
