district_id,school_id,can_submit_covid_data,student_cases,staff_cases,student_cases_prev_week,staff_cases_prev_week,student_cases_inferred,staff_cases_inferred,student_cases_prev_week_inferred,staff_cases_prev_week_inferred,date_stamp,date_cases_updated,op_has_restrictions,op_restrictions,op_restrictions_reason,op_restrictions_active,op_restrictions_end_date,op_last_update,op_model_id,op_model_name,op_model_active
30,15,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
30,20,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
30,25,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
30,27,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
30,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
40,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
40,6,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
40,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
40,25,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
40,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,22,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,23,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,43,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,45,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,55,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,61,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,63,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
