district_id,district_name,region_id,region_name,student_cases,staff_cases,date_stamp
10,Anderson County,5,East Tennessee CORE Region,,,2022-12-28
11,Clinton,5,East Tennessee CORE Region,,,2022-12-28
12,Oak Ridge,5,East Tennessee CORE Region,,,2022-12-28
20,Bedford County,8,South Central CORE Region,,,2022-12-28
30,Benton County,1,Northwest Tennessee CORE Region,,,2022-12-28
40,Bledsoe County,4,Upper Cumberland CORE Region,,,2022-12-28
50,Blount County,5,East Tennessee CORE Region,,,2022-12-28
51,Alcoa,5,East Tennessee CORE Region,,,2022-12-28
52,Maryville,5,East Tennessee CORE Region,,,2022-12-28
60,Bradley County,7,Southeast Tennessee CORE Region,,,2022-12-28
61,Cleveland,7,Southeast Tennessee CORE Region,,,2022-12-28
70,Campbell County,5,East Tennessee CORE Region,,,2022-12-28
80,Cannon County,4,Upper Cumberland CORE Region,,,2022-12-28
90,Carroll County,1,Northwest Tennessee CORE Region,,,2022-12-28
92,Hollow Rock - Bruceton,1,Northwest Tennessee CORE Region,,,2022-12-28
93,Huntingdon Special School District,1,Northwest Tennessee CORE Region,,,2022-12-28
94,McKenzie,1,Northwest Tennessee CORE Region,,,2022-12-28
95,South Carroll,1,Northwest Tennessee CORE Region,,,2022-12-28
97,West Carroll Sp Dist,1,Northwest Tennessee CORE Region,,,2022-12-28
100,Carter County,6,First Tennessee CORE Region,,,2022-12-28
101,Elizabethton,6,First Tennessee CORE Region,,,2022-12-28
110,Cheatham County,3,Mid Cumberland CORE Region,,,2022-12-28
120,Chester County,9,Southwest CORE Region,,,2022-12-28
130,Claiborne County,5,East Tennessee CORE Region,,,2022-12-28
140,Clay County,4,Upper Cumberland CORE Region,,,2022-12-28
150,Cocke County,6,First Tennessee CORE Region,,,2022-12-28
151,Newport,6,First Tennessee CORE Region,,,2022-12-28
160,Coffee County,8,South Central CORE Region,,,2022-12-28
161,Manchester,8,South Central CORE Region,,,2022-12-28
162,Tullahoma,8,South Central CORE Region,,,2022-12-28
170,Crockett County,1,Northwest Tennessee CORE Region,,,2022-12-28
171,Alamo,1,Northwest Tennessee CORE Region,,,2022-12-28
172,Bells,1,Northwest Tennessee CORE Region,,,2022-12-28
180,Cumberland County,4,Upper Cumberland CORE Region,,,2022-12-28
190,Davidson County,3,Mid Cumberland CORE Region,,,2022-12-28
200,Decatur County,9,Southwest CORE Region,,,2022-12-28
210,DeKalb County,4,Upper Cumberland CORE Region,,,2022-12-28
220,Dickson County,3,Mid Cumberland CORE Region,,,2022-12-28
230,Dyer County,1,Northwest Tennessee CORE Region,,,2022-12-28
231,Dyersburg,1,Northwest Tennessee CORE Region,,,2022-12-28
240,Fayette County Public Schools,9,Southwest CORE Region,,,2022-12-28
250,Fentress County,4,Upper Cumberland CORE Region,,,2022-12-28
260,Franklin County,8,South Central CORE Region,,,2022-12-28
271,Humboldt City Schools,1,Northwest Tennessee CORE Region,,,2022-12-28
272,Milan,1,Northwest Tennessee CORE Region,,,2022-12-28
273,Trenton,1,Northwest Tennessee CORE Region,,,2022-12-28
274,Bradford,1,Northwest Tennessee CORE Region,,,2022-12-28
275,Gibson Co Sp Dist,1,Northwest Tennessee CORE Region,,,2022-12-28
280,Giles County,8,South Central CORE Region,,,2022-12-28
290,Grainger County,5,East Tennessee CORE Region,,,2022-12-28
300,Greene County,6,First Tennessee CORE Region,,,2022-12-28
301,Greeneville,6,First Tennessee CORE Region,,,2022-12-28
310,Grundy County,7,Southeast Tennessee CORE Region,,,2022-12-28
320,Hamblen County,6,First Tennessee CORE Region,,,2022-12-28
330,Hamilton County,7,Southeast Tennessee CORE Region,,,2022-12-28
340,Hancock County,6,First Tennessee CORE Region,,,2022-12-28
350,Hardeman County Schools,9,Southwest CORE Region,,,2022-12-28
360,Hardin County,9,Southwest CORE Region,,,2022-12-28
370,Hawkins County,6,First Tennessee CORE Region,,,2022-12-28
371,Rogersville,6,First Tennessee CORE Region,,,2022-12-28
380,Haywood County,9,Southwest CORE Region,,,2022-12-28
390,Henderson County,9,Southwest CORE Region,,,2022-12-28
391,Lexington,9,Southwest CORE Region,,,2022-12-28
400,Henry County,1,Northwest Tennessee CORE Region,,,2022-12-28
401,Paris,1,Northwest Tennessee CORE Region,,,2022-12-28
410,Hickman County,8,South Central CORE Region,,,2022-12-28
420,Houston County,3,Mid Cumberland CORE Region,,,2022-12-28
430,Humphreys County,3,Mid Cumberland CORE Region,,,2022-12-28
440,Jackson County,4,Upper Cumberland CORE Region,,,2022-12-28
450,Jefferson County,5,East Tennessee CORE Region,,,2022-12-28
460,Johnson County,6,First Tennessee CORE Region,,,2022-12-28
470,Knox County,5,East Tennessee CORE Region,,,2022-12-28
480,Lake County,1,Northwest Tennessee CORE Region,,,2022-12-28
