district_id,district_name,region_id,region_name,student_cases,staff_cases,date_stamp
10,Anderson County,5,East Tennessee CORE Region,,,2021-05-05
11,Clinton,5,East Tennessee CORE Region,,,2021-05-05
12,Oak Ridge,5,East Tennessee CORE Region,,,2021-05-05
20,Bedford County,8,South Central CORE Region,5,2,2021-05-05
30,Benton County,1,Northwest Tennessee CORE Region,,,2021-05-05
40,Bledsoe County,4,Upper Cumberland CORE Region,0,0,2021-05-05
50,Blount County,5,East Tennessee CORE Region,0,0,2021-05-05
51,Alcoa,5,East Tennessee CORE Region,,,2021-05-05
52,Maryville,5,East Tennessee CORE Region,19,0,2021-05-05
60,Bradley County,7,Southeast Tennessee CORE Region,10,1,2021-05-05
61,Cleveland,7,Southeast Tennessee CORE Region,,,2021-05-05
70,Campbell County,5,East Tennessee CORE Region,,,2021-05-05
80,Cannon County,4,Upper Cumberland CORE Region,,,2021-05-05
90,Carroll County,1,Northwest Tennessee CORE Region,,,2021-05-05
92,Hollow Rock - Bruceton,1,Northwest Tennessee CORE Region,,,2021-05-05
93,Huntingdon Special School District,1,Northwest Tennessee CORE Region,,,2021-05-05
94,McKenzie,1,Northwest Tennessee CORE Region,,,2021-05-05
95,South Carroll,1,Northwest Tennessee CORE Region,,,2021-05-05
97,West Carroll Sp Dist,1,Northwest Tennessee CORE Region,,,2021-05-05
100,Carter County,6,First Tennessee CORE Region,,,2021-05-05
101,Elizabethton,6,First Tennessee CORE Region,4,0,2021-05-05
110,Cheatham County,3,Mid Cumberland CORE Region,,,2021-05-05
120,Chester County,9,Southwest CORE Region,0,0,2021-05-05
130,Claiborne County,5,East Tennessee CORE Region,,,2021-05-05
140,Clay County,4,Upper Cumberland CORE Region,,,2021-05-05
150,Cocke County,6,First Tennessee CORE Region,0,0,2021-05-05
151,Newport,6,First Tennessee CORE Region,0,0,2021-05-05
160,Coffee County,8,South Central CORE Region,1,1,2021-05-05
161,Manchester,8,South Central CORE Region,,,2021-05-05
162,Tullahoma,8,South Central CORE Region,0,0,2021-05-05
170,Crockett County,1,Northwest Tennessee CORE Region,,,2021-05-05
171,Alamo,1,Northwest Tennessee CORE Region,,,2021-05-05
172,Bells,1,Northwest Tennessee CORE Region,,,2021-05-05
180,Cumberland County,4,Upper Cumberland CORE Region,10,0,2021-05-05
190,Davidson County,3,Mid Cumberland CORE Region,57,12,2021-05-05
200,Decatur County,9,Southwest CORE Region,,,2021-05-05
210,DeKalb County,4,Upper Cumberland CORE Region,1,0,2021-05-05
220,Dickson County,3,Mid Cumberland CORE Region,2,2,2021-05-05
230,Dyer County,1,Northwest Tennessee CORE Region,1,1,2021-05-05
231,Dyersburg,1,Northwest Tennessee CORE Region,0,0,2021-05-05
240,Fayette County Public Schools,9,Southwest CORE Region,4,0,2021-05-05
250,Fentress County,4,Upper Cumberland CORE Region,,,2021-05-05
260,Franklin County,8,South Central CORE Region,0,1,2021-05-05
271,Humboldt City Schools,1,Northwest Tennessee CORE Region,,,2021-05-05
272,Milan,1,Northwest Tennessee CORE Region,4,1,2021-05-05
273,Trenton,1,Northwest Tennessee CORE Region,1,0,2021-05-05
274,Bradford,1,Northwest Tennessee CORE Region,,,2021-05-05
275,Gibson Co Sp Dist,1,Northwest Tennessee CORE Region,0,0,2021-05-05
280,Giles County,8,South Central CORE Region,,,2021-05-05
290,Grainger County,5,East Tennessee CORE Region,,,2021-05-05
300,Greene County,6,First Tennessee CORE Region,0,0,2021-05-05
301,Greeneville,6,First Tennessee CORE Region,8,0,2021-05-05
310,Grundy County,7,Southeast Tennessee CORE Region,0,0,2021-05-05
320,Hamblen County,6,First Tennessee CORE Region,6,0,2021-05-05
330,Hamilton County,7,Southeast Tennessee CORE Region,,,2021-05-05
340,Hancock County,6,First Tennessee CORE Region,,,2021-05-05
350,Hardeman County Schools,9,Southwest CORE Region,9,0,2021-05-05
360,Hardin County,9,Southwest CORE Region,,,2021-05-05
370,Hawkins County,6,First Tennessee CORE Region,29,8,2021-05-05
371,Rogersville,6,First Tennessee CORE Region,,,2021-05-05
380,Haywood County,9,Southwest CORE Region,0,0,2021-05-05
390,Henderson County,9,Southwest CORE Region,5,0,2021-05-05
391,Lexington,9,Southwest CORE Region,,,2021-05-05
400,Henry County,1,Northwest Tennessee CORE Region,,,2021-05-05
401,Paris,1,Northwest Tennessee CORE Region,,,2021-05-05
410,Hickman County,8,South Central CORE Region,,,2021-05-05
420,Houston County,3,Mid Cumberland CORE Region,0,1,2021-05-05
430,Humphreys County,3,Mid Cumberland CORE Region,,,2021-05-05
440,Jackson County,4,Upper Cumberland CORE Region,2,2,2021-05-05
450,Jefferson County,5,East Tennessee CORE Region,4,1,2021-05-05
460,Johnson County,6,First Tennessee CORE Region,7,0,2021-05-05
470,Knox County,5,East Tennessee CORE Region,33,5,2021-05-05
480,Lake County,1,Northwest Tennessee CORE Region,,,2021-05-05
490,Lauderdale County,9,Southwest CORE Region,5,1,2021-05-05
500,Lawrence County,8,South Central CORE Region,3,1,2021-05-05
510,Lewis County,8,South Central CORE Region,1,1,2021-05-05
520,Lincoln County,8,South Central CORE Region,3,0,2021-05-05
521,Fayetteville,8,South Central CORE Region,0,1,2021-05-05
530,Loudon County,5,East Tennessee CORE Region,0,0,2021-05-05
531,Lenoir City,5,East Tennessee CORE Region,0,0,2021-05-05
540,McMinn County,7,Southeast Tennessee CORE Region,5,3,2021-05-05
541,Athens,7,Southeast Tennessee CORE Region,1,0,2021-05-05
542,Etowah,7,Southeast Tennessee CORE Region,,,2021-05-05
550,McNairy County,9,Southwest CORE Region,,,2021-05-05
560,Macon County,4,Upper Cumberland CORE Region,,,2021-05-05
570,Madison County,9,Southwest CORE Region,0,0,2021-05-05
580,Marion County,7,Southeast Tennessee CORE Region,,,2021-05-05
581,Richard City,7,Southeast Tennessee CORE Region,,,2021-05-05
590,Marshall County,8,South Central CORE Region,0,0,2021-05-05
600,Maury County,8,South Central CORE Region,,,2021-05-05
610,Meigs County,7,Southeast Tennessee CORE Region,4,0,2021-05-05
620,Monroe County,5,East Tennessee CORE Region,,,2021-05-05
621,Sweetwater,5,East Tennessee CORE Region,0,0,2021-05-05
630,Montgomery County,3,Mid Cumberland CORE Region,0,0,2021-05-05
640,Moore County,8,South Central CORE Region,,,2021-05-05
650,Morgan County,5,East Tennessee CORE Region,1,0,2021-05-05
660,Obion County,1,Northwest Tennessee CORE Region,,,2021-05-05
661,Union City,1,Northwest Tennessee CORE Region,,,2021-05-05
670,Overton County,4,Upper Cumberland CORE Region,2,0,2021-05-05
680,Perry County,8,South Central CORE Region,0,1,2021-05-05
690,Pickett County,4,Upper Cumberland CORE Region,,,2021-05-05
700,Polk County,7,Southeast Tennessee CORE Region,,,2021-05-05
710,Putnam County,4,Upper Cumberland CORE Region,10,3,2021-05-05
720,Rhea County,7,Southeast Tennessee CORE Region,0,0,2021-05-05
721,Dayton,7,Southeast Tennessee CORE Region,,,2021-05-05
730,Roane County,5,East Tennessee CORE Region,,,2021-05-05
740,Robertson County,3,Mid Cumberland CORE Region,13,1,2021-05-05
750,Rutherford County,3,Mid Cumberland CORE Region,34,6,2021-05-05
751,Murfreesboro,3,Mid Cumberland CORE Region,0,0,2021-05-05
760,Scott County,5,East Tennessee CORE Region,,,2021-05-05
761,Oneida,5,East Tennessee CORE Region,0,1,2021-05-05
770,Sequatchie County,7,Southeast Tennessee CORE Region,3,0,2021-05-05
780,Sevier County,5,East Tennessee CORE Region,0,0,2021-05-05
792,Shelby County,9,Southwest CORE Region,23,16,2021-05-05
793,Arlington,9,Southwest CORE Region,,,2021-05-05
794,Bartlett,9,Southwest CORE Region,1,0,2021-05-05
795,Collierville,9,Southwest CORE Region,9,0,2021-05-05
796,Germantown,9,Southwest CORE Region,,,2021-05-05
797,Lakeland,9,Southwest CORE Region,0,0,2021-05-05
798,Millington Municipal Schools,9,Southwest CORE Region,,,2021-05-05
800,Smith County,4,Upper Cumberland CORE Region,,,2021-05-05
810,Stewart County,3,Mid Cumberland CORE Region,2,0,2021-05-05
820,Sullivan County,6,First Tennessee CORE Region,,,2021-05-05
821,Bristol,6,First Tennessee CORE Region,,,2021-05-05
822,Kingsport,6,First Tennessee CORE Region,14,0,2021-05-05
830,Sumner County,3,Mid Cumberland CORE Region,36,10,2021-05-05
840,Tipton County,9,Southwest CORE Region,9,2,2021-05-05
850,Trousdale County,4,Upper Cumberland CORE Region,1,0,2021-05-05
860,Unicoi County,6,First Tennessee CORE Region,,,2021-05-05
870,Union County,5,East Tennessee CORE Region,,,2021-05-05
880,Van Buren County,4,Upper Cumberland CORE Region,0,0,2021-05-05
890,Warren County,4,Upper Cumberland CORE Region,,,2021-05-05
900,Washington County,6,First Tennessee CORE Region,10,2,2021-05-05
901,Johnson City,6,First Tennessee CORE Region,8,0,2021-05-05
910,Wayne County,8,South Central CORE Region,,,2021-05-05
920,Weakley County,1,Northwest Tennessee CORE Region,5,1,2021-05-05
930,White County,4,Upper Cumberland CORE Region,,,2021-05-05
940,Williamson County,3,Mid Cumberland CORE Region,33,0,2021-05-05
941,Franklin SSD,3,Mid Cumberland CORE Region,0,0,2021-05-05
950,Wilson County,3,Mid Cumberland CORE Region,0,0,2021-05-05
951,Lebanon,3,Mid Cumberland CORE Region,,,2021-05-05
960,West Tennessee School for the Deaf,9,Southwest CORE Region,,,2021-05-05
961,Alvin C York Institute,4,Upper Cumberland CORE Region,,,2021-05-05
963,Tennessee School for Blind,3,Mid Cumberland CORE Region,,,2021-05-05
964,Tennessee School for the Deaf,5,East Tennessee CORE Region,,,2021-05-05
985,Achievement School District,9,Southwest CORE Region,5,1,2021-05-05
986,Tennessee State Board of Education,3,Mid Cumberland CORE Region,0,0,2021-05-05
