DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-19-21,Anderson,8815,6,6530,4,2285,2,7321,5,65267,120,72588,125,0,172,3,65,3,8578,0,222,172
05-19-21,Bedford,6541,5,5117,5,1424,0,5903,7,33099,38,39002,45,0,129,2,31,3,6381,0,138,129
05-19-21,Benton,1682,0,1310,0,372,0,1452,0,9398,11,10850,11,0,40,-1,17,1,1625,0,41,40
05-19-21,Bledsoe,2170,2,1945,1,225,1,2063,1,16685,20,18748,21,0,11,2,25,0,2134,0,32,11
05-19-21,Blount,15599,4,13228,2,2371,2,14603,2,79683,195,94286,197,0,196,-5,100,9,15303,0,362,196
05-19-21,Bradley,15161,16,12326,11,2835,5,14008,11,70868,106,84876,117,0,152,3,117,13,14892,0,675,152
05-19-21,Campbell,4184,3,2282,3,1902,0,2559,3,25559,24,28118,27,0,63,2,26,1,4095,0,128,63
05-19-21,Cannon,1931,2,1535,2,396,0,1709,2,9772,15,11481,17,0,31,1,10,1,1890,0,39,31
05-19-21,Carroll,3646,3,2362,2,1284,1,2804,3,20219,18,23023,21,0,83,-2,29,5,3534,0,84,83
05-19-21,Carter,6685,3,5789,3,896,0,6373,4,40151,54,46524,58,0,158,-3,51,6,6476,0,234,158
05-19-21,Cheatham,4596,1,3484,1,1112,0,3936,1,28917,41,32853,42,0,56,-1,40,2,4500,0,90,56
05-19-21,Chester,2160,2,1538,1,622,1,1831,1,12436,24,14267,25,0,51,-1,19,3,2090,0,45,51
