DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-10-21,Anderson,8769,3,6515,0,2254,3,7291,0,64562,88,71853,88,-1,171,-6,51,10,8547,0,217,171
05-10-21,Bedford,6513,0,5105,0,1408,0,5884,0,32763,19,38647,19,0,129,-11,27,11,6357,0,138,129
05-10-21,Benton,1666,0,1302,0,364,0,1442,0,9323,3,10765,3,0,40,-4,18,4,1608,0,39,40
05-10-21,Bledsoe,2147,1,1931,1,216,0,2049,1,16517,11,18566,12,0,11,-1,25,2,2111,0,32,11
05-10-21,Blount,15514,5,13162,1,2352,4,14520,1,78620,57,93140,58,2,195,-21,160,24,15159,0,356,195
05-10-21,Bradley,15073,10,12254,6,2819,4,13923,7,69753,83,83676,90,1,151,-16,175,25,14747,2,670,151
05-10-21,Campbell,4168,10,2273,6,1895,4,2552,6,25386,13,27938,19,0,63,4,33,6,4072,0,128,63
05-10-21,Cannon,1924,1,1530,0,394,1,1705,0,9657,4,11362,4,0,31,-4,15,5,1878,0,39,31
05-10-21,Carroll,3626,3,2354,0,1272,3,2795,0,20045,8,22840,8,0,83,3,32,0,3511,0,83,83
05-10-21,Carter,6642,3,5756,3,886,0,6336,3,39689,26,46025,29,0,158,-8,83,11,6401,0,233,158
05-10-21,Cheatham,4562,3,3462,2,1100,1,3910,2,28534,36,32444,38,0,56,0,42,3,4464,0,90,56
05-10-21,Chester,2149,2,1534,0,615,2,1825,0,12317,5,14142,5,0,51,0,25,2,2073,0,45,51
05-10-21,Claiborne,3186,5,2035,5,1151,0,2181,5,24952,14,27133,19,0,73,-5,21,10,3092,0,95,73
05-10-21,Clay,1103,0,755,0,348,0,872,0,5758,2,6630,2,0,31,-1,1,1,1071,0,26,31
05-10-21,Cocke,4518,6,2963,2,1555,4,3267,2,23025,13,26292,15,0,99,3,40,3,4379,0,119,99
05-10-21,Coffee,6914,3,4764,0,2150,3,5814,0,46930,13,52744,13,0,122,0,38,3,6754,0,124,122
05-10-21,Crockett,2032,0,1222,0,810,0,1426,1,7502,3,8928,4,1,49,-1,9,0,1974,0,31,49
05-10-21,Cumberland,6749,2,5531,2,1218,0,6356,2,49842,20,56198,22,0,133,-10,71,12,6545,0,166,133
05-10-21,Davidson,89499,37,83617,29,5882,8,101507,44,1037686,1290,1139193,1334,2,940,-87,663,122,87896,0,1982,939
05-10-21,Decatur,1590,1,1172,0,418,1,1392,0,11106,0,12498,0,0,39,1,9,0,1542,0,40,39
05-10-21,Dekalb,2805,2,2066,2,739,0,2383,2,17481,9,19864,11,0,54,-1,22,3,2729,0,56,54
05-10-21,Dickson,6845,3,4957,2,1888,1,5850,2,37057,60,42907,62,1,113,-4,42,6,6690,1,122,113
05-10-21,Dyer,5430,1,3566,0,1864,1,4026,0,22323,13,26349,13,0,106,-1,31,2,5293,0,110,106
05-10-21,Fayette,5098,6,4312,3,786,3,5334,3,39324,40,44658,43,1,77,-4,109,9,4912,0,132,77
05-10-21,Fentress,2423,0,2080,0,343,0,2374,0,13638,8,16012,8,0,47,-5,17,5,2359,0,64,47
05-10-21,Franklin,5157,3,4277,3,880,0,5003,3,39524,7,44527,10,0,90,-6,28,9,5039,0,110,90
05-10-21,Gibson,6531,0,3916,0,2615,0,4736,0,30431,11,35167,11,0,146,-6,38,6,6347,0,116,146
05-10-21,Giles,4004,5,3280,1,724,4,3772,0,23543,15,27315,15,0,100,4,34,1,3870,0,111,100
05-10-21,Grainger,2633,3,1939,2,694,1,2170,2,14392,10,16562,12,0,50,2,19,1,2564,0,72,50
05-10-21,Greene,7899,11,6290,8,1609,3,7042,8,52752,68,59794,76,0,156,5,80,6,7663,1,197,156
05-10-21,Grundy,1793,0,1499,0,294,0,1715,0,9493,1,11208,1,0,34,-1,4,1,1755,0,61,34
05-10-21,Hamblen,8620,4,5976,4,2644,0,6708,4,47041,21,53749,25,0,173,0,58,4,8389,0,265,173
05-10-21,Hamilton,44416,42,37982,32,6434,10,42601,39,329509,307,372110,346,0,495,-3,480,45,43441,1,1174,495
05-10-21,Hancock,591,0,407,0,184,0,435,0,4045,2,4480,2,0,12,-1,7,1,572,0,23,12
05-10-21,Hardeman,3527,0,2828,0,699,0,3306,0,25920,7,29226,7,0,64,-3,29,3,3434,0,105,64
05-10-21,Hardin,3582,4,2410,0,1172,4,2861,0,23986,15,26847,15,0,68,2,27,2,3487,0,68,68
05-10-21,Hawkins,6117,7,4929,3,1188,4,5309,3,36332,33,41641,36,0,107,-11,169,18,5841,1,159,107
