DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-24-21,Anderson,8821,8,6528,3,2293,5,7330,3,65581,58,72911,61,0,172,1,53,7,8596,0,223,172
05-24-21,Bedford,6545,0,5118,0,1427,0,5905,0,33241,16,39146,16,0,130,-3,24,3,6391,0,138,130
05-24-21,Benton,1682,0,1311,0,371,0,1452,0,9431,5,10883,5,0,40,-4,7,4,1635,0,41,40
05-24-21,Bledsoe,2178,0,1953,0,225,0,2072,0,16823,10,18895,10,0,11,-2,24,2,2143,0,33,11
05-24-21,Blount,15608,1,13228,0,2380,1,14612,0,80146,72,94758,72,0,196,-14,70,15,15342,0,362,196
05-24-21,Bradley,15182,6,12344,6,2838,0,14033,8,71481,163,85514,171,0,152,-11,84,17,14946,1,683,152
05-24-21,Campbell,4197,4,2286,2,1911,2,2564,2,25640,16,28204,18,0,63,3,23,1,4111,0,128,63
05-24-21,Cannon,1933,0,1536,0,397,0,1710,0,9821,4,11531,4,0,31,0,8,0,1894,0,39,31
05-24-21,Carroll,3646,1,2363,0,1283,1,2806,0,20288,10,23094,10,0,84,-1,21,2,3541,0,85,84
05-24-21,Carter,6693,2,5800,2,893,0,6375,2,41023,22,47398,24,0,158,-3,41,5,6494,0,235,158
05-24-21,Cheatham,4605,5,3488,3,1117,2,3941,3,29076,19,33017,22,0,56,0,27,5,4522,0,90,56
05-24-21,Chester,2170,1,1542,0,628,1,1836,0,12472,3,14308,3,0,51,-1,20,2,2099,0,45,51
05-24-21,Claiborne,3194,2,2038,1,1156,1,2188,1,25226,19,27414,20,0,74,-1,5,3,3115,0,95,74
05-24-21,Clay,1104,0,757,0,347,0,874,0,5798,5,6672,5,0,30,0,1,0,1073,0,25,30
05-24-21,Cocke,4537,3,2971,1,1566,2,3279,1,23450,17,26729,18,0,100,-3,16,6,4421,0,120,100
05-24-21,Coffee,6939,5,4774,2,2165,3,5835,2,47506,25,53341,27,1,125,0,33,4,6781,0,126,125
05-24-21,Crockett,2039,0,1224,0,815,0,1431,0,7590,2,9021,2,0,49,0,8,0,1982,0,32,49
05-24-21,Cumberland,6810,2,5576,2,1234,0,6410,3,50340,15,56750,18,0,133,-3,50,5,6627,0,168,133
05-24-21,Davidson,90039,31,84045,28,5994,3,102146,31,1055858,1325,1158004,1356,1,948,-31,483,61,88608,0,2007,947
05-24-21,Decatur,1601,0,1180,0,421,0,1403,0,11205,3,12608,3,0,39,-1,10,1,1552,0,40,39
05-24-21,Dekalb,2816,1,2069,1,747,0,2387,1,17732,15,20119,16,0,54,1,14,0,2748,0,57,54
