DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-26-21,Anderson,8830,8,6533,5,2297,3,7339,8,65725,101,73064,109,0,172,1,43,7,8615,0,225,172
05-26-21,Bedford,6546,0,5118,0,1428,0,5907,1,33332,42,39239,43,0,130,0,25,0,6391,0,138,130
05-26-21,Benton,1681,0,1312,0,369,0,1453,0,9449,11,10902,11,1,41,-4,5,3,1635,0,42,41
05-26-21,Bledsoe,2180,2,1955,2,225,0,2073,2,16876,39,18949,41,0,11,1,22,1,2147,0,33,11
05-26-21,Blount,15620,5,13239,4,2381,1,14627,6,80394,137,95021,143,0,196,-6,63,11,15361,0,363,196
05-26-21,Bradley,15195,9,12352,8,2843,1,14044,8,71681,125,85725,133,1,153,-1,83,9,14959,0,683,153
05-26-21,Campbell,4200,2,2287,1,1913,1,2565,1,25688,29,28253,30,0,63,0,20,2,4117,0,128,63
05-26-21,Cannon,1935,0,1536,0,399,0,1711,0,9844,15,11555,15,0,31,-2,7,2,1897,0,39,31
05-26-21,Carroll,3653,2,2368,1,1285,1,2811,1,20318,15,23129,16,-1,83,0,23,3,3547,0,85,83
05-26-21,Carter,6695,1,5800,0,895,1,6377,0,41124,47,47501,47,0,158,-6,36,7,6501,0,235,158
05-26-21,Cheatham,4605,1,3489,1,1116,0,3943,2,29146,29,33089,31,0,56,-5,14,6,4535,0,90,56
05-26-21,Chester,2171,1,1542,0,629,1,1837,1,12496,17,14333,18,0,51,1,16,0,2104,0,45,51
05-26-21,Claiborne,3198,1,2041,1,1157,0,2193,1,25265,25,27458,26,0,74,1,8,0,3116,0,95,74
05-26-21,Clay,1103,0,756,0,347,0,874,0,5808,7,6682,7,0,30,0,0,0,1073,0,25,30
05-26-21,Cocke,4540,1,2974,1,1566,0,3282,2,23514,46,26796,48,0,100,-2,14,3,4426,0,121,100
05-26-21,Coffee,6947,4,4778,2,2169,2,5838,3,47622,64,53460,67,0,125,1,35,3,6787,1,127,125
05-26-21,Crockett,2041,2,1225,1,816,1,1433,1,7607,10,9040,11,0,49,2,8,0,1984,0,32,49
05-26-21,Cumberland,6816,5,5582,5,1234,0,6417,5,50410,44,56827,49,5,138,-4,50,4,6628,0,173,138
05-26-21,Davidson,90080,29,84073,23,6007,6,102199,27,1058683,1418,1160882,1445,0,948,-29,429,58,88703,0,2007,948
05-26-21,Decatur,1604,3,1183,3,421,0,1407,3,11217,8,12624,11,0,39,3,12,0,1553,0,40,39
05-26-21,Dekalb,2819,3,2071,2,748,1,2390,2,17763,12,20153,14,0,54,3,16,0,2749,0,57,54
05-26-21,Dickson,6900,3,4986,1,1914,2,5887,3,37828,38,43715,41,0,114,3,34,0,6752,0,122,114
05-26-21,Dyer,5456,0,3577,0,1879,0,4041,0,22619,28,26660,28,0,106,-1,20,1,5330,0,117,106
05-26-21,Fayette,5156,5,4359,3,797,2,5404,6,40238,75,45642,81,3,83,-1,35,3,5038,0,141,83
05-26-21,Fentress,2441,0,2095,0,346,0,2391,0,13897,15,16288,15,1,48,-3,7,2,2386,0,65,48
05-26-21,Franklin,5174,3,4289,2,885,1,5024,2,39955,26,44979,28,0,90,0,11,3,5073,0,110,90
