DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-16-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-16-20,Sevier,1,,,,,,,,,,,,,,,,,,,
03-16-20,Shelby,2,0,,,,,,,,,,,,,,,,,,
03-16-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-16-20,Sumner,,,,,,,,,,,,,,,,,,,,
03-16-20,Williamson,18,4,,,,,,,,,,,,,,,,,,
03-16-20,Wilson,,,,,,,,,,,,,,,,,,,,
03-17-20,Blount,,,,,,,,,,,,,,,,,,,,
03-17-20,Bradley,,,,,,,,,,,,,,,,,,,,
03-17-20,Campbell,1,0,,,,,,,,,,,,,,,,,,
03-17-20,Carroll,,,,,,,,,,,,,,,,,,,,
03-17-20,Cocke,,,,,,,,,,,,,,,,,,,,
03-17-20,Cumberland,,,,,,,,,,,,,,,,,,,,
03-17-20,Davidson,42,17,,,,,,,,,,,,,,,,,,
03-17-20,Dickson,,,,,,,,,,,,,,,,,,,,
03-17-20,Dyer,,,,,,,,,,,,,,,,,,,,
03-17-20,Franklin,,,,,,,,,,,,,,,,,,,,
03-17-20,Greene,,,,,,,,,,,,,,,,,,,,
03-17-20,Hamblen,,,,,,,,,,,,,,,,,,,,
03-17-20,Hamilton,1,0,,,,,,,,,,,,,,,,,,
03-17-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-17-20,Knox,2,1,,,,,,,,,,,,,,,,,,
03-17-20,Loudon,,,,,,,,,,,,,,,,,,,,
03-17-20,Maury,,,,,,,,,,,,,,,,,,,,
03-17-20,Monroe,,,,,,,,,,,,,,,,,,,,
03-17-20,Montgomery,,,,,,,,,,,,,,,,,,,,
03-17-20,Putnam,,,,,,,,,,,,,,,,,,,,
03-17-20,Roane,,,,,,,,,,,,,,,,,,,,
03-17-20,Robertson,,,,,,,,,,,,,,,,,,,,
03-17-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-17-20,Scott,,,,,,,,,,,,,,,,,,,,
03-17-20,Sevier,1,0,,,,,,,,,,,,,,,,,,
03-17-20,Shelby,2,0,,,,,,,,,,,,,,,,,,
03-17-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-17-20,Sumner,,,,,,,,,,,,,,,,,,,,
03-17-20,Tipton,,,,,,,,,,,,,,,,,,,,
03-17-20,Washington,,,,,,,,,,,,,,,,,,,,
03-17-20,Williamson,21,3,,,,,,,,,,,,,,,,,,
03-17-20,Wilson,,,,,,,,,,,,,,,,,,,,
03-18-20,Anderson,,,,,,,,,,,,,,,,,,,,
03-18-20,Bradley,,,,,,,,,,,,,,,,,,,,
03-18-20,Campbell,1,0,,,,,,,,,,,,,,,,,,
03-18-20,Carroll,,,,,,,,,,,,,,,,,,,,
03-18-20,Cheatham,1,,,,,,,,,,,,,,,,,,,
03-18-20,Davidson,58,16,,,,,,,,,,,,,,,,,,
03-18-20,Dickson,,,,,,,,,,,,,,,,,,,,
03-18-20,Greene,,,,,,,,,,,,,,,,,,,,
03-18-20,Hamblen,,,,,,,,,,,,,,,,,,,,
03-18-20,Hamilton,1,0,,,,,,,,,,,,,,,,,,
03-18-20,Humphreys,,,,,,,,,,,,,,,,,,,,
03-18-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-18-20,Knox,2,0,,,,,,,,,,,,,,,,,,
03-18-20,Marion,,,,,,,,,,,,,,,,,,,,
03-18-20,Maury,,,,,,,,,,,,,,,,,,,,
03-18-20,McNairy,,,,,,,,,,,,,,,,,,,,
03-18-20,Montgomery,,,,,,,,,,,,,,,,,,,,
03-18-20,Robertson,1,,,,,,,,,,,,,,,,,,,
03-18-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-18-20,Sevier,1,0,,,,,,,,,,,,,,,,,,
03-18-20,Shelby,4,2,,,,,,,,,,,,,,,,,,
03-18-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-18-20,Sumner,2,,,,,,,,,,,,,,,,,,,
03-18-20,Tipton,,,,,,,,,,,,,,,,,,,,
03-18-20,Washington,,,,,,,,,,,,,,,,,,,,
03-18-20,Williamson,24,3,,,,,,,,,,,,,,,,,,
03-18-20,Wilson,,,,,,,,,,,,,,,,,,,,
03-19-20,Blount,,,,,,,,,,,,,,,,,,,,
03-19-20,Campbell,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Carroll,,,,,,,,,,,,,,,,,,,,
03-19-20,Cheatham,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Cumberland,1,,,,,,,,,,,,,,,,,,,
03-19-20,Davidson,75,17,,,,,,,,,,,,,,,,,,
03-19-20,Dickson,,,,,,,,,,,,,,,,,,,,
03-19-20,Dyer,1,,,,,,,,,,,,,,,,,,,
03-19-20,Fayette,,,,,,,,,,,,,,,,,,,,
03-19-20,Gibson,,,,,,,,,,,,,,,,,,,,
03-19-20,Greene,,,,,,,,,,,,,,,,,,,,
