DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-20-20,Bradley,1,,,,,,,,,,,,,,,
03-20-20,Campbell,1,0,,,,,,,,,,,,,,
03-20-20,Cheatham,2,1,,,,,,,,,,,,,,
03-20-20,Cumberland,2,1,,,,,,,,,,,,,,
03-20-20,Davidson,101,26,,,,,,,,,,,,,,
03-20-20,Dickson,2,,,,,,,,,,,,,,,
03-20-20,Dyer,1,0,,,,,,,,,,,,,,
03-20-20,Greene,1,,,,,,,,,,,,,,,
03-20-20,Hamblen,1,,,,,,,,,,,,,,,
03-20-20,Hamilton,5,4,,,,,,,,,,,,,,
03-20-20,Jefferson,1,0,,,,,,,,,,,,,,
03-20-20,Knox,3,1,,,,,,,,,,,,,,
03-20-20,Maury,1,,,,,,,,,,,,,,,
03-20-20,Montgomery,3,2,,,,,,,,,,,,,,
03-20-20,Out of State,40,14,,,,,,,,,,,,,,
03-20-20,Robertson,2,0,,,,,,,,,,,,,,
03-20-20,Rutherford,1,0,,,,,,,,,,,,,,
03-20-20,Sevier,1,0,,,,,,,,,,,,,,
03-20-20,Shelby,4,0,,,,,,,,,,,,,,
03-20-20,Sullivan,1,0,,,,,,,,,,,,,,
03-20-20,Sumner,11,8,,,,,,,,,,,,,,
03-20-20,Tipton,1,,,,,,,,,,,,,,,
03-20-20,Washington,2,,,,,,,,,,,,,,,
03-20-20,Williamson,35,5,,,,,,,,,,,,,,
03-20-20,Wilson,3,2,,,,,,,,,,,,,,
03-21-20,Anderson,1,0,,,,,,,,,,,,,,
03-21-20,Blount,1,0,,,,,,,,,,,,,,
03-21-20,Bradley,1,0,,,,,,,,,,,,,,
03-21-20,Campbell,2,1,,,,,,,,,,,,,,
03-21-20,Carroll,1,,,,,,,,,,,,,,,
03-21-20,Cheatham,2,0,,,,,,,,,,,,,,
03-21-20,Cocke,1,,,,,,,,,,,,,,,
03-21-20,Cumberland,2,0,,,,,,,,,,,,,,
03-21-20,Davidson,140,39,,,,,,,,,,,,,,
03-21-20,Dickson,3,1,,,,,,,,,,,,,,
03-21-20,Dyer,2,1,,,,,,,,,,,,,,
03-21-20,Fayette,1,,,,,,,,,,,,,,,
03-21-20,Greene,1,0,,,,,,,,,,,,,,
03-21-20,Hamblen,2,1,,,,,,,,,,,,,,
03-21-20,Hamilton,7,2,,,,,,,,,,,,,,
03-21-20,Jefferson,1,0,,,,,,,,,,,,,,
03-21-20,Knox,4,1,,,,,,,,,,,,,,
03-21-20,Maury,1,0,,,,,,,,,,,,,,
03-21-20,Monroe,3,,,,,,,,,,,,,,,
03-21-20,Montgomery,3,0,,,,,,,,,,,,,,
03-21-20,Out of State,59,19,,,,,,,,,,,,,,
03-21-20,Pending,10,9,,,,,,,,,,,,,,
03-21-20,Putnam,5,,,,,,,,,,,,,,,
03-21-20,Roane,1,,,,,,,,,,,,,,,
03-21-20,Robertson,2,0,,,,,,,,,,,,,,
03-21-20,Rutherford,5,4,,,,,,,,,,,,,,
03-21-20,Scott,2,,,,,,,,,,,,,,,
03-21-20,Sevier,2,1,,,,,,,,,,,,,,
03-21-20,Shelby,40,36,,,,,,,,,,,,,,
03-21-20,Sullivan,1,0,,,,,,,,,,,,,,
03-21-20,Sumner,11,0,,,,,,,,,,,,,,
03-21-20,Tipton,2,1,,,,,,,,,,,,,,
03-21-20,Washington,2,0,,,,,,,,,,,,,,
03-21-20,Williamson,47,12,,,,,,,,,,,,,,
03-21-20,Wilson,3,0,,,,,,,,,,,,,,
03-22-20,Anderson,1,0,,,,,,,,,,,,,,
03-22-20,Blount,1,0,,,,,,,,,,,,,,
03-22-20,Bradley,2,1,,,,,,,,,,,,,,
03-22-20,Campbell,2,0,,,,,,,,,,,,,,
03-22-20,Carroll,2,1,,,,,,,,,,,,,,
03-22-20,Cheatham,4,2,,,,,,,,,,,,,,
03-22-20,Chester,1,,,,,,,,,,,,,,,
03-22-20,Cocke,1,0,,,,,,,,,,,,,,
03-22-20,Cumberland,2,0,,,,,,,,,,,,,,
03-22-20,Davidson,167,27,,,,,,,,,,,,,,
03-22-20,Dickson,4,1,,,,,,,,,,,,,,
03-22-20,Dyer,2,0,,,,,,,,,,,,,,
03-22-20,Fayette,3,2,,,,,,,,,,,,,,
03-22-20,Franklin,1,,,,,,,,,,,,,,,
03-22-20,Gibson,1,,,,,,,,,,,,,,,
03-22-20,Greene,2,1,,,,,,,,,,,,,,
03-22-20,Hamblen,2,0,,,,,,,,,,,,,,
03-22-20,Hamilton,8,1,,,,,,,,,,,,,,
03-22-20,Houston,1,,,,,,,,,,,,,,,
03-22-20,Jefferson,2,1,,,,,,,,,,,,,,
03-22-20,Knox,5,1,,,,,,,,,,,,,,
03-22-20,Loudon,1,,,,,,,,,,,,,,,
03-22-20,Marion,1,,,,,,,,,,,,,,,
03-22-20,Maury,2,1,,,,,,,,,,,,,,
03-22-20,McMinn,1,,,,,,,,,,,,,,,
03-22-20,Monroe,3,0,,,,,,,,,,,,,,
03-22-20,Montgomery,3,0,,,,,,,,,,,,,,
03-22-20,Out of State,82,23,,,,,,,,,,,,,,
03-22-20,Pending,30,20,,,,,,,,,,,,,,
03-22-20,Perry,1,,,,,,,,,,,,,,,
03-22-20,Putnam,6,1,,,,,,,,,,,,,,
03-22-20,Roane,1,0,,,,,,,,,,,,,,
03-22-20,Robertson,3,1,,,,,,,,,,,,,,
03-22-20,Rutherford,8,3,,,,,,,,,,,,,,
03-22-20,Scott,2,0,,,,,,,,,,,,,,
03-22-20,Sevier,1,-1,,,,,,,,,,,,,,
03-22-20,Shelby,66,26,,,,,,,,,,,,,,
03-22-20,Sullivan,1,0,,,,,,,,,,,,,,
03-22-20,Sumner,22,11,,,,,,,,,,,,,,
03-22-20,Tipton,5,3,,,,,,,,,,,,,,
03-22-20,Washington,2,0,,,,,,,,,,,,,,
03-22-20,Williamson,48,1,,,,,,,,,,,,,,
03-22-20,Wilson,2,-1,,,,,,,,,,,,,,
03-23-20,Anderson,1,0,,,,,,,,,,,,,,
03-23-20,Blount,2,1,,,,,,,,,,,,,,
03-23-20,Bradley,1,-1,,,,,,,,,,,,,,
03-23-20,Campbell,2,0,,,,,,,,,,,,,,
03-23-20,Carroll,2,0,,,,,,,,,,,,,,
