Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
12/02/2022,Central New York,98,220338,2072,4421761,4.45%,REGION
12/02/2022,Chautauqua,4,28467,122,531245,3.39%,COUNTY
12/02/2022,Chemung,20,25907,418,485291,6.41%,COUNTY
12/02/2022,Chenango,9,11462,96,238113,9.57%,COUNTY
12/02/2022,Clinton,23,21623,181,406465,13.61%,COUNTY
12/02/2022,Columbia,10,13163,76,253601,11.59%,COUNTY
12/02/2022,Cortland,8,12884,163,307782,4.97%,COUNTY
12/02/2022,Delaware,5,9723,99,201321,4.08%,COUNTY
12/02/2022,Dutchess,76,80491,831,1488074,8.98%,COUNTY
12/02/2022,Erie,105,259949,1361,4242070,6.67%,COUNTY
12/02/2022,Essex,3,7362,95,165819,4.29%,COUNTY
12/02/2022,Finger Lakes,129,292876,2854,5654125,4.68%,REGION
12/02/2022,Franklin,3,11705,114,218795,2.33%,COUNTY
12/02/2022,Fulton,6,16018,148,231993,4.38%,COUNTY
12/02/2022,Genesee,7,16086,121,275731,5.45%,COUNTY
12/02/2022,Greene,9,10469,70,181864,13.04%,COUNTY
12/02/2022,Hamilton,0,1057,10,20325,0.00%,COUNTY
12/02/2022,Herkimer,2,16903,247,327575,1.83%,COUNTY
12/02/2022,Jefferson,12,25786,321,410008,3.60%,COUNTY
12/02/2022,Kings,907,867962,18068,18811616,4.06%,COUNTY
12/02/2022,Lewis,4,7100,56,104571,8.51%,COUNTY
12/02/2022,Livingston,7,13931,168,286616,3.16%,COUNTY
12/02/2022,Long Island,1350,1058214,14473,17001612,8.18%,REGION
12/02/2022,Madison,11,16289,160,373474,6.90%,COUNTY
12/02/2022,Mid-Hudson,719,738242,15454,13483012,3.87%,REGION
12/02/2022,Mohawk Valley,34,133200,1255,2751342,3.38%,REGION
12/02/2022,Monroe,80,185090,1772,3673148,5.02%,COUNTY
12/02/2022,Montgomery,7,14528,137,224149,7.00%,COUNTY
12/02/2022,Nassau,639,520603,7093,8453743,7.97%,COUNTY
12/02/2022,New York,596,558759,10233,14520063,5.21%,COUNTY
12/02/2022,New York City,3245,2934763,49590,60755073,5.70%,REGION
12/02/2022,Niagara,21,57751,383,906736,6.67%,COUNTY
12/02/2022,North Country,52,100203,933,1948191,5.86%,REGION
12/02/2022,Oneida,14,66633,529,1532240,2.90%,COUNTY
12/02/2022,Onondaga,51,138114,1162,2808260,4.11%,COUNTY
12/02/2022,Ontario,11,25099,296,483311,3.97%,COUNTY
