Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
09/10/2022,Niagara,20,55429,286,882235,9.45%,COUNTY
09/10/2022,North Country,72,94372,607,1880016,10.79%,REGION
09/10/2022,Oneida,34,63249,457,1482097,10.92%,COUNTY
09/10/2022,Onondaga,86,131403,941,2717371,9.47%,COUNTY
09/10/2022,Ontario,17,23633,189,462526,10.18%,COUNTY
09/10/2022,Orange,65,124945,1068,1865063,5.86%,COUNTY
09/10/2022,Orleans,8,9742,64,153308,5.77%,COUNTY
09/10/2022,Oswego,33,31228,187,512312,17.68%,COUNTY
09/10/2022,Otsego,18,12137,102,302287,17.65%,COUNTY
09/10/2022,Putnam,15,28239,230,472351,6.98%,COUNTY
09/10/2022,Queens,512,774888,7793,14195989,5.71%,COUNTY
09/10/2022,Rensselaer,21,38137,272,851833,8.05%,COUNTY
09/10/2022,Richmond,103,192395,1561,3569330,5.59%,COUNTY
09/10/2022,Rockland,66,107491,766,2257583,8.19%,COUNTY
09/10/2022,STATEWIDE,4294,5961567,58453,118658695,6.64%,STATEWIDE
09/10/2022,Saratoga,39,56203,434,1043437,7.49%,COUNTY
09/10/2022,Schenectady,30,39905,280,811201,10.70%,COUNTY
09/10/2022,Schoharie,3,5960,51,117346,6.00%,COUNTY
09/10/2022,Schuyler,2,4023,75,95264,2.70%,COUNTY
09/10/2022,Seneca,3,6902,53,134008,6.12%,COUNTY
09/10/2022,Southern Tier,113,162078,1473,5858384,8.02%,REGION
09/10/2022,St. Lawrence,22,24363,160,606509,10.74%,COUNTY
09/10/2022,Steuben,21,23194,234,461467,9.05%,COUNTY
09/10/2022,Suffolk,534,506890,5313,8178820,6.42%,COUNTY
09/10/2022,Sullivan,13,21911,208,358878,6.38%,COUNTY
09/10/2022,Tioga,12,12769,123,225182,9.48%,COUNTY
09/10/2022,Tompkins,13,24230,311,3045558,3.61%,COUNTY
09/10/2022,Ulster,32,38412,225,841059,14.07%,COUNTY
09/10/2022,Warren,16,16896,239,324397,3.31%,COUNTY
09/10/2022,Washington,11,14296,243,276342,4.48%,COUNTY
09/10/2022,Wayne,10,19975,164,367075,6.45%,COUNTY
09/10/2022,Westchester,196,301732,2913,5667772,5.72%,COUNTY
09/10/2022,Western New York,262,359053,2178,6060565,13.03%,REGION
09/10/2022,Wyoming,2,9308,42,153634,5.13%,COUNTY
09/10/2022,Yates,3,4021,36,87399,11.54%,COUNTY
09/09/2022,Albany,70,71755,568,1362474,11.83%,COUNTY
09/09/2022,Allegany,20,9989,110,242970,18.46%,COUNTY
09/09/2022,Bronx,245,458837,4036,8521430,5.45%,COUNTY
09/09/2022,Broome,45,53373,515,1144047,8.80%,COUNTY
09/09/2022,Capital Region,237,259377,2396,5092142,10.16%,REGION
09/09/2022,Cattaraugus,20,17804,166,298598,16.47%,COUNTY
09/09/2022,Cayuga,16,18617,152,381123,12.60%,COUNTY
09/09/2022,Central New York,178,208743,2133,4269336,9.34%,REGION
09/09/2022,Chautauqua,29,27183,86,519107,31.65%,COUNTY
09/09/2022,Chemung,34,24379,412,463644,12.70%,COUNTY
09/09/2022,Chenango,10,10806,98,229369,9.20%,COUNTY
09/09/2022,Clinton,19,20260,118,394719,18.10%,COUNTY
09/09/2022,Columbia,17,12325,104,247207,11.70%,COUNTY
09/09/2022,Cortland,28,12218,133,297973,21.88%,COUNTY
09/09/2022,Delaware,9,9239,224,193123,4.15%,COUNTY
09/09/2022,Dutchess,45,75920,464,1439934,9.02%,COUNTY
09/09/2022,Erie,150,248406,1370,4115763,9.67%,COUNTY
09/09/2022,Essex,9,6903,89,159799,11.27%,COUNTY
09/09/2022,Finger Lakes,192,279013,2768,5431944,7.33%,REGION
09/09/2022,Franklin,8,11004,119,209833,8.99%,COUNTY
09/09/2022,Fulton,21,14931,267,220378,21.51%,COUNTY
09/09/2022,Genesee,9,15305,207,264435,4.43%,COUNTY
09/09/2022,Greene,12,9977,51,176719,12.50%,COUNTY
09/09/2022,Hamilton,0,998,9,19616,0.00%,COUNTY
09/09/2022,Herkimer,11,16081,191,313883,6.96%,COUNTY
09/09/2022,Jefferson,23,23959,227,388259,7.43%,COUNTY
09/09/2022,Kings,502,822936,10997,17961809,4.63%,COUNTY
09/09/2022,Lewis,4,6835,63,100834,10.34%,COUNTY
09/09/2022,Livingston,7,13251,103,277354,5.43%,COUNTY
09/09/2022,Long Island,573,996858,7330,16264165,7.55%,REGION
09/09/2022,Madison,12,15396,300,361685,3.43%,COUNTY
09/09/2022,Mid-Hudson,418,698263,5018,12897230,8.26%,REGION
09/09/2022,Mohawk Valley,129,126022,1709,2651581,11.25%,REGION
09/09/2022,Monroe,117,176919,1662,3532753,7.62%,COUNTY
09/09/2022,Montgomery,6,13719,69,216200,10.34%,COUNTY
09/09/2022,Nassau,255,490502,3639,8090658,7.16%,COUNTY
09/09/2022,New York,414,525500,8208,13959933,4.59%,COUNTY
09/09/2022,New York City,1729,2773941,31860,58199137,5.23%,REGION
09/09/2022,Niagara,22,55409,244,881949,9.52%,COUNTY
09/09/2022,North Country,81,94300,791,1879409,10.51%,REGION
09/09/2022,Oneida,62,63215,783,1481640,11.61%,COUNTY
09/09/2022,Onondaga,93,131317,1279,2716430,8.03%,COUNTY
09/09/2022,Ontario,15,23616,276,462337,5.96%,COUNTY
09/09/2022,Orange,103,124880,1029,1863995,9.54%,COUNTY
09/09/2022,Orleans,5,9734,60,153244,8.47%,COUNTY
09/09/2022,Oswego,29,31195,269,512125,11.76%,COUNTY
09/09/2022,Otsego,21,12119,330,302185,9.14%,COUNTY
09/09/2022,Putnam,21,28224,226,472121,9.95%,COUNTY
09/09/2022,Queens,505,774376,7232,14188196,7.08%,COUNTY
09/09/2022,Rensselaer,27,38116,301,851561,9.19%,COUNTY
09/09/2022,Richmond,63,192292,1387,3567769,3.92%,COUNTY
09/09/2022,Rockland,42,107425,788,2256817,5.79%,COUNTY
09/09/2022,STATEWIDE,3924,5957273,57871,118600242,6.78%,STATEWIDE
09/09/2022,Saratoga,57,56164,450,1043003,12.78%,COUNTY
09/09/2022,Schenectady,38,39875,563,810921,8.65%,COUNTY
09/09/2022,Schoharie,8,5957,69,117295,9.23%,COUNTY
09/09/2022,Schuyler,2,4021,45,95189,5.41%,COUNTY
09/09/2022,Seneca,7,6899,73,133955,7.69%,COUNTY
09/09/2022,Southern Tier,146,161965,1890,5856911,8.64%,REGION
09/09/2022,St. Lawrence,18,24341,166,606349,9.68%,COUNTY
09/09/2022,Steuben,20,23173,272,461233,9.35%,COUNTY
09/09/2022,Suffolk,318,506356,3691,8173507,7.93%,COUNTY
09/09/2022,Sullivan,18,21898,160,358670,11.11%,COUNTY
09/09/2022,Tioga,10,12757,124,225059,8.62%,COUNTY
09/09/2022,Tompkins,16,24217,200,3045247,7.65%,COUNTY
09/09/2022,Ulster,27,38380,254,840834,10.60%,COUNTY
09/09/2022,Warren,9,16880,216,324158,3.17%,COUNTY
09/09/2022,Washington,7,14285,143,276099,6.15%,COUNTY
09/09/2022,Wayne,27,19965,263,366911,10.82%,COUNTY
09/09/2022,Westchester,162,301536,2097,5664859,7.73%,COUNTY
09/09/2022,Western New York,241,358791,1976,6058387,11.43%,REGION
09/09/2022,Wyoming,1,9306,72,153592,1.54%,COUNTY
09/09/2022,Yates,4,4018,52,87363,10.26%,COUNTY
09/08/2022,Albany,78,71685,568,1361906,14.01%,COUNTY
09/08/2022,Allegany,15,9969,116,242860,7.81%,COUNTY
09/08/2022,Bronx,282,458592,4657,8517394,5.56%,COUNTY
09/08/2022,Broome,62,53328,590,1143532,11.15%,COUNTY
09/08/2022,Capital Region,241,259140,2661,5089746,8.80%,REGION
09/08/2022,Cattaraugus,25,17784,147,298432,17.39%,COUNTY
09/08/2022,Cayuga,16,18601,191,380971,8.43%,COUNTY
09/08/2022,Central New York,208,208565,2434,4267203,8.75%,REGION
09/08/2022,Chautauqua,18,27154,133,519021,14.17%,COUNTY
09/08/2022,Chemung,24,24345,247,463232,13.61%,COUNTY
09/08/2022,Chenango,11,10796,125,229271,14.29%,COUNTY
09/08/2022,Clinton,12,20241,150,394601,8.40%,COUNTY
09/08/2022,Columbia,9,12308,79,247103,10.81%,COUNTY
09/08/2022,Cortland,23,12190,150,297840,14.71%,COUNTY
09/08/2022,Delaware,6,9230,74,192899,7.35%,COUNTY
09/08/2022,Dutchess,39,75875,523,1439470,7.17%,COUNTY
09/08/2022,Erie,215,248256,1957,4114393,11.26%,COUNTY
09/08/2022,Essex,7,6894,83,159710,7.81%,COUNTY
09/08/2022,Finger Lakes,220,278821,3142,5429176,7.65%,REGION
09/08/2022,Franklin,12,10996,270,209714,4.18%,COUNTY
09/08/2022,Fulton,15,14910,93,220111,21.21%,COUNTY
09/08/2022,Genesee,12,15296,152,264228,5.59%,COUNTY
09/08/2022,Greene,2,9965,65,176668,3.17%,COUNTY
09/08/2022,Hamilton,0,998,9,19607,0.00%,COUNTY
09/08/2022,Herkimer,13,16070,147,313692,6.59%,COUNTY
09/08/2022,Jefferson,27,23936,247,388032,8.00%,COUNTY
09/08/2022,Kings,513,822434,11931,17950812,3.90%,COUNTY
09/08/2022,Lewis,3,6831,57,100771,6.67%,COUNTY
09/08/2022,Livingston,11,13244,122,277251,9.52%,COUNTY
09/08/2022,Long Island,642,996285,7809,16256835,8.02%,REGION
09/08/2022,Madison,16,15384,165,361385,9.23%,COUNTY
09/08/2022,Mid-Hudson,455,697845,6022,12892212,7.48%,REGION
09/08/2022,Mohawk Valley,122,125893,1272,2649872,11.47%,REGION
09/08/2022,Monroe,133,176802,2048,3531091,7.54%,COUNTY
09/08/2022,Montgomery,13,13713,75,216131,16.44%,COUNTY
09/08/2022,Nassau,304,490247,3775,8087019,8.14%,COUNTY
09/08/2022,New York,372,525086,7647,13951725,4.91%,COUNTY
09/08/2022,New York City,1811,2772212,33533,58167277,5.09%,REGION
09/08/2022,Niagara,33,55387,362,881705,9.60%,COUNTY
09/08/2022,North Country,91,94219,1063,1878618,7.85%,REGION
09/08/2022,Oneida,68,63153,755,1480857,12.57%,COUNTY
09/08/2022,Onondaga,123,131224,1630,2715151,7.66%,COUNTY
09/08/2022,Ontario,26,23601,304,462061,10.26%,COUNTY
09/08/2022,Orange,94,124777,1143,1862966,8.11%,COUNTY
09/08/2022,Orleans,9,9729,75,153184,10.61%,COUNTY
09/08/2022,Oswego,30,31166,298,511856,11.98%,COUNTY
09/08/2022,Otsego,10,12098,167,301855,6.06%,COUNTY
09/08/2022,Putnam,30,28203,253,471895,10.78%,COUNTY
09/08/2022,Queens,532,773871,7573,14180964,6.81%,COUNTY
09/08/2022,Rensselaer,28,38089,621,851260,4.56%,COUNTY
09/08/2022,Richmond,112,192229,1725,3566382,6.09%,COUNTY
09/08/2022,Rockland,56,107383,947,2256029,6.20%,COUNTY
09/08/2022,STATEWIDE,4263,5953349,62519,118542371,6.71%,STATEWIDE
09/08/2022,Saratoga,47,56107,579,1042553,7.50%,COUNTY
09/08/2022,Schenectady,46,39837,290,810358,13.91%,COUNTY
09/08/2022,Schoharie,3,5949,35,117226,8.82%,COUNTY
09/08/2022,Schuyler,4,4019,107,95144,3.85%,COUNTY
09/08/2022,Seneca,7,6892,83,133882,9.59%,COUNTY
09/08/2022,Southern Tier,167,161819,1868,5855021,10.19%,REGION
09/08/2022,St. Lawrence,30,24323,247,606183,12.11%,COUNTY
09/08/2022,Steuben,23,23153,309,460961,10.28%,COUNTY
09/08/2022,Suffolk,338,506038,4034,8169816,7.92%,COUNTY
09/08/2022,Sullivan,18,21880,221,358510,6.62%,COUNTY
09/08/2022,Tioga,5,12747,118,224935,4.50%,COUNTY
09/08/2022,Tompkins,32,24201,298,3045047,10.42%,COUNTY
09/08/2022,Ulster,41,38353,322,840580,13.19%,COUNTY
09/08/2022,Warren,21,16871,221,323942,6.90%,COUNTY
09/08/2022,Washington,10,14278,238,275956,6.15%,COUNTY
09/08/2022,Wayne,18,19938,193,366648,9.04%,COUNTY
09/08/2022,Westchester,177,301374,2613,5662762,6.74%,COUNTY
09/08/2022,Western New York,306,358550,2715,6056411,11.44%,REGION
09/08/2022,Wyoming,3,9305,97,153520,1.11%,COUNTY
09/08/2022,Yates,1,4014,68,87311,0.00%,COUNTY
09/07/2022,Albany,47,71607,788,1361338,6.22%,COUNTY
09/07/2022,Allegany,8,9954,70,242744,7.69%,COUNTY
09/07/2022,Bronx,270,458310,5033,8512737,5.11%,COUNTY
09/07/2022,Broome,41,53266,573,1142942,7.78%,COUNTY
09/07/2022,Capital Region,179,258899,2533,5087085,8.02%,REGION
09/07/2022,Cattaraugus,27,17759,113,298285,26.51%,COUNTY
09/07/2022,Cayuga,17,18585,256,380780,9.58%,COUNTY
09/07/2022,Central New York,175,208357,2070,4264769,8.93%,REGION
09/07/2022,Chautauqua,27,27136,108,518888,24.49%,COUNTY
09/07/2022,Chemung,19,24321,436,462985,6.77%,COUNTY
09/07/2022,Chenango,13,10785,180,229146,11.61%,COUNTY
09/07/2022,Clinton,18,20229,244,394451,6.17%,COUNTY
09/07/2022,Columbia,8,12299,88,247024,9.88%,COUNTY
09/07/2022,Cortland,10,12167,161,297690,6.87%,COUNTY
09/07/2022,Delaware,5,9224,75,192825,4.76%,COUNTY
09/07/2022,Dutchess,50,75836,445,1438947,9.50%,COUNTY
09/07/2022,Erie,182,248041,1608,4112436,12.11%,COUNTY
09/07/2022,Essex,8,6887,59,159627,14.89%,COUNTY
09/07/2022,Finger Lakes,128,278601,2075,5426034,6.67%,REGION
09/07/2022,Franklin,7,10984,69,209444,9.68%,COUNTY
09/07/2022,Fulton,17,14895,155,220018,15.15%,COUNTY
09/07/2022,Genesee,6,15284,97,264076,6.45%,COUNTY
09/07/2022,Greene,4,9963,176,176603,6.56%,COUNTY
09/07/2022,Hamilton,0,998,3,19598,0.00%,COUNTY
09/07/2022,Herkimer,14,16057,141,313545,14.47%,COUNTY
09/07/2022,Jefferson,35,23909,236,387785,10.93%,COUNTY
09/07/2022,Kings,488,821921,8471,17938881,5.27%,COUNTY
09/07/2022,Lewis,8,6828,80,100714,10.20%,COUNTY
09/07/2022,Livingston,12,13233,92,277129,11.39%,COUNTY
09/07/2022,Long Island,795,995643,8689,16249026,7.63%,REGION
09/07/2022,Madison,13,15368,145,361220,9.30%,COUNTY
09/07/2022,Mid-Hudson,405,697390,5811,12886190,6.66%,REGION
09/07/2022,Mohawk Valley,127,125771,1452,2648600,13.73%,REGION
09/07/2022,Monroe,71,176669,1353,3529043,5.64%,COUNTY
09/07/2022,Montgomery,16,13700,78,216056,20.69%,COUNTY
09/07/2022,Nassau,427,489943,4262,8083244,8.96%,COUNTY
09/07/2022,New York,407,524714,7354,13944078,5.24%,COUNTY
09/07/2022,New York City,1789,2770401,30124,58133744,5.58%,REGION
09/07/2022,Niagara,29,55354,344,881343,11.65%,COUNTY
09/07/2022,North Country,89,94128,831,1877555,9.38%,REGION
09/07/2022,Oneida,68,63085,891,1480102,14.63%,COUNTY
09/07/2022,Onondaga,100,131101,1267,2713521,7.94%,COUNTY
09/07/2022,Ontario,7,23575,215,461757,4.70%,COUNTY
09/07/2022,Orange,75,124683,1245,1861823,5.96%,COUNTY
09/07/2022,Orleans,4,9720,37,153109,12.50%,COUNTY
09/07/2022,Oswego,35,31136,241,511558,14.55%,COUNTY
09/07/2022,Otsego,9,12088,143,301688,7.61%,COUNTY
09/07/2022,Putnam,18,28173,250,471642,8.26%,COUNTY
09/07/2022,Queens,492,773339,7604,14173391,6.32%,COUNTY
09/07/2022,Rensselaer,28,38061,341,850639,9.09%,COUNTY
09/07/2022,Richmond,132,192117,1662,3564657,6.82%,COUNTY
09/07/2022,Rockland,64,107327,739,2255082,7.78%,COUNTY
09/07/2022,STATEWIDE,4100,5949086,57849,118479852,6.86%,STATEWIDE
09/07/2022,Saratoga,45,56060,406,1041974,10.15%,COUNTY
09/07/2022,Schenectady,22,39791,385,810068,7.75%,COUNTY
09/07/2022,Schoharie,3,5946,44,117191,6.98%,COUNTY
09/07/2022,Schuyler,3,4015,77,95037,4.29%,COUNTY
09/07/2022,Seneca,6,6885,51,133799,11.11%,COUNTY
09/07/2022,Southern Tier,140,161652,2021,5853153,8.33%,REGION
09/07/2022,St. Lawrence,13,24293,140,605936,10.53%,COUNTY
09/07/2022,Steuben,21,23130,255,460652,10.67%,COUNTY
09/07/2022,Suffolk,368,505700,4427,8165782,6.39%,COUNTY
09/07/2022,Sullivan,15,21862,251,358289,6.90%,COUNTY
09/07/2022,Tioga,13,12742,157,224817,8.72%,COUNTY
09/07/2022,Tompkins,25,24169,268,3044749,9.62%,COUNTY
09/07/2022,Ulster,32,38312,304,840258,6.56%,COUNTY
09/07/2022,Warren,9,16850,235,323721,7.45%,COUNTY
09/07/2022,Washington,16,14268,114,275718,13.21%,COUNTY
09/07/2022,Wayne,16,19920,143,366455,11.57%,COUNTY
09/07/2022,Westchester,151,301197,2577,5660149,6.00%,COUNTY
09/07/2022,Western New York,273,358244,2243,6053696,13.33%,REGION
09/07/2022,Wyoming,3,9302,43,153423,7.69%,COUNTY
09/07/2022,Yates,3,4013,44,87243,7.69%,COUNTY
09/06/2022,Albany,48,71560,423,1360550,9.12%,COUNTY
09/06/2022,Allegany,8,9946,44,242674,17.95%,COUNTY
09/06/2022,Bronx,200,458040,2494,8507704,7.51%,COUNTY
09/06/2022,Broome,33,53225,313,1142369,10.68%,COUNTY
09/06/2022,Capital Region,169,258720,1748,5084552,8.49%,REGION
09/06/2022,Cattaraugus,12,17732,108,298172,18.18%,COUNTY
09/06/2022,Cayuga,15,18568,90,380524,18.99%,COUNTY
09/06/2022,Central New York,129,208182,1049,4262699,13.73%,REGION
09/06/2022,Chautauqua,22,27109,94,518780,22.89%,COUNTY
09/06/2022,Chemung,16,24302,104,462549,13.04%,COUNTY
09/06/2022,Chenango,1,10772,47,228966,2.56%,COUNTY
09/06/2022,Clinton,4,20211,67,394207,2.04%,COUNTY
09/06/2022,Columbia,14,12291,71,246936,17.24%,COUNTY
09/06/2022,Cortland,9,12157,50,297529,15.56%,COUNTY
09/06/2022,Delaware,4,9219,93,192750,4.88%,COUNTY
09/06/2022,Dutchess,47,75786,536,1438502,8.84%,COUNTY
09/06/2022,Erie,109,247859,1141,4110828,12.84%,COUNTY
09/06/2022,Essex,3,6879,28,159568,13.64%,COUNTY
09/06/2022,Finger Lakes,119,278473,1364,5423959,9.00%,REGION
09/06/2022,Franklin,4,10977,38,209375,9.09%,COUNTY
09/06/2022,Fulton,8,14878,149,219863,6.11%,COUNTY
09/06/2022,Genesee,3,15278,81,263979,2.53%,COUNTY
09/06/2022,Greene,15,9959,60,176427,2.50%,COUNTY
09/06/2022,Hamilton,1,998,5,19595,25.00%,COUNTY
09/06/2022,Herkimer,4,16043,77,313404,1.96%,COUNTY
09/06/2022,Jefferson,11,23874,134,387549,7.21%,COUNTY
09/06/2022,Kings,446,821433,6063,17930410,6.87%,COUNTY
09/06/2022,Lewis,4,6820,56,100634,0.00%,COUNTY
09/06/2022,Livingston,5,13221,43,277037,8.11%,COUNTY
09/06/2022,Long Island,702,994848,6380,16240337,9.20%,REGION
09/06/2022,Madison,7,15355,116,361075,5.88%,COUNTY
09/06/2022,Mid-Hudson,436,696985,8685,12880379,4.21%,REGION
09/06/2022,Mohawk Valley,83,125644,790,2647148,10.85%,REGION
09/06/2022,Monroe,77,176598,793,3527690,11.04%,COUNTY
09/06/2022,Montgomery,9,13684,44,215978,18.42%,COUNTY
09/06/2022,Nassau,333,489516,3212,8078982,9.95%,COUNTY
09/06/2022,New York,316,524307,4919,13936724,5.79%,COUNTY
09/06/2022,New York City,1455,2768612,19003,58103620,6.86%,REGION
09/06/2022,Niagara,19,55325,255,880999,8.90%,COUNTY
09/06/2022,North Country,37,94039,436,1876724,7.67%,REGION
09/06/2022,Oneida,47,63017,418,1479211,14.22%,COUNTY
09/06/2022,Onondaga,81,131001,646,2712254,14.85%,COUNTY
09/06/2022,Ontario,8,23568,105,461542,8.25%,COUNTY
09/06/2022,Orange,74,124608,755,1860578,9.52%,COUNTY
09/06/2022,Orleans,2,9716,38,153072,3.57%,COUNTY
09/06/2022,Oswego,17,31101,147,511317,11.94%,COUNTY
09/06/2022,Otsego,9,12079,66,301545,10.34%,COUNTY
09/06/2022,Putnam,17,28155,143,471392,12.03%,COUNTY
09/06/2022,Queens,398,772847,4427,14165787,7.74%,COUNTY
09/06/2022,Rensselaer,14,38033,237,850298,5.96%,COUNTY
09/06/2022,Richmond,95,191985,1100,3562995,7.20%,COUNTY
09/06/2022,Rockland,104,107263,4730,2254343,1.15%,COUNTY
09/06/2022,STATEWIDE,3386,5944986,41881,118422003,7.25%,STATEWIDE
09/06/2022,Saratoga,35,56015,212,1041568,12.94%,COUNTY
09/06/2022,Schenectady,26,39769,418,809683,7.14%,COUNTY
09/06/2022,Schoharie,6,5943,36,117147,14.71%,COUNTY
09/06/2022,Schuyler,2,4012,16,94960,8.33%,COUNTY
09/06/2022,Seneca,6,6879,34,133748,17.65%,COUNTY
09/06/2022,Southern Tier,86,161512,784,5851132,10.36%,REGION
09/06/2022,St. Lawrence,10,24280,108,605796,9.71%,COUNTY
09/06/2022,Steuben,12,23109,101,460397,10.96%,COUNTY
09/06/2022,Suffolk,369,505332,3168,8161355,8.45%,COUNTY
09/06/2022,Sullivan,19,21847,179,358038,10.97%,COUNTY
09/06/2022,Tioga,6,12729,39,224660,15.79%,COUNTY
09/06/2022,Tompkins,12,24144,71,3044481,13.24%,COUNTY
09/06/2022,Ulster,24,38280,265,839954,8.12%,COUNTY
09/06/2022,Warren,9,16841,113,323486,5.19%,COUNTY
09/06/2022,Washington,8,14252,214,275604,8.06%,COUNTY
09/06/2022,Wayne,13,19904,182,366312,5.15%,COUNTY
09/06/2022,Westchester,151,301046,2077,5657572,7.31%,COUNTY
09/06/2022,Western New York,170,357971,1642,6051453,13.58%,REGION
09/06/2022,Wyoming,3,9299,54,153380,3.85%,COUNTY
09/06/2022,Yates,2,4010,34,87199,11.76%,COUNTY
09/05/2022,Albany,26,71512,276,1360127,10.83%,COUNTY
09/05/2022,Allegany,3,9938,61,242630,3.45%,COUNTY
09/05/2022,Bronx,126,457840,2064,8505210,6.14%,COUNTY
09/05/2022,Broome,28,53192,232,1142056,10.81%,COUNTY
09/05/2022,Capital Region,93,258551,965,5082804,10.00%,REGION
09/05/2022,Cattaraugus,8,17720,59,298064,14.89%,COUNTY
09/05/2022,Cayuga,10,18553,75,380434,13.89%,COUNTY
09/05/2022,Central New York,79,208053,764,4261650,10.50%,REGION
09/05/2022,Chautauqua,11,27087,62,518686,14.04%,COUNTY
09/05/2022,Chemung,5,24286,105,462445,6.25%,COUNTY
09/05/2022,Chenango,1,10771,40,228919,0.00%,COUNTY
09/05/2022,Clinton,8,20207,71,394140,5.97%,COUNTY
09/05/2022,Columbia,5,12277,50,246865,10.87%,COUNTY
09/05/2022,Cortland,6,12148,54,297479,11.11%,COUNTY
09/05/2022,Delaware,6,9215,27,192657,20.83%,COUNTY
09/05/2022,Dutchess,27,75739,208,1437966,14.79%,COUNTY
09/05/2022,Erie,120,247750,906,4109687,12.54%,COUNTY
09/05/2022,Essex,2,6876,34,159540,5.88%,COUNTY
09/05/2022,Finger Lakes,95,278354,1572,5422595,6.81%,REGION
09/05/2022,Franklin,8,10973,42,209337,19.51%,COUNTY
09/05/2022,Fulton,4,14870,57,219714,11.43%,COUNTY
09/05/2022,Genesee,4,15275,82,263898,4.88%,COUNTY
09/05/2022,Greene,2,9944,29,176367,8.00%,COUNTY
09/05/2022,Hamilton,0,997,3,19590,0.00%,COUNTY
09/05/2022,Herkimer,7,16039,41,313327,20.59%,COUNTY
09/05/2022,Jefferson,14,23863,167,387415,4.51%,COUNTY
09/05/2022,Kings,232,820987,13441,17924347,1.54%,COUNTY
09/05/2022,Lewis,2,6816,20,100578,5.56%,COUNTY
09/05/2022,Livingston,3,13216,58,276994,5.56%,COUNTY
09/05/2022,Long Island,315,994146,3647,16233957,8.27%,REGION
09/05/2022,Madison,9,15348,55,360959,10.42%,COUNTY
09/05/2022,Mid-Hudson,235,696549,8408,12871694,2.55%,REGION
09/05/2022,Mohawk Valley,55,125561,389,2646358,16.97%,REGION
09/05/2022,Monroe,48,176521,964,3526897,5.96%,COUNTY
09/05/2022,Montgomery,2,13675,28,215934,8.00%,COUNTY
09/05/2022,Nassau,155,489183,1763,8075770,8.75%,COUNTY
09/05/2022,New York,193,523991,2902,13931805,7.68%,COUNTY
09/05/2022,New York City,882,2767157,22586,58084617,3.67%,REGION
09/05/2022,Niagara,27,55306,242,880744,13.25%,COUNTY
09/05/2022,North Country,35,94002,424,1876288,5.76%,REGION
09/05/2022,Oneida,32,62970,163,1478793,20.87%,COUNTY
09/05/2022,Onondaga,45,130920,465,2711608,10.00%,COUNTY
09/05/2022,Ontario,8,23560,184,461437,4.64%,COUNTY
09/05/2022,Orange,51,124534,1281,1859823,3.69%,COUNTY
09/05/2022,Orleans,4,9714,38,153034,8.82%,COUNTY
09/05/2022,Oswego,9,31084,115,511170,9.89%,COUNTY
09/05/2022,Otsego,8,12070,81,301479,15.91%,COUNTY
09/05/2022,Putnam,7,28138,86,471249,6.67%,COUNTY
09/05/2022,Queens,275,772449,3192,14161360,8.87%,COUNTY
09/05/2022,Rensselaer,11,38019,141,850061,8.59%,COUNTY
09/05/2022,Richmond,56,191890,987,3561895,5.46%,COUNTY
09/05/2022,Rockland,33,107159,2262,2249613,1.23%,COUNTY
09/05/2022,STATEWIDE,2032,5941600,40883,118380122,4.72%,STATEWIDE
09/05/2022,Saratoga,22,55980,210,1041356,10.80%,COUNTY
09/05/2022,Schenectady,13,39743,127,809265,9.73%,COUNTY
09/05/2022,Schoharie,2,5937,19,117111,11.11%,COUNTY
09/05/2022,Schuyler,1,4010,34,94944,3.13%,COUNTY
09/05/2022,Seneca,7,6873,59,133714,13.21%,COUNTY
09/05/2022,Southern Tier,74,161426,798,5850348,9.59%,REGION
09/05/2022,St. Lawrence,1,24270,87,605688,1.16%,COUNTY
09/05/2022,Steuben,12,23097,145,460296,11.34%,COUNTY
09/05/2022,Suffolk,160,504963,1884,8158187,7.87%,COUNTY
09/05/2022,Sullivan,20,21828,3347,357859,0.54%,COUNTY
09/05/2022,Tioga,4,12723,51,224621,8.51%,COUNTY
09/05/2022,Tompkins,17,24132,164,3044410,10.56%,COUNTY
09/05/2022,Ulster,10,38256,131,839689,7.20%,COUNTY
09/05/2022,Warren,7,16832,77,323373,6.45%,COUNTY
09/05/2022,Washington,7,14244,55,275390,12.00%,COUNTY
09/05/2022,Wayne,12,19891,126,366130,9.73%,COUNTY
09/05/2022,Westchester,87,300895,1093,5655495,8.01%,COUNTY
09/05/2022,Western New York,169,357801,1330,6049811,12.36%,REGION
09/05/2022,Wyoming,5,9296,22,153326,22.73%,COUNTY
09/05/2022,Yates,4,4008,39,87165,11.11%,COUNTY
09/04/2022,Albany,31,71486,342,1359851,9.57%,COUNTY
09/04/2022,Allegany,4,9935,44,242569,9.30%,COUNTY
09/04/2022,Bronx,210,457714,2671,8503146,6.94%,COUNTY
09/04/2022,Broome,32,53164,273,1141824,11.90%,COUNTY
09/04/2022,Capital Region,98,258458,1241,5081839,7.89%,REGION
09/04/2022,Cattaraugus,11,17712,129,298005,10.84%,COUNTY
09/04/2022,Cayuga,11,18543,113,380359,10.58%,COUNTY
09/04/2022,Central New York,103,207974,1319,4260886,7.83%,REGION
09/04/2022,Chautauqua,10,27076,53,518624,18.87%,COUNTY
09/04/2022,Chemung,11,24281,145,462340,10.20%,COUNTY
09/04/2022,Chenango,5,10770,72,228879,7.04%,COUNTY
