DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-20-21,0-10 years,47931,0.055728,54,0.096085,5,0
05-20-21,11-20 years,111184,0.129271,71,0.126335,5,0
05-20-21,21-30 years,155523,0.180823,115,0.204626,49,0
05-20-21,31-40 years,134030,0.155834,100,0.177936,136,0
05-20-21,41-50 years,128163,0.149012,81,0.144128,413,2
05-20-21,51-60 years,120753,0.140397,65,0.115658,1092,4
05-20-21,61-70 years,86270,0.100304,40,0.071174,2332,2
05-20-21,71-80 years,49735,0.057826,25,0.044484,3770,6
05-20-21,81+ years,25420,0.029555,9,0.016014,4578,2
05-20-21,Pending,1075,0.001250,2,0.003559,0,0
05-19-21,0-10 years,47877,0.055702,54,0.083721,5,0
05-19-21,11-20 years,111113,0.129273,99,0.153488,5,0
05-19-21,21-30 years,155408,0.180807,131,0.203101,49,0
05-19-21,31-40 years,133930,0.155819,109,0.168992,136,0
05-19-21,41-50 years,128082,0.149015,82,0.127132,411,1
05-19-21,51-60 years,120688,0.140413,87,0.134884,1088,1
05-19-21,61-70 years,86230,0.100323,47,0.072868,2330,5
05-19-21,71-80 years,49710,0.057834,25,0.038760,3764,2
05-19-21,81+ years,25411,0.029564,8,0.012403,4576,2
05-19-21,Pending,1073,0.001248,3,0.004651,0,0
05-18-21,0-10 years,47823,0.055681,56,0.097391,5,0
05-18-21,11-20 years,111014,0.129255,78,0.135652,5,0
05-18-21,21-30 years,155277,0.180791,96,0.166957,49,0
05-18-21,31-40 years,133821,0.155809,85,0.147826,136,0
05-18-21,41-50 years,128000,0.149032,78,0.135652,410,2
05-18-21,51-60 years,120601,0.140417,98,0.170435,1087,3
05-18-21,61-70 years,86183,0.100344,46,0.08,2325,3
05-18-21,71-80 years,49685,0.057849,21,0.036522,3762,3
05-18-21,81+ years,25403,0.029577,17,0.029565,4574,3
05-18-21,Pending,1070,0.001246,0,0,0,0
05-17-21,0-10 years,47767,0.055653,51,0.077156,5,0
05-17-21,11-20 years,110936,0.129251,97,0.146747,5,0
05-17-21,21-30 years,155181,0.1808,126,0.19062,49,0
05-17-21,31-40 years,133736,0.155815,114,0.172466,136,0
