DATE,AGE_RANGE,AR_CASECOUNT,AR_TOTALPERCENT,NEW_ARCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
03-27-20,51-60 years,191,0.16,50,0.203252032520325,,
03-27-20,61-70 years,126,0.1,30,0.12195121951219499,,
03-27-20,71-80 years,75,0.06,19,7.7235772357723595E-2,,
03-27-20,81+ years,20,0.02,4,1.6260162601626001E-2,,
03-27-20,Pending,9,0.01,2,8.1300813008130107E-3,,
03-28-20,0-10 years,16,0.01,1,5.8823529411764696E-3,,
03-28-20,11-20 years,71,0.05,8,4.7058823529411799E-2,,
03-28-20,21-30 years,346,0.25,32,0.188235294117647,,
03-28-20,31-40 years,221,0.16,27,0.158823529411765,,
03-28-20,41-50 years,224,0.16,28,0.16470588235294101,,
03-28-20,51-60 years,218,0.16,27,0.158823529411765,,
03-28-20,61-70 years,153,0.11,27,0.158823529411765,,
03-28-20,71-80 years,87,0.06,12,7.0588235294117604E-2,,
03-28-20,81+ years,28,0.02,8,4.7058823529411799E-2,,
03-28-20,Pending,9,0.01,0,0,,
03-29-20,0-10 years,17,0.01,1,6.0975609756097598E-3,,
03-29-20,11-20 years,80,0.05,9,5.4878048780487798E-2,,
03-29-20,21-30 years,380,0.25,34,0.207317073170732,,
03-29-20,31-40 years,239,0.16,18,0.109756097560976,,
03-29-20,41-50 years,262,0.17,38,0.23170731707317099,,
03-29-20,51-60 years,239,0.16,21,0.12804878048780499,,
03-29-20,61-70 years,176,0.11,23,0.14024390243902399,,
03-29-20,71-80 years,97,0.06,10,6.0975609756097601E-2,,
03-29-20,81+ years,33,0.02,5,3.0487804878048801E-2,,
03-29-20,Pending,14,0.01,5,3.0487804878048801E-2,,
03-30-20,0-10 years,18,0.01,1,3.3670033670033699E-3,,
03-30-20,11-20 years,96,0.05,16,5.3872053872053897E-2,,
03-30-20,21-30 years,462,0.25,82,0.276094276094276,,
03-30-20,31-40 years,286,0.16,47,0.158249158249158,,
03-30-20,41-50 years,299,0.16,37,0.124579124579125,,
03-30-20,51-60 years,280,0.15,41,0.138047138047138,,
03-30-20,61-70 years,212,0.12,36,0.12121212121212099,,
03-30-20,71-80 years,120,7.0000000000000007E-2,23,7.7441077441077394E-2,,
03-30-20,81+ years,50,0.03,17,5.7239057239057201E-2,,
03-30-20,Pending,11,0.01,-3,-1.01010101010101E-2,,
03-31-20,0-10 years,24,0.01,6,1.48148148148148E-2,,
03-31-20,11-20 years,107,0.05,11,2.7160493827160501E-2,,
03-31-20,21-30 years,566,0.25,104,0.25679012345678998,,
03-31-20,31-40 years,346,0.15,60,0.148148148148148,,
03-31-20,41-50 years,351,0.16,52,0.12839506172839499,,
03-31-20,51-60 years,368,0.16,88,0.21728395061728401,,
03-31-20,61-70 years,254,0.11,42,0.10370370370370401,,
03-31-20,71-80 years,144,0.06,24,5.9259259259259303E-2,,
03-31-20,81+ years,63,0.03,13,3.2098765432098803E-2,,
03-31-20,Pending,16,0.01,5,1.2345679012345699E-2,,
04-01-20,0-10 years,33,0.01,9,1.8072289156626498E-2,,
04-01-20,11-20 years,131,0.05,24,4.81927710843374E-2,,
04-01-20,21-30 years,637,0.23,71,0.14257028112449799,,
04-01-20,31-40 years,426,0.16,80,0.160642570281124,,
04-01-20,41-50 years,471,0.17,120,0.240963855421687,,
04-01-20,51-60 years,456,0.17,88,0.17670682730923701,,
04-01-20,61-70 years,308,0.11,54,0.108433734939759,,
04-01-20,71-80 years,175,0.06,31,6.2248995983935698E-2,,
04-01-20,81+ years,79,0.03,16,3.2128514056224897E-2,,
04-01-20,Pending,21,0.01,5,1.00401606425703E-2,,
04-02-20,0-10 years,36,0.01,3,2.7777777777777801E-2,,
04-02-20,11-20 years,138,0.05,7,6.4814814814814797E-2,,
04-02-20,21-30 years,665,0.23,28,0.25925925925925902,,
04-02-20,31-40 years,456,0.16,30,0.27777777777777801,,
04-02-20,41-50 years,437,0.15,-34,-0.31481481481481499,,
04-02-20,51-60 years,484,0.17,28,0.25925925925925902,,
04-02-20,61-70 years,331,0.12,23,0.21296296296296299,,
04-02-20,71-80 years,184,0.06,9,8.3333333333333301E-2,,
04-02-20,81+ years,97,0.03,18,0.16666666666666699,,
04-02-20,Pending,17,0.01,-4,-3.7037037037037E-2,,
04-03-20,0-10 years,39,0.01,3,1.35135135135135E-2,,
04-03-20,11-20 years,148,0.05,10,4.5045045045045001E-2,,
04-03-20,21-30 years,693,0.23,28,0.126126126126126,,
04-03-20,31-40 years,494,0.16,38,0.171171171171171,,
04-03-20,41-50 years,474,0.15,37,0.16666666666666699,,
04-03-20,51-60 years,544,0.18,60,0.27027027027027001,,
04-03-20,61-70 years,359,0.12,28,0.126126126126126,,
04-03-20,71-80 years,196,0.06,12,5.4054054054054099E-2,,
04-03-20,81+ years,105,0.03,8,3.6036036036036001E-2,,
