DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-23-21,0-10 years,48028,0.055784,28,0.10728,5,0
05-23-21,11-20 years,111300,0.129273,39,0.149425,5,0
05-23-21,21-30 years,155695,0.180838,55,0.210728,49,0
05-23-21,31-40 years,134163,0.155828,37,0.141762,136,0
05-23-21,41-50 years,128282,0.148998,30,0.114943,414,1
05-23-21,51-60 years,120879,0.140399,42,0.16092,1094,2
05-23-21,61-70 years,86336,0.100278,19,0.072797,2335,0
05-23-21,71-80 years,49770,0.057807,8,0.030651,3773,2
05-23-21,81+ years,25437,0.029545,3,0.011494,4582,1
05-23-21,Pending,1076,0.001250,0,0,0,0
05-22-21,0-10 years,48000,0.055768,26,0.081761,5,0
05-22-21,11-20 years,111261,0.129267,42,0.132075,5,0
05-22-21,21-30 years,155640,0.180829,52,0.163522,49,0
05-22-21,31-40 years,134126,0.155833,57,0.179245,136,0
05-22-21,41-50 years,128252,0.149008,47,0.147799,413,0
05-22-21,51-60 years,120837,0.140393,41,0.128931,1092,0
05-22-21,61-70 years,86317,0.100286,25,0.078616,2335,1
05-22-21,71-80 years,49762,0.057815,16,0.050314,3771,1
05-22-21,81+ years,25434,0.029550,8,0.025157,4581,1
05-22-21,Pending,1076,0.001250,4,0.012579,0,0
05-21-21,0-10 years,47974,0.055759,54,0.101504,5,0
05-21-21,11-20 years,111219,0.129266,70,0.131579,5,0
05-21-21,21-30 years,155588,0.180835,105,0.197368,49,0
05-21-21,31-40 years,134069,0.155824,74,0.139098,136,0
05-21-21,41-50 years,128205,0.149009,75,0.140977,413,0
05-21-21,51-60 years,120796,0.140397,75,0.140977,1092,0
05-21-21,61-70 years,86292,0.100294,44,0.082707,2334,2
05-21-21,71-80 years,49746,0.057818,22,0.041353,3770,0
05-21-21,81+ years,25426,0.029552,12,0.022556,4580,2
05-21-21,Pending,1072,0.001246,1,0.001880,0,0
05-20-21,0-10 years,47920,0.055730,55,0.099278,5,0
05-20-21,11-20 years,111149,0.129265,69,0.124549,5,0
05-20-21,21-30 years,155483,0.180825,113,0.203971,49,0
05-20-21,31-40 years,133995,0.155834,101,0.18231,136,0
05-20-21,41-50 years,128130,0.149013,79,0.142599,413,2
05-20-21,51-60 years,120721,0.140397,65,0.117329,1092,4
05-20-21,61-70 years,86248,0.100305,37,0.066787,2332,2
05-20-21,71-80 years,49724,0.057828,25,0.045126,3770,6
05-20-21,81+ years,25414,0.029556,10,0.018051,4578,2
05-20-21,Pending,1071,0.001246,0,0,0,0
05-19-21,0-10 years,47865,0.055702,53,0.082942,5,0
05-19-21,11-20 years,111080,0.129268,99,0.15493,5,0
05-19-21,21-30 years,155370,0.18081,131,0.205008,49,0
05-19-21,31-40 years,133894,0.155817,108,0.169014,136,0
05-19-21,41-50 years,128051,0.149018,81,0.126761,411,1
05-19-21,51-60 years,120656,0.140412,88,0.137715,1088,1
05-19-21,61-70 years,86211,0.100327,47,0.073552,2330,5
05-19-21,71-80 years,49699,0.057837,25,0.039124,3764,2
05-19-21,81+ years,25404,0.029564,6,0.009390,4576,2
05-19-21,Pending,1071,0.001246,1,0.001565,0,0
05-18-21,0-10 years,47812,0.055682,56,0.097561,5,0
05-18-21,11-20 years,110981,0.129249,77,0.134146,5,0
05-18-21,21-30 years,155239,0.180792,97,0.16899,49,0
05-18-21,31-40 years,133786,0.155808,85,0.148084,136,0
05-18-21,41-50 years,127970,0.149034,78,0.135889,410,2
05-18-21,51-60 years,120568,0.140414,97,0.16899,1087,3
05-18-21,61-70 years,86164,0.100347,46,0.080139,2325,3
05-18-21,71-80 years,49674,0.057850,21,0.036585,3762,3
05-18-21,81+ years,25398,0.029579,17,0.029617,4574,3
05-18-21,Pending,1070,0.001246,0,0,0,0
05-17-21,0-10 years,47756,0.055654,51,0.077156,5,0
05-17-21,11-20 years,110904,0.129245,97,0.146747,5,0
05-17-21,21-30 years,155142,0.1808,126,0.19062,49,0
05-17-21,31-40 years,133701,0.155813,114,0.172466,136,0
05-17-21,41-50 years,127892,0.149043,112,0.16944,408,0
05-17-21,51-60 years,120471,0.140395,84,0.12708,1084,2
05-17-21,61-70 years,86118,0.10036,46,0.069592,2322,5
05-17-21,71-80 years,49653,0.057865,26,0.039334,3759,3
05-17-21,81+ years,25381,0.029579,5,0.007564,4571,2
05-17-21,Pending,1070,0.001247,0,0,0,0
05-16-21,0-10 years,47705,0.055637,23,0.083032,5,0
05-16-21,11-20 years,110807,0.129232,33,0.119134,5,0
05-16-21,21-30 years,155016,0.180792,49,0.176895,49,0
05-16-21,31-40 years,133587,0.1558,48,0.173285,136,1
05-16-21,41-50 years,127780,0.149027,50,0.180505,408,0
05-16-21,51-60 years,120387,0.140405,31,0.111913,1082,2
05-16-21,61-70 years,86072,0.100384,24,0.086643,2317,1
05-16-21,71-80 years,49627,0.057879,17,0.061372,3756,0
05-16-21,81+ years,25376,0.029596,2,0.007220,4569,0
05-16-21,Pending,1070,0.001248,0,0,0,0
05-15-21,0-10 years,47682,0.055629,30,0.075188,5,0
05-15-21,11-20 years,110774,0.129235,58,0.145363,5,0
05-15-21,21-30 years,154967,0.180793,88,0.220551,49,0
05-15-21,31-40 years,133539,0.155794,60,0.150376,135,0
05-15-21,41-50 years,127730,0.149017,54,0.135338,408,0
05-15-21,51-60 years,120356,0.140414,56,0.140351,1080,0
05-15-21,61-70 years,86048,0.100388,26,0.065163,2316,1
05-15-21,71-80 years,49610,0.057878,21,0.052632,3756,0
05-15-21,81+ years,25374,0.029603,6,0.015038,4569,0
05-15-21,Pending,1070,0.001248,0,0,0,0
05-14-21,0-10 years,47652,0.055619,68,0.083951,5,0
05-14-21,11-20 years,110716,0.129228,106,0.130864,5,0
05-14-21,21-30 years,154879,0.180775,168,0.207407,49,0
05-14-21,31-40 years,133479,0.155797,148,0.182716,135,-1
05-14-21,41-50 years,127676,0.149023,125,0.154321,408,1
05-14-21,51-60 years,120300,0.140414,88,0.108642,1080,4
05-14-21,61-70 years,86022,0.100405,62,0.076543,2315,4
05-14-21,71-80 years,49589,0.057880,29,0.035802,3756,0
05-14-21,81+ years,25368,0.029610,16,0.019753,4569,2
05-14-21,Pending,1070,0.001249,0,0,0,0
05-13-21,0-10 years,47584,0.055593,64,0.090141,5,0
05-13-21,11-20 years,110610,0.129226,114,0.160563,5,0
05-13-21,21-30 years,154711,0.18075,145,0.204225,49,0
05-13-21,31-40 years,133331,0.155771,100,0.140845,136,1
05-13-21,41-50 years,127551,0.149018,95,0.133803,407,0
05-13-21,51-60 years,120212,0.140444,100,0.140845,1076,3
05-13-21,61-70 years,85960,0.100427,54,0.076056,2311,1
05-13-21,71-80 years,49560,0.057901,24,0.033803,3756,2
05-13-21,81+ years,25352,0.029619,14,0.019718,4567,0
05-13-21,Pending,1070,0.001250,0,0,0,0
05-12-21,0-10 years,47520,0.055564,79,0.087973,5,0
05-12-21,11-20 years,110496,0.1292,139,0.154788,5,0
05-12-21,21-30 years,154566,0.18073,161,0.179287,49,0
05-12-21,31-40 years,133231,0.155784,144,0.160356,135,3
05-12-21,41-50 years,127456,0.149031,130,0.144766,407,1
05-12-21,51-60 years,120112,0.140444,110,0.122494,1073,3
05-12-21,61-70 years,85906,0.100448,86,0.095768,2310,0
05-12-21,71-80 years,49536,0.057921,30,0.033408,3754,0
05-12-21,81+ years,25338,0.029627,17,0.018931,4567,2
05-12-21,Pending,1070,0.001251,2,0.002227,0,0
05-11-21,0-10 years,47441,0.055530,54,0.063754,5,0
05-11-21,11-20 years,110357,0.129173,120,0.141677,5,0
05-11-21,21-30 years,154405,0.180732,138,0.162928,49,1
05-11-21,31-40 years,133087,0.155779,161,0.190083,132,1
