DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-19-21,0-10 years,47882,0.055696,55,0.084746,5,0
05-19-21,11-20 years,111136,0.129273,99,0.152542,5,0
05-19-21,21-30 years,155439,0.180806,133,0.204931,49,0
05-19-21,31-40 years,133953,0.155813,110,0.169492,136,0
05-19-21,41-50 years,128120,0.149029,82,0.126348,411,1
05-19-21,51-60 years,120715,0.140415,88,0.135593,1088,2
05-19-21,61-70 years,86243,0.100317,47,0.072419,2330,5
05-19-21,71-80 years,49715,0.057828,24,0.03698,3764,2
05-19-21,81+ years,25423,0.029572,8,0.012327,4576,2
05-19-21,Pending,1075,0.001250,3,0.004622,0,0
05-18-21,0-10 years,47827,0.055674,56,0.097054,5,0
05-18-21,11-20 years,111037,0.129255,78,0.135182,5,0
05-18-21,21-30 years,155306,0.180788,96,0.166378,49,0
05-18-21,31-40 years,133843,0.155803,86,0.149047,136,0
05-18-21,41-50 years,128038,0.149046,78,0.135182,410,2
05-18-21,51-60 years,120627,0.140419,98,0.169844,1086,3
05-18-21,61-70 years,86196,0.100339,46,0.079723,2325,3
05-18-21,71-80 years,49691,0.057844,22,0.038128,3762,3
05-18-21,81+ years,25415,0.029585,17,0.029463,4574,3
05-18-21,Pending,1072,0.001248,0,0,0,0
05-17-21,0-10 years,47771,0.055646,51,0.077156,5,0
05-17-21,11-20 years,110959,0.129251,97,0.146747,5,0
05-17-21,21-30 years,155210,0.180797,126,0.19062,49,0
05-17-21,31-40 years,133757,0.155808,114,0.172466,136,0
05-17-21,41-50 years,127960,0.149055,112,0.16944,408,0
05-17-21,51-60 years,120529,0.140399,84,0.12708,1083,2
05-17-21,61-70 years,86150,0.100352,46,0.069592,2322,5
05-17-21,71-80 years,49669,0.057857,26,0.039334,3759,3
05-17-21,81+ years,25398,0.029585,5,0.007564,4571,2
05-17-21,Pending,1072,0.001249,0,0,0,0
05-16-21,0-10 years,47720,0.055630,23,0.082734,5,0
05-16-21,11-20 years,110862,0.129238,33,0.118705,5,0
05-16-21,21-30 years,155084,0.18079,49,0.176259,49,0
05-16-21,31-40 years,133643,0.155795,48,0.172662,136,1
05-16-21,41-50 years,127848,0.149039,50,0.179856,408,0
05-16-21,51-60 years,120445,0.140409,31,0.111511,1081,2
05-16-21,61-70 years,86104,0.100376,25,0.089928,2317,1
05-16-21,71-80 years,49643,0.057872,17,0.061151,3756,0
05-16-21,81+ years,25393,0.029602,2,0.007194,4569,0
05-16-21,Pending,1072,0.001250,0,0,0,0
05-15-21,0-10 years,47697,0.055621,30,0.075188,5,0
05-15-21,11-20 years,110829,0.129241,58,0.145363,5,0
05-15-21,21-30 years,155035,0.180791,88,0.220551,49,0
05-15-21,31-40 years,133595,0.155789,60,0.150376,135,0
05-15-21,41-50 years,127798,0.149029,54,0.135338,408,0
05-15-21,51-60 years,120414,0.140419,56,0.140351,1079,0
05-15-21,61-70 years,86079,0.100379,26,0.065163,2316,1
05-15-21,71-80 years,49626,0.057870,21,0.052632,3756,0
05-15-21,81+ years,25391,0.029609,6,0.015038,4569,0
05-15-21,Pending,1072,0.001250,0,0,0,0
05-14-21,0-10 years,47667,0.055612,68,0.084054,5,0
05-14-21,11-20 years,110771,0.129234,106,0.131026,5,0
05-14-21,21-30 years,154947,0.180773,168,0.207664,49,0
05-14-21,31-40 years,133535,0.155792,148,0.182942,135,-1
05-14-21,41-50 years,127744,0.149036,125,0.154512,408,1
05-14-21,51-60 years,120358,0.140419,88,0.108776,1079,4
05-14-21,61-70 years,86053,0.100396,62,0.076638,2315,4
05-14-21,71-80 years,49605,0.057873,29,0.035847,3756,0
05-14-21,81+ years,25385,0.029616,15,0.018541,4569,2
05-14-21,Pending,1072,0.001251,0,0,0,0
05-13-21,0-10 years,47599,0.055585,64,0.090014,5,0
05-13-21,11-20 years,110665,0.129232,114,0.160338,5,0
05-13-21,21-30 years,154779,0.180747,145,0.203938,49,0
05-13-21,31-40 years,133387,0.155766,100,0.140647,136,1
05-13-21,41-50 years,127619,0.149031,95,0.133615,407,0
05-13-21,51-60 years,120270,0.140449,100,0.140647,1075,3
05-13-21,61-70 years,85991,0.100418,54,0.075949,2311,1
