DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-26-21,0-10 years,48142,0.055843,54,0.103846,5,0
05-26-21,11-20 years,111454,0.129282,62,0.119231,5,0
05-26-21,21-30 years,155905,0.180844,96,0.184615,49,0
05-26-21,31-40 years,134345,0.155835,81,0.155769,138,2
05-26-21,41-50 years,128449,0.148996,71,0.136538,415,0
05-26-21,51-60 years,121031,0.140391,65,0.125,1101,4
05-26-21,61-70 years,86408,0.10023,50,0.096154,2338,3
05-26-21,71-80 years,49819,0.057788,26,0.05,3787,9
05-26-21,81+ years,25469,0.029543,15,0.028846,4590,4
05-26-21,Pending,1076,0.001248,0,0,0,0
05-25-21,0-10 years,48088,0.055814,36,0.081818,5,0
05-25-21,11-20 years,111392,0.129288,51,0.115909,5,0
05-25-21,21-30 years,155809,0.180841,82,0.186364,49,0
05-25-21,31-40 years,134264,0.155835,71,0.161364,136,0
05-25-21,41-50 years,128378,0.149003,69,0.156818,415,0
05-25-21,51-60 years,120966,0.140401,56,0.127273,1097,2
05-25-21,61-70 years,86358,0.100232,39,0.088636,2335,0
05-25-21,71-80 years,49793,0.057793,18,0.040909,3778,1
05-25-21,81+ years,25454,0.029543,16,0.036364,4586,3
05-25-21,Pending,1076,0.001249,2,0.004545,0,0
05-24-21,0-10 years,48052,0.055801,39,0.083871,5,0
05-24-21,11-20 years,111341,0.129295,66,0.141935,5,0
05-24-21,21-30 years,155727,0.180839,75,0.16129,49,0
05-24-21,31-40 years,134193,0.155832,74,0.15914,136,0
05-24-21,41-50 years,128309,0.148999,79,0.169892,415,1
05-24-21,51-60 years,120910,0.140407,69,0.148387,1095,1
05-24-21,61-70 years,86319,0.100238,31,0.066667,2335,0
05-24-21,71-80 years,49775,0.057801,21,0.045161,3777,4
05-24-21,81+ years,25438,0.029540,9,0.019355,4583,1
05-24-21,Pending,1074,0.001247,2,0.004301,0,0
05-23-21,0-10 years,48013,0.055785,26,0.100775,5,0
05-23-21,11-20 years,111275,0.129288,40,0.155039,5,0
05-23-21,21-30 years,155652,0.180849,55,0.213178,49,0
05-23-21,31-40 years,134119,0.15583,37,0.143411,136,0
05-23-21,41-50 years,128230,0.148988,30,0.116279,414,1
05-23-21,51-60 years,120841,0.140403,41,0.158915,1094,2
05-23-21,61-70 years,86288,0.100256,18,0.069767,2335,0
05-23-21,71-80 years,49754,0.057808,8,0.031008,3773,2
05-23-21,81+ years,25429,0.029545,3,0.011628,4582,1
05-23-21,Pending,1072,0.001246,0,0,0,0
05-22-21,0-10 years,47987,0.055772,26,0.082540,5,0
05-22-21,11-20 years,111235,0.129281,44,0.139683,5,0
05-22-21,21-30 years,155597,0.180839,52,0.165079,49,0
05-22-21,31-40 years,134082,0.155834,55,0.174603,136,0
05-22-21,41-50 years,128200,0.148998,45,0.142857,413,0
05-22-21,51-60 years,120800,0.140397,41,0.130159,1092,0
05-22-21,61-70 years,86270,0.100266,26,0.082540,2335,1
05-22-21,71-80 years,49746,0.057816,17,0.053968,3771,1
05-22-21,81+ years,25426,0.029551,8,0.025397,4581,1
05-22-21,Pending,1072,0.001246,1,0.003175,0,0
05-21-21,0-10 years,47961,0.055762,53,0.10076,5,0
05-21-21,11-20 years,111191,0.129277,70,0.13308,5,0
05-21-21,21-30 years,155545,0.180845,104,0.197719,49,0
05-21-21,31-40 years,134027,0.155827,73,0.138783,136,0
05-21-21,41-50 years,128155,0.149,72,0.136882,413,0
05-21-21,51-60 years,120759,0.140401,76,0.144487,1092,0
05-21-21,61-70 years,86244,0.100272,44,0.083650,2334,2
05-21-21,71-80 years,49729,0.057818,22,0.041825,3770,0
05-21-21,81+ years,25418,0.029552,12,0.022814,4580,2
05-21-21,Pending,1071,0.001245,0,0,0,0
05-20-21,0-10 years,47908,0.055735,54,0.097297,5,0
05-20-21,11-20 years,111121,0.129275,70,0.126126,5,0
05-20-21,21-30 years,155441,0.180835,113,0.203604,49,0
05-20-21,31-40 years,133954,0.155838,102,0.183784,136,0
05-20-21,41-50 years,128083,0.149008,79,0.142342,413,2
05-20-21,51-60 years,120683,0.140399,65,0.117117,1092,4
05-20-21,61-70 years,86200,0.100282,37,0.066667,2332,2
05-20-21,71-80 years,49707,0.057827,25,0.045045,3770,6
05-20-21,81+ years,25406,0.029557,10,0.018018,4578,2
05-20-21,Pending,1071,0.001246,0,0,0,0
05-19-21,0-10 years,47854,0.055708,53,0.083072,5,0
05-19-21,11-20 years,111051,0.129277,99,0.155172,5,0
05-19-21,21-30 years,155328,0.18082,131,0.205329,49,0
05-19-21,31-40 years,133852,0.15582,108,0.169279,136,0
05-19-21,41-50 years,128004,0.149012,81,0.126959,411,1
05-19-21,51-60 years,120618,0.140414,88,0.137931,1088,1
05-19-21,61-70 years,86163,0.100304,47,0.073668,2330,5
05-19-21,71-80 years,49682,0.057836,24,0.037618,3764,2
05-19-21,81+ years,25396,0.029564,6,0.009404,4576,2
05-19-21,Pending,1071,0.001247,1,0.001567,0,0
05-18-21,0-10 years,47801,0.055687,56,0.097731,5,0
05-18-21,11-20 years,110952,0.129257,76,0.132635,5,0
05-18-21,21-30 years,155197,0.180802,97,0.169284,49,0
05-18-21,31-40 years,133744,0.15581,85,0.148342,136,0
05-18-21,41-50 years,127923,0.149028,78,0.136126,410,2
05-18-21,51-60 years,120530,0.140416,97,0.169284,1087,3
05-18-21,61-70 years,86116,0.100324,46,0.080279,2325,3
05-18-21,71-80 years,49658,0.057851,21,0.036649,3762,3
05-18-21,81+ years,25390,0.029579,17,0.029668,4574,3
05-18-21,Pending,1070,0.001247,0,0,0,0
05-17-21,0-10 years,47745,0.055659,51,0.077273,5,0
05-17-21,11-20 years,110876,0.129255,96,0.145455,5,0
05-17-21,21-30 years,155100,0.18081,126,0.190909,49,0
05-17-21,31-40 years,133659,0.155815,114,0.172727,136,0
05-17-21,41-50 years,127845,0.149037,112,0.169697,408,0
05-17-21,51-60 years,120433,0.140396,84,0.127273,1084,2
05-17-21,61-70 years,86070,0.100337,46,0.069697,2322,5
05-17-21,71-80 years,49637,0.057865,26,0.039394,3759,3
05-17-21,81+ years,25373,0.029579,5,0.007576,4571,2
05-17-21,Pending,1070,0.001247,0,0,0,0
05-16-21,0-10 years,47694,0.055643,23,0.083333,5,0
05-16-21,11-20 years,110780,0.129243,33,0.119565,5,0
05-16-21,21-30 years,154974,0.180802,49,0.177536,49,0
05-16-21,31-40 years,133545,0.155802,48,0.173913,136,1
05-16-21,41-50 years,127733,0.149021,50,0.181159,408,0
05-16-21,51-60 years,120349,0.140406,31,0.112319,1082,2
05-16-21,61-70 years,86024,0.100361,23,0.083333,2317,1
05-16-21,71-80 years,49611,0.057879,17,0.061594,3756,0
05-16-21,81+ years,25368,0.029596,2,0.007246,4569,0
05-16-21,Pending,1070,0.001248,0,0,0,0
05-15-21,0-10 years,47671,0.055634,30,0.075188,5,0
05-15-21,11-20 years,110747,0.129246,58,0.145363,5,0
05-15-21,21-30 years,154925,0.180803,88,0.220551,49,0
05-15-21,31-40 years,133497,0.155796,60,0.150376,135,0
05-15-21,41-50 years,127683,0.149011,54,0.135338,408,0
05-15-21,51-60 years,120318,0.140415,56,0.140351,1080,0
05-15-21,61-70 years,86001,0.100366,26,0.065163,2316,1
05-15-21,71-80 years,49594,0.057878,21,0.052632,3756,0
05-15-21,81+ years,25366,0.029603,6,0.015038,4569,0
05-15-21,Pending,1070,0.001249,0,0,0,0
05-14-21,0-10 years,47641,0.055625,68,0.084158,5,0
05-14-21,11-20 years,110689,0.129238,106,0.131188,5,0
05-14-21,21-30 years,154837,0.180784,168,0.207921,49,0
05-14-21,31-40 years,133437,0.155798,148,0.183168,135,-1
05-14-21,41-50 years,127629,0.149017,125,0.154703,408,1
05-14-21,51-60 years,120262,0.140415,87,0.107673,1080,4
05-14-21,61-70 years,85975,0.100383,62,0.076733,2315,4
05-14-21,71-80 years,49573,0.057880,28,0.034653,3756,0
05-14-21,81+ years,25360,0.029610,16,0.019802,4569,2
05-14-21,Pending,1070,0.001249,0,0,0,0
05-13-21,0-10 years,47573,0.055598,64,0.090268,5,0
05-13-21,11-20 years,110583,0.129236,114,0.16079,5,0
05-13-21,21-30 years,154669,0.180759,145,0.204513,49,0
05-13-21,31-40 years,133289,0.155772,100,0.141044,136,1
05-13-21,41-50 years,127504,0.149012,95,0.133992,407,0
05-13-21,51-60 years,120175,0.140446,99,0.139633,1076,3
05-13-21,61-70 years,85913,0.100405,54,0.076164,2311,1
05-13-21,71-80 years,49545,0.057902,24,0.033850,3756,2
05-13-21,81+ years,25344,0.029619,14,0.019746,4567,0
05-13-21,Pending,1070,0.001250,0,0,0,0
05-12-21,0-10 years,47509,0.055569,79,0.088071,5,0
05-12-21,11-20 years,110469,0.12921,139,0.154961,5,0
05-12-21,21-30 years,154524,0.180739,161,0.179487,49,0
05-12-21,31-40 years,133189,0.155785,143,0.15942,135,3
05-12-21,41-50 years,127409,0.149024,130,0.144928,407,1
05-12-21,51-60 years,120076,0.140447,110,0.122631,1073,3
05-12-21,61-70 years,85859,0.100425,86,0.095875,2310,0
05-12-21,71-80 years,49521,0.057922,30,0.033445,3754,0
05-12-21,81+ years,25330,0.029627,17,0.018952,4567,2
05-12-21,Pending,1070,0.001252,2,0.002230,0,0
05-11-21,0-10 years,47430,0.055535,54,0.063754,5,0
05-11-21,11-20 years,110330,0.129183,121,0.142857,5,0
05-11-21,21-30 years,154363,0.18074,138,0.162928,49,1
05-11-21,31-40 years,133046,0.155781,162,0.191263,132,1
05-11-21,41-50 years,127279,0.149028,132,0.155844,406,0
05-11-21,51-60 years,119966,0.140466,120,0.141677,1070,3
05-11-21,61-70 years,85773,0.10043,69,0.081464,2310,1
05-11-21,71-80 years,49491,0.057948,45,0.053129,3754,-1
05-11-21,81+ years,25313,0.029638,6,0.007084,4565,-1
05-11-21,Pending,1068,0.001250,0,0,0,0
05-10-21,0-10 years,47376,0.055527,62,0.098569,5,0
05-10-21,11-20 years,110209,0.12917,95,0.151033,5,0
05-10-21,21-30 years,154225,0.180758,92,0.146264,48,0
05-10-21,31-40 years,132884,0.155746,101,0.160572,131,1
05-10-21,41-50 years,127147,0.149022,95,0.151033,406,1
05-10-21,51-60 years,119846,0.140465,98,0.155803,1067,3
05-10-21,61-70 years,85704,0.100449,44,0.069952,2309,6
05-10-21,71-80 years,49446,0.057953,27,0.042925,3755,4
05-10-21,81+ years,25307,0.029661,14,0.022258,4566,1
05-10-21,Pending,1068,0.001252,1,0.001590,0,0
05-09-21,0-10 years,47314,0.055495,16,0.042553,5,0
05-09-21,11-20 years,110114,0.129153,65,0.172872,5,0
05-09-21,21-30 years,154133,0.180784,76,0.202128,48,0
05-09-21,31-40 years,132783,0.155742,69,0.183511,130,2
05-09-21,41-50 years,127052,0.14902,64,0.170213,405,2
05-09-21,51-60 years,119748,0.140453,44,0.117021,1064,5
05-09-21,61-70 years,85660,0.100471,28,0.074468,2303,3
05-09-21,71-80 years,49419,0.057964,12,0.031915,3751,5
05-09-21,81+ years,25293,0.029666,2,0.005319,4565,2
05-09-21,Pending,1067,0.001251,0,0,0,0
05-08-21,0-10 years,47298,0.055501,50,0.089445,5,0
05-08-21,11-20 years,110049,0.129134,76,0.135957,5,0
05-08-21,21-30 years,154057,0.180774,103,0.184258,48,0
05-08-21,31-40 years,132714,0.15573,101,0.18068,128,0
05-08-21,41-50 years,126988,0.149011,71,0.127013,403,0
05-08-21,51-60 years,119704,0.140464,69,0.123435,1059,0
05-08-21,61-70 years,85632,0.100483,58,0.103757,2300,0
05-08-21,71-80 years,49407,0.057975,24,0.042934,3746,0
05-08-21,81+ years,25291,0.029677,7,0.012522,4563,0
05-08-21,Pending,1067,0.001252,0,0,0,0
05-07-21,0-10 years,47248,0.055478,80,0.077369,5,0
05-07-21,11-20 years,109973,0.12913,185,0.178917,5,0
05-07-21,21-30 years,153954,0.180772,202,0.195358,48,0
05-07-21,31-40 years,132613,0.155713,169,0.163443,128,0
05-07-21,41-50 years,126917,0.149025,149,0.144101,403,0
05-07-21,51-60 years,119635,0.140475,130,0.125725,1059,0
05-07-21,61-70 years,85574,0.10048,68,0.065764,2300,0
05-07-21,71-80 years,49383,0.057985,42,0.040619,3746,2
05-07-21,81+ years,25284,0.029688,9,0.008704,4563,0
05-07-21,Pending,1067,0.001253,0,0,0,0
05-06-21,0-10 years,47168,0.055452,75,0.095057,5,0
05-06-21,11-20 years,109788,0.129069,122,0.154626,5,0
05-06-21,21-30 years,153752,0.180754,134,0.169835,48,0
05-06-21,31-40 years,132444,0.155704,132,0.1673,128,0
05-06-21,41-50 years,126768,0.149031,104,0.131812,403,4
05-06-21,51-60 years,119505,0.140493,117,0.148289,1059,1
05-06-21,61-70 years,85506,0.100523,59,0.074778,2300,0
05-06-21,71-80 years,49341,0.058006,37,0.046895,3744,4
05-06-21,81+ years,25275,0.029714,8,0.010139,4563,2
05-06-21,Pending,1067,0.001254,1,0.001267,0,0
05-05-21,0-10 years,47093,0.055415,110,0.091060,5,0
05-05-21,11-20 years,109666,0.129045,191,0.158113,5,0
05-05-21,21-30 years,153618,0.180764,235,0.194536,48,0
05-05-21,31-40 years,132312,0.155693,185,0.153146,128,0
05-05-21,41-50 years,126664,0.149047,190,0.157285,399,2
05-05-21,51-60 years,119388,0.140485,151,0.125,1058,1
05-05-21,61-70 years,85447,0.100547,91,0.075331,2300,4
05-05-21,71-80 years,49304,0.058017,34,0.028146,3740,7
05-05-21,81+ years,25267,0.029732,20,0.016556,4561,2
05-05-21,Pending,1066,0.001254,1,0.000828,0,0
05-04-21,0-10 years,46983,0.055364,51,0.059789,5,0
