date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,us_admin2_code,us_county_fips,cnt_confirmed,cnt_deaths,cnt_recovered
2022-05-18,US,60,60,AS,00060,00060,6065,30,0
2022-05-18,US,66,66,GU,00066,00066,48611,361,0
2022-05-18,US,69,69,MP,00069,00069,11315,34,0
2022-05-18,US,78,78,VI,00078,00078,18551,113,0
2022-05-18,US,01,01,AL,01000,,0,0,0
2022-05-18,US,01,01,AL,01001,01001,15873,216,0
2022-05-18,US,01,01,AL,01003,01003,55960,681,0
2022-05-18,US,01,01,AL,01005,01005,5691,98,0
2022-05-18,US,01,01,AL,01007,01007,6466,105,0
2022-05-18,US,01,01,AL,01009,01009,15025,243,0
2022-05-18,US,01,01,AL,01011,01011,2327,54,0
2022-05-18,US,01,01,AL,01013,01013,5070,129,0
2022-05-18,US,01,01,AL,01015,01015,32498,627,0
2022-05-18,US,01,01,AL,01017,01017,8516,162,0
2022-05-18,US,01,01,AL,01019,01019,5135,86,0
2022-05-18,US,01,01,AL,01021,01021,11135,207,0
2022-05-18,US,01,01,AL,01023,01023,2050,37,0
2022-05-18,US,01,01,AL,01025,01025,7156,101,0
2022-05-18,US,01,01,AL,01027,01027,4101,82,0
2022-05-18,US,01,01,AL,01029,01029,3567,69,0
2022-05-18,US,01,01,AL,01031,01031,13667,231,0
2022-05-18,US,01,01,AL,01033,01033,16384,262,0
2022-05-18,US,01,01,AL,01035,01035,2870,70,0
2022-05-18,US,01,01,AL,01037,01037,2979,58,0
2022-05-18,US,01,01,AL,01039,01039,9359,232,0
2022-05-18,US,01,01,AL,01041,01041,3840,100,0
2022-05-18,US,01,01,AL,01043,01043,24678,367,0
2022-05-18,US,01,01,AL,01045,01045,12964,231,0
2022-05-18,US,01,01,AL,01047,01047,8436,244,0
2022-05-18,US,01,01,AL,01049,01049,18812,330,0
2022-05-18,US,01,01,AL,01051,01051,23442,347,0
2022-05-18,US,01,01,AL,01053,01053,10090,171,0
2022-05-18,US,01,01,AL,01055,01055,28795,651,0
2022-05-18,US,01,01,AL,01057,01057,4988,96,0
2022-05-18,US,01,01,AL,01059,01059,9912,139,0
2022-05-18,US,01,01,AL,01061,01061,6498,164,0
2022-05-18,US,01,01,AL,01063,01063,1877,49,0
2022-05-18,US,01,01,AL,01065,01065,4747,106,0
2022-05-18,US,01,01,AL,01067,01067,4588,76,0
2022-05-18,US,01,01,AL,01069,01069,25834,506,0
2022-05-18,US,01,01,AL,01071,01071,15059,241,0
2022-05-18,US,01,01,AL,01073,01073,186348,2373,0
2022-05-18,US,01,01,AL,01075,01075,3746,65,0
2022-05-18,US,01,01,AL,01077,01077,24218,397,0
2022-05-18,US,01,01,AL,01079,01079,7693,160,0
2022-05-18,US,01,01,AL,01081,01081,37944,341,0
2022-05-18,US,01,01,AL,01083,01083,25152,294,0
2022-05-18,US,01,01,AL,01085,01085,2631,77,0
2022-05-18,US,01,01,AL,01087,01087,3895,85,0
2022-05-18,US,01,01,AL,01089,01089,90680,969,0
2022-05-18,US,01,01,AL,01091,01091,5196,108,0
2022-05-18,US,01,01,AL,01093,01093,8167,152,0
2022-05-18,US,01,01,AL,01095,01095,27463,394,0
2022-05-18,US,01,01,AL,01097,01097,113408,1653,0
2022-05-18,US,01,01,AL,01099,01099,5276,80,0
2022-05-18,US,01,01,AL,01101,01101,55398,948,0
2022-05-18,US,01,01,AL,01103,01103,36212,518,0
2022-05-18,US,01,01,AL,01105,01105,2097,47,0
2022-05-18,US,01,01,AL,01107,01107,5273,102,0
2022-05-18,US,01,01,AL,01109,01109,7596,134,0
2022-05-18,US,01,01,AL,01111,01111,5083,75,0
2022-05-18,US,01,01,AL,01113,01113,10120,93,0
2022-05-18,US,01,01,AL,01115,01115,25434,416,0
2022-05-18,US,01,01,AL,01117,01117,61398,452,0
2022-05-18,US,01,01,AL,01119,01119,2600,51,0
2022-05-18,US,01,01,AL,01121,01121,22417,377,0
2022-05-18,US,01,01,AL,01123,01123,11463,234,0
2022-05-18,US,01,01,AL,01125,01125,56380,787,0
2022-05-18,US,01,01,AL,01127,01127,18775,447,0
2022-05-18,US,01,01,AL,01129,01129,3738,59,0
2022-05-18,US,01,01,AL,01131,01131,2894,46,0
2022-05-18,US,01,01,AL,01133,01133,7578,131,0
2022-05-18,US,02,02,AK,02000,,985,0,0
2022-05-18,US,02,02,AK,02013,02013,1105,3,0
2022-05-18,US,02,02,AK,02016,02016,1695,2,0
2022-05-18,US,02,02,AK,02020,02020,106742,546,0
2022-05-18,US,02,02,AK,02050,02050,10416,41,0
2022-05-18,US,02,02,AK,02060,02060,0,0,0
2022-05-18,US,02,02,AK,02063,02063,2020,11,0
2022-05-18,US,02,02,AK,02066,02066,970,10,0
2022-05-18,US,02,02,AK,02068,02068,455,1,0
2022-05-18,US,02,02,AK,02070,02070,1942,12,0
2022-05-18,US,02,02,AK,02090,02090,28182,142,0
2022-05-18,US,02,02,AK,02100,02100,648,1,0
2022-05-18,US,02,02,AK,02110,02110,9242,21,0
2022-05-18,US,02,02,AK,02122,02122,18354,108,0
2022-05-18,US,02,02,AK,02130,02130,4278,23,0
2022-05-18,US,02,02,AK,02150,02150,5041,12,0
2022-05-18,US,02,02,AK,02158,02158,4100,14,0
2022-05-18,US,02,02,AK,02164,02164,882,1,0
2022-05-18,US,02,02,AK,02170,02170,35315,248,0
2022-05-18,US,02,02,AK,02180,02180,6254,5,0
2022-05-18,US,02,02,AK,02185,02185,4501,13,0
2022-05-18,US,02,02,AK,02188,02188,4868,15,0
2022-05-18,US,02,02,AK,02195,02195,805,6,0
2022-05-18,US,02,02,AK,02198,02198,1481,8,0
2022-05-18,US,02,02,AK,02220,02220,2778,6,0
2022-05-18,US,02,02,AK,02230,02230,249,1,0
2022-05-18,US,02,02,AK,02240,02240,2072,20,0
2022-05-18,US,02,02,AK,02261,02261,0,0,0
2022-05-18,US,02,02,AK,02275,02275,600,1,0
2022-05-18,US,02,02,AK,02282,02282,599,5,0
2022-05-18,US,02,02,AK,02290,02290,1460,10,0
