date_stamp,iso3166_1,subdivision_code,us_state_fips,us_state_postal,us_admin2_code,us_county_fips,cnt_confirmed,cnt_deaths,cnt_recovered
2020-12-01,US,66,66,GU,00066,00066,6889,112,0
2020-12-01,US,69,69,MP,00069,00069,106,2,0
2020-12-01,US,78,78,VI,00078,00078,1550,23,0
2020-12-01,US,01,01,AL,01000,,0,0,0
2020-12-01,US,01,01,AL,01001,01001,2818,42,0
2020-12-01,US,01,01,AL,01003,01003,9051,137,0
2020-12-01,US,01,01,AL,01005,01005,1189,11,0
2020-12-01,US,01,01,AL,01007,01007,1204,18,0
2020-12-01,US,01,01,AL,01009,01009,3061,40,0
2020-12-01,US,01,01,AL,01011,01011,701,19,0
2020-12-01,US,01,01,AL,01013,01013,1186,42,0
2020-12-01,US,01,01,AL,01015,01015,6598,121,0
2020-12-01,US,01,01,AL,01017,01017,1827,50,0
2020-12-01,US,01,01,AL,01019,01019,1051,24,0
2020-12-01,US,01,01,AL,01021,01021,2289,39,0
2020-12-01,US,01,01,AL,01023,01023,431,14,0
2020-12-01,US,01,01,AL,01025,01025,1610,19,0
2020-12-01,US,01,01,AL,01027,01027,928,24,0
2020-12-01,US,01,01,AL,01029,01029,788,14,0
2020-12-01,US,01,01,AL,01031,01031,2500,15,0
2020-12-01,US,01,01,AL,01033,01033,3320,42,0
2020-12-01,US,01,01,AL,01035,01035,700,14,0
2020-12-01,US,01,01,AL,01037,01037,366,4,0
2020-12-01,US,01,01,AL,01039,01039,2250,34,0
2020-12-01,US,01,01,AL,01041,01041,722,30,0
2020-12-01,US,01,01,AL,01043,01043,4624,43,0
2020-12-01,US,01,01,AL,01045,01045,2390,54,0
2020-12-01,US,01,01,AL,01047,01047,2315,32,0
2020-12-01,US,01,01,AL,01049,01049,4981,37,0
2020-12-01,US,01,01,AL,01051,01051,4211,64,0
2020-12-01,US,01,01,AL,01053,01053,2023,31,0
2020-12-01,US,01,01,AL,01055,01055,6561,67,0
2020-12-01,US,01,01,AL,01057,01057,946,16,0
2020-12-01,US,01,01,AL,01059,01059,2574,34,0
2020-12-01,US,01,01,AL,01061,01061,1250,8,0
2020-12-01,US,01,01,AL,01063,01063,435,18,0
2020-12-01,US,01,01,AL,01065,01065,981,31,0
2020-12-01,US,01,01,AL,01067,01067,889,6,0
2020-12-01,US,01,01,AL,01069,01069,5410,38,0
2020-12-01,US,01,01,AL,01071,01071,3404,23,0
2020-12-01,US,01,01,AL,01073,01073,33526,501,0
2020-12-01,US,01,01,AL,01075,01075,701,8,0
2020-12-01,US,01,01,AL,01077,01077,4267,54,0
2020-12-01,US,01,01,AL,01079,01079,1334,36,0
2020-12-01,US,01,01,AL,01081,01081,7872,66,0
2020-12-01,US,01,01,AL,01083,01083,4404,45,0
2020-12-01,US,01,01,AL,01085,01085,809,29,0
2020-12-01,US,01,01,AL,01087,01087,755,22,0
2020-12-01,US,01,01,AL,01089,01089,13723,151,0
2020-12-01,US,01,01,AL,01091,01091,1234,24,0
2020-12-01,US,01,01,AL,01093,01093,1447,36,0
2020-12-01,US,01,01,AL,01095,01095,6473,57,0
2020-12-01,US,01,01,AL,01097,01097,20103,365,0
2020-12-01,US,01,01,AL,01099,01099,830,11,0
2020-12-01,US,01,01,AL,01101,01101,12552,236,0
2020-12-01,US,01,01,AL,01103,01103,6964,51,0
2020-12-01,US,01,01,AL,01105,01105,691,6,0
2020-12-01,US,01,01,AL,01107,01107,1265,18,0
2020-12-01,US,01,01,AL,01109,01109,1615,14,0
2020-12-01,US,01,01,AL,01111,01111,1055,22,0
2020-12-01,US,01,01,AL,01113,01113,2266,3,0
2020-12-01,US,01,01,AL,01115,01115,4419,56,0
2020-12-01,US,01,01,AL,01117,01117,10796,77,0
2020-12-01,US,01,01,AL,01119,01119,586,22,0
2020-12-01,US,01,01,AL,01121,01121,3701,57,0
2020-12-01,US,01,01,AL,01123,01123,1872,91,0
2020-12-01,US,01,01,AL,01125,01125,13366,154,0
2020-12-01,US,01,01,AL,01127,01127,3735,111,0
2020-12-01,US,01,01,AL,01129,01129,932,19,0
2020-12-01,US,01,01,AL,01131,01131,648,18,0
2020-12-01,US,01,01,AL,01133,01133,1375,23,0
2020-12-01,US,02,02,AK,02000,,161,0,0
2020-12-01,US,02,02,AK,02013,02013,38,0,0
2020-12-01,US,02,02,AK,02016,02016,108,0,0
2020-12-01,US,02,02,AK,02020,02020,17038,69,0
