date_stamp,age_group,cnt_confirmed,pct_confirmed
2020-11-03,00,627,4.49
2020-11-03,11,2955,21.15
2020-11-03,21,3212,22.99
2020-11-03,31,1967,14.08
2020-11-03,41,1738,12.44
2020-11-03,51,1574,11.26
2020-11-03,61,1044,7.47
2020-11-03,71,585,4.19
2020-11-03,81,221,1.58
2020-11-03,91,51,0.36
2020-11-03,99,0,0.00
