DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-13-21,857055,742,706743,484,150312,258,813947,7002235,7816182,12421,7,12312,-144,8128,879,836615,4,21577,12303,1
05-12-21,856313,923,706259,660,150054,263,813380,6990381,7803761,17239,9,12305,-26,8272,940,835736,14,21573,12302,3
05-11-21,855390,852,705599,612,149791,240,812557,6973965,7786522,11481,4,12296,-138,8298,986,834796,22,21559,12299,3
05-10-21,854538,630,704987,374,149551,256,811909,6963132,7775041,7516,16,12292,-577,8436,1191,833810,28,21537,12296,8
05-09-21,853908,376,704613,282,149295,94,811476,6956049,7767525,6856,19,12276,-336,9013,693,832619,17,21509,12288,7
05-08-21,853532,561,704331,395,149201,166,811150,6949519,7760669,10283,0,12257,-75,9349,636,831926,10,21492,12281,6
05-07-21,852971,1037,703936,732,149035,305,810642,6939744,7750386,15006,2,12257,76,9424,959,831290,19,21482,12275,7
05-06-21,851934,791,703204,540,148730,251,809786,6925594,7735380,11580,11,12255,-292,9348,1072,830331,22,21463,12268,8
05-05-21,851143,1211,702664,759,148479,452,809147,6914653,7723800,17619,16,12244,219,9640,976,829259,28,21441,12260,10
05-04-21,849932,855,701905,597,148027,258,808268,6897913,7706181,12167,11,12228,-318,9421,1162,828283,27,21413,12250,9
05-03-21,849077,656,701308,450,147769,206,807574,6886440,7694014,8387,13,12217,-651,9739,1294,827121,25,21386,12241,5
05-02-21,848421,500,700858,373,147563,127,807050,6878577,7685627,7365,1,12204,-227,10390,726,825827,19,21361,12236,10
05-01-21,847921,607,700485,443,147436,164,806609,6871653,7678262,10367,-1,12203,-136,10617,744,825101,21,21342,12226,7
04-30-21,847314,1075,700042,769,147272,306,806106,6861789,7667895,14984,7,12204,3,10753,1065,824357,25,21321,12219,10
04-29-21,846239,1060,699273,695,146966,365,805233,6847678,7652911,14650,9,12197,-101,10750,1152,823292,26,21296,12209,9
04-28-21,845179,1202,698578,864,146601,338,804451,6833810,7638261,20540,17,12188,-88,10851,1273,822140,40,21270,12200,9
04-27-21,843977,1163,697714,711,146263,452,803452,6814269,7617721,13783,8,12171,-79,10939,1234,820867,41,21230,12191,12
04-26-21,842814,1096,697003,712,145811,384,802651,6801287,7603938,9833,11,12163,-368,11018,1453,819633,26,21189,12179,10
04-25-21,841718,553,696291,426,145427,127,801860,6792245,7594105,8248,6,12152,-272,11386,819,818180,25,21163,12169,7
04-24-21,841165,754,695865,566,145300,188,801345,6784512,7585857,13047,0,12146,-176,11658,930,817361,29,21138,12162,7
04-23-21,840411,955,695299,692,145112,263,800697,6772113,7572810,14911,4,12146,-219,11834,1170,816431,22,21109,12155,5
04-22-21,839456,1895,694607,1075,144849,820,799851,6758048,7557899,22085,12,12142,600,12053,1283,815261,29,21087,12150,12
04-21-21,837561,1408,693532,951,144029,457,798659,6737155,7535814,17944,19,12130,142,11453,1247,813978,20,21058,12138,15
04-20-21,836153,1113,692581,915,143572,198,797597,6720273,7517870,13985,15,12111,-242,11311,1340,812731,45,21038,12123,7
04-19-21,835040,848,691666,549,143374,299,796612,6707273,7503885,9282,15,12096,-682,11553,1515,811391,37,20993,12116,11
04-18-21,834192,562,691117,481,143075,81,795998,6698605,7494603,8187,17,12081,-161,12235,706,809876,16,20956,12105,10
04-17-21,833630,706,690636,574,142994,132,795419,6690997,7486416,11807,1,12064,-77,12396,782,809170,17,20940,12095,10
04-16-21,832924,4217,690062,3995,142862,222,794748,6679861,7474609,35546,14,12063,3247,12473,956,808388,37,20923,12085,6
04-15-21,828707,1377,686067,1000,142640,377,790047,6649016,7439063,18283,8,12049,158,9226,1211,807432,33,20886,12079,11
04-14-21,827330,1807,685067,1337,142263,470,788941,6631839,7420780,24938,9,12041,652,9068,1146,806221,36,20853,12068,11
04-13-21,825523,1139,683730,707,141793,432,787414,6608428,7395842,10970,10,12032,-98,8416,1227,805075,33,20817,12057,11
04-12-21,824384,1232,683023,882,141361,350,786656,6598216,7384872,9378,7,12022,-151,8514,1376,803848,29,20784,12046,15
04-11-21,823152,655,682141,461,141011,194,785659,6589835,7375494,7668,3,12015,-189,8665,841,802472,21,20755,12031,5
04-10-21,822497,873,681680,606,140817,267,785138,6582688,7367826,12240,8,12012,123,8854,742,801631,24,20734,12026,10
04-09-21,821624,1338,681074,1043,140550,295,784401,6571185,7355586,16481,3,12004,216,8731,1119,800889,35,20710,12016,13
