DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-10-21,854918,655,705111,378,149807,277,811997,6963249,7793447,7528,16,12292,-538,8890,1177,833736,9,21483,12284,3
05-09-21,854263,381,704733,284,149530,97,811563,6956158,7785919,6866,19,12276,-322,9428,684,832559,12,21474,12281,5
05-08-21,853882,570,704449,398,149433,172,811231,6949625,7779053,10287,0,12257,-55,9750,625,831875,9,21462,12276,5
05-07-21,853312,1057,704051,735,149261,322,810724,6939848,7768766,15017,2,12257,104,9805,951,831250,13,21453,12271,6
05-06-21,852255,809,703316,544,148939,265,809865,6925696,7753749,11584,11,12255,-270,9701,1068,830299,18,21440,12265,6
05-05-21,851446,1237,702772,768,148674,469,809226,6914754,7742165,17625,16,12244,251,9971,970,829231,26,21422,12259,10
05-04-21,850209,875,702004,604,148205,271,808346,6898014,7724540,12176,11,12228,-291,9720,1155,828261,25,21396,12249,9
05-03-21,849334,666,701400,452,147934,214,807652,6886533,7712364,8379,13,12217,-636,10011,1289,827106,23,21371,12240,5
05-02-21,848668,506,700948,378,147720,128,807143,6878668,7703985,7367,1,12204,-218,10647,723,825817,17,21348,12235,10
05-01-21,848162,623,700570,449,147592,174,806702,6871744,7696618,10373,-1,12203,-120,10865,744,825094,20,21331,12225,6
04-30-21,847539,1095,700121,775,147418,320,806198,6861879,7686245,14988,7,12204,22,10985,1066,824350,25,21311,12219,9
04-29-21,846444,1062,699346,694,147098,368,805325,6847768,7671257,14655,9,12197,-99,10963,1152,823284,26,21286,12210,9
04-28-21,845382,1203,698652,863,146730,340,804542,6833900,7656602,20559,17,12188,-88,11062,1274,822132,40,21260,12201,9
04-27-21,844179,1165,697789,713,146390,452,803542,6814357,7636043,13788,8,12171,-72,11150,1229,820858,40,21220,12192,12
04-26-21,843014,1094,697076,711,145938,383,802740,6801373,7622255,9839,11,12163,-363,11222,1446,819629,26,21180,12180,10
04-25-21,841920,553,696365,426,145555,127,801949,6792330,7612416,8252,6,12152,-272,11585,819,818183,24,21154,12170,7
04-24-21,841367,754,695939,566,145428,188,801434,6784597,7604164,13052,0,12146,-174,11857,928,817364,29,21130,12163,7
04-23-21,840613,955,695373,691,145240,264,800786,6772198,7591112,14921,4,12146,-214,12031,1165,816436,22,21101,12156,5
04-22-21,839658,1895,694682,1075,144976,820,799941,6758128,7576191,22093,12,12142,601,12245,1282,815271,29,21079,12151,11
04-21-21,837763,1408,693607,951,144156,457,798750,6737233,7554098,17951,19,12130,141,11644,1248,813989,19,21050,12140,15
04-20-21,836355,1113,692656,915,143699,198,797688,6720351,7536147,13993,15,12111,-238,11503,1336,812741,45,21031,12125,7
04-19-21,835242,848,691741,549,143501,299,796703,6707351,7522154,9287,15,12096,-683,11741,1516,811405,35,20986,12118,11
04-18-21,834394,562,691192,480,143202,82,796088,6698683,7512867,8191,17,12081,-161,12424,706,809889,16,20951,12107,10
04-17-21,833832,706,690712,572,143120,134,795509,6691075,7504676,11811,1,12064,-76,12585,781,809183,17,20935,12097,10
04-16-21,833126,4217,690140,3995,142986,222,794838,6679939,7492865,35553,14,12063,3249,12661,954,808402,35,20918,12087,6
04-15-21,828909,1377,686145,1000,142764,377,790137,6649094,7457312,18314,8,12049,158,9412,1211,807448,32,20883,12081,11
