DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-23-21,860966,261,709443,189,151523,72,817602,7104246,7921848,5440,6,12393,-215,5921,470,842652,0,21795,12384,1
05-22-21,860705,318,709254,228,151451,90,817348,7099060,7916408,7498,3,12387,-154,6136,469,842182,3,21795,12383,1
05-21-21,860387,532,709026,356,151361,176,817042,7091868,7908910,10233,4,12384,-151,6290,679,841713,7,21792,12382,5
05-20-21,859855,554,708670,384,151185,170,816650,7082027,7898677,24063,16,12380,-215,6441,753,841034,13,21785,12377,7
05-19-21,859301,639,708286,462,151015,177,816179,7058435,7874614,13952,11,12364,-181,6656,809,840281,20,21772,12370,6
05-18-21,858662,574,707824,392,150838,182,815629,7045033,7860662,10644,14,12353,-272,6837,832,839472,17,21752,12364,4
05-17-21,858088,661,707432,391,150656,270,815192,7034826,7850018,9141,12,12339,-311,7109,960,838640,18,21735,12360,9
05-16-21,857427,277,707041,201,150386,76,814725,7026152,7840877,5294,4,12327,-256,7420,529,837680,14,21717,12351,8
05-15-21,857150,399,706840,291,150310,108,814472,7021111,7835583,8620,1,12323,-216,7676,614,837151,11,21703,12343,4
05-14-21,856751,810,706549,582,150202,228,814084,7012879,7826963,12088,10,12322,67,7892,733,836537,26,21692,12339,11
05-13-21,855941,710,705967,469,149974,241,813412,7001463,7814875,12396,7,12312,-178,7825,881,835804,14,21666,12328,5
05-12-21,855231,898,705498,660,149733,238,812857,6989622,7802479,17233,9,12305,-35,8003,924,834923,29,21652,12323,9
05-11-21,854333,847,704838,619,149495,228,812040,6973206,7785246,11471,4,12296,-141,8038,984,833999,27,21623,12314,6
05-10-21,853486,629,704219,380,149267,249,811403,6962372,7773775,7515,16,12292,-567,8179,1180,833015,30,21596,12308,10
05-09-21,852857,376,703839,283,149018,93,810968,6955292,7766260,6858,19,12276,-332,8746,689,831835,19,21566,12298,7
05-08-21,852481,559,703556,394,148925,165,810640,6948762,7759402,10282,0,12257,-83,9078,642,831146,12,21547,12291,8
05-07-21,851922,1036,703162,734,148760,302,810131,6938989,7749120,14998,2,12257,75,9161,959,830504,24,21535,12283,7
05-06-21,850886,789,702428,542,148458,247,809280,6924842,7734122,11573,11,12255,-289,9086,1067,829545,23,21511,12276,9
05-05-21,850097,1208,701886,759,148211,449,808647,6913902,7722549,17613,16,12244,228,9375,964,828478,35,21488,12267,12
05-04-21,848889,853,701127,598,147762,255,807774,6897162,7704936,12167,11,12228,-301,9147,1143,827514,29,21453,12255,9
05-03-21,848036,656,700529,450,147507,206,807080,6885689,7692769,8386,13,12217,-632,9448,1275,826371,28,21424,12246,6
05-02-21,847380,499,700079,373,147301,126,806557,6877826,7684383,7360,1,12204,-218,10080,716,825096,21,21396,12240,11
05-01-21,846881,608,699706,445,147175,163,806120,6870903,7677023,10355,-1,12203,-132,10298,741,824380,22,21375,12229,7
04-30-21,846273,1073,699261,770,147012,303,805629,6861039,7666668,14978,7,12204,13,10430,1053,823639,28,21353,12222,10
04-29-21,845200,1029,698491,681,146709,348,804761,6846929,7651690,14645,9,12197,-119,10417,1139,822586,29,21325,12212,10
04-28-21,844171,1194,697810,858,146361,336,803984,6833061,7637045,20539,17,12188,-94,10536,1271,821447,45,21296,12202,9
04-27-21,842977,1159,696952,710,146025,449,802986,6813520,7616506,13779,8,12171,-83,10630,1234,820176,45,21251,12193,12
04-26-21,841818,1091,696242,713,145576,378,802188,6800539,7602727,9824,11,12163,-376,10713,1456,818942,27,21206,12181,11
04-25-21,840727,552,695529,425,145198,127,801405,6791498,7592903,8248,6,12152,-269,11089,815,817486,25,21179,12170,7
04-24-21,840175,752,695104,564,145071,188,800890,6783765,7584655,13043,0,12146,-175,11358,927,816671,30,21154,12163,7
04-23-21,839423,954,694540,690,144883,264,800247,6771365,7571612,14907,4,12146,-216,11533,1166,815744,22,21124,12156,5
04-22-21,838469,1848,693850,1040,144619,808,799406,6757299,7556705,22084,12,12142,551,11749,1285,814578,33,21102,12151,12
04-21-21,836621,1382,692810,943,143811,439,798215,6736406,7534621,17937,19,12130,120,11198,1243,813293,21,21069,12139,15
04-20-21,835239,1096,691867,900,143372,196,797160,6719524,7516684,13975,15,12111,-258,11078,1339,812050,44,21048,12124,7
04-19-21,834143,841,690967,546,143176,295,796184,6706525,7502709,9282,15,12096,-692,11336,1518,810711,37,21004,12117,11
04-18-21,833302,560,690421,479,142881,81,795570,6697857,7493427,8184,17,12081,-162,12028,705,809193,17,20967,12106,11
04-17-21,832742,705,689942,574,142800,131,794994,6690249,7485243,11805,1,12064,-77,12190,781,808488,17,20950,12095,10
04-16-21,832037,4214,689368,3993,142669,221,794325,6679113,7473438,35540,14,12063,3243,12267,957,807707,37,20933,12085,6
04-15-21,827823,1375,685375,999,142448,376,789630,6648268,7437898,18272,8,12049,159,9024,1208,806750,33,20896,12079,12
04-14-21,826448,1803,684376,1337,142072,466,788533,6631093,7419626,24931,9,12041,649,8865,1145,805542,36,20863,12067,11
04-13-21,824645,1138,683039,706,141606,432,787013,6607682,7394695,10968,10,12032,-98,8216,1226,804397,33,20827,12056,11
04-12-21,823507,1231,682333,881,141174,350,786257,6597470,7383727,9376,7,12022,-152,8314,1376,803171,31,20794,12045,15
04-11-21,822276,653,681452,461,140824,192,785261,6589090,7374351,7668,3,12015,-188,8466,838,801795,21,20763,12030,5
04-10-21,821623,872,680991,605,140632,267,784740,6581943,7366683,12240,8,12012,122,8654,742,800957,24,20742,12025,10
04-09-21,820751,1339,680386,1044,140365,295,784003,6570440,7354443,16478,3,12004,216,8532,1120,800215,36,20718,12015,13
04-08-21,819412,1148,679342,781,140070,367,782859,6555106,7337965,15052,4,12001,-50,8316,1194,799095,22,20682,12002,5
04-07-21,818264,1582,678561,1186,139703,396,781974,6540939,7322913,21228,21,11997,327,8366,1234,797901,34,20660,11997,8
04-06-21,816682,1335,677375,883,139307,452,780673,6521012,7301685,14562,9,11976,66,8039,1260,796667,26,20626,11989,5
04-05-21,815347,892,676492,516,138855,376,779666,6507457,7287123,6196,38,11967,-618,7973,1472,795407,42,20600,11984,10
04-04-21,814455,551,675976,414,138479,137,779114,6501813,7280927,9621,7,11929,-263,8591,807,793935,10,20558,11974,16
04-03-21,813904,895,675562,636,138342,259,778614,6492692,7271306,10428,0,11922,9,8854,886,793128,17,20548,11958,14
04-02-21,813009,1066,674926,810,138083,256,777892,6482986,7260878,14204,1,11922,-66,8845,1131,792242,18,20531,11944,11
04-01-21,811943,1249,674116,898,137827,351,776938,6469736,7246674,14415,6,11921,-195,8911,1438,791111,18,20513,11933,7
03-31-21,810694,1867,673218,1195,137476,672,775944,6456315,7232259,22836,11,11915,591,9106,1265,789673,29,20495,11926,11
03-30-21,808827,1193,672023,879,136804,314,774559,6434864,7209423,14239,10,11904,-100,8515,1283,788408,34,20466,11915,9
03-29-21,807634,1192,671144,615,136490,577,773539,6421645,7195184,8854,29,11894,-287,8615,1450,787125,25,20432,11906,6
03-28-21,806442,815,670529,566,135913,249,772799,6413531,7186330,10826,13,11865,-45,8902,847,785675,24,20407,11900,8
03-27-21,805627,814,669963,744,135664,70,772150,6403354,7175504,13029,11,11852,3,8947,800,784828,22,20383,11892,9
03-26-21,804813,994,669219,797,135594,197,771244,6391231,7162475,11720,25,11841,-245,8944,1214,784028,14,20361,11883,15
03-25-21,803819,1145,668422,870,135397,275,770398,6380357,7150755,16324,20,11816,-108,9189,1233,782814,35,20347,11868,6
03-24-21,802674,1608,667552,1278,135122,330,769429,6365002,7134431,21266,4,11796,378,9297,1226,781581,28,20312,11862,6
03-23-21,801066,1171,666274,722,134792,449,768071,6345094,7113165,14487,45,11792,-132,8919,1258,780355,33,20284,11856,12
