DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
03-04-20,0,,,,,,,,,,,,,,,,,,,,0,0
03-05-20,1,1,,,,,,,,,,,,,,,,,,,0,0
03-06-20,1,0,,,,,,,,,,,,,,,,,,,0,0
03-07-20,1,0,,,,,,,,,,,,,,,,,,,0,0
03-08-20,3,2,,,,,,,,,,,,,,,,,,,0,0
03-09-20,4,1,,,,,,,,,,,,,,,,,,,0,0
03-10-20,7,3,,,,,,,,,,,,,,,,,,,0,0
03-11-20,9,2,,,,,,,,,,,,,,,,,,,0,0
03-12-20,18,9,,,,,,,,,,,,,,,,,,,0,0
03-13-20,26,8,,,,,,,,,,,,,,,,,,,0,0
03-14-20,32,6,,,,,,,,,,,,,,,,,,,0,0
03-15-20,39,7,,,,,,,,,,,,,,,,,,,0,0
03-16-20,52,13,,,,,,,,,,,,,,,,,,,0,0
03-17-20,73,21,,,,,,,,,,,,,,,,,,,0,0
03-18-20,98,25,,,,,,,,,,,,,,,,,,,0,0
03-19-20,154,56,,,,,,,,,,,,,,,,,,,0,0
03-20-20,228,74,,,,,,,,,,0,,,,,,,,,1,1
03-21-20,371,143,,,,,,,,,1,1,,,,,,,,,3,2
03-22-20,505,134,,,,,,,,,1,2,,,,,,,,,4,1
03-23-20,615,110,,,,,,,,,0,2,,,,,,,,,4,0
03-24-20,667,52,,,,,667,10477,11144,,0,2,,,,,,,,,5,1
03-25-20,784,117,,,,,784,11012,11796,652,1,3,,,,781,,,,53,6,1
03-26-20,957,173,,,,,957,13952,14909,3113,0,3,,,173,954,,,23,76,10,4
03-27-20,1203,246,,,,,1203,14888,16091,1182,3,6,,,243,1197,,,27,103,12,2
03-28-20,1373,170,,,,,1373,16965,18338,2247,0,6,,,170,1367,,,15,118,16,4
03-29-20,1537,164,,,,,1537,19037,20574,2236,1,7,,,163,1530,,,15,133,22,6
03-30-20,1834,297,,,,,1834,21470,23304,2730,6,13,,109,182,1712,,,15,148,28,6
03-31-20,2239,405,,,,,2239,25121,27360,4056,10,23,12,121,383,2095,,,27,175,36,8
04-01-20,2683,444,,,,,2683,29769,32452,5092,1,24,16,137,427,2522,,,25,200,44,8
04-02-20,2845,162,,,,,2845,31766,34611,2159,8,32,83,220,71,2593,,,63,263,50,6
04-03-20,3067,222,,,,,3067,34772,37839,3228,5,37,28,248,189,2782,,,30,293,66,16
04-04-20,3321,254,,,,,3321,38070,41391,3552,6,43,27,275,221,3003,,,18,311,70,4
04-05-20,3633,312,,,,,3633,41667,45300,3909,1,44,20,295,291,3294,,,17,328,80,10
04-06-20,3802,169,,,,,3802,43548,47350,2050,21,65,61,356,87,3381,,,24,352,87,7
04-07-20,4138,336,,,,,4138,48736,52874,5524,7,72,110,466,219,3600,,,56,408,94,7
04-08-20,4362,224,,,,,4362,52256,56618,3744,7,79,126,592,91,3691,,,41,449,110,16
04-09-20,4634,272,,,,,4634,55215,59849,3231,15,94,329,921,-72,3619,,,56,505,115,5
04-10-20,4862,228,,,,,4862,57937,62799,2950,4,98,224,1145,0,3619,,,31,536,117,2
04-11-20,5114,252,,,,,5114,61714,66828,4029,3,101,241,1386,8,3627,,,20,556,124,7
