DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-25-21,861706,444,709932,286,151774,158,818167,7120591,7938758,9278,6,12406,-176,5343,614,843957,2,21856,12397,1
05-24-21,861262,463,709646,314,151616,149,817854,7111626,7929480,7873,7,12400,-317,5519,773,843343,8,21854,12396,0
05-23-21,860799,258,709332,191,151467,67,817480,7104127,7921607,5392,6,12393,-221,5836,473,842570,9,21846,12396,7
05-22-21,860541,315,709141,226,151400,89,817241,7098974,7916215,7490,3,12387,-156,6057,468,842097,13,21837,12389,1
05-21-21,860226,527,708915,353,151311,174,816937,7091788,7908725,10234,4,12384,-154,6213,677,841629,11,21824,12388,7
05-20-21,859699,555,708562,389,151137,166,816541,7081950,7898491,24059,16,12380,-214,6367,753,840952,17,21813,12381,9
05-19-21,859144,638,708173,462,150971,176,816072,7058360,7874432,13951,11,12364,-182,6581,809,840199,24,21796,12372,6
05-18-21,858506,573,707711,391,150795,182,815523,7044958,7860481,10644,14,12353,-271,6763,830,839390,20,21772,12366,5
05-17-21,857933,660,707320,391,150613,269,815086,7034751,7849837,9140,12,12339,-311,7034,959,838560,20,21752,12361,9
05-16-21,857273,277,706929,201,150344,76,814620,7026077,7840697,5294,4,12327,-258,7345,531,837601,15,21732,12352,9
05-15-21,856996,399,706728,290,150268,109,814367,7021036,7835403,8622,1,12323,-220,7603,618,837070,11,21717,12343,4
05-14-21,856597,809,706438,581,150159,228,813977,7012804,7826781,12088,10,12322,61,7823,738,836452,27,21706,12339,11
05-13-21,855788,709,705857,472,149931,237,813304,7001389,7814693,12396,7,12312,-181,7762,883,835714,15,21679,12328,5
05-12-21,855079,897,705385,661,149694,236,812749,6989548,7802297,17236,9,12305,-39,7943,927,834831,29,21664,12323,9
05-11-21,854182,848,704724,620,149458,228,811929,6973132,7785061,11475,4,12296,-143,7982,987,833904,29,21635,12314,6
05-10-21,853334,629,704104,380,149230,249,811288,6962298,7773586,7515,16,12292,-570,8125,1183,832917,30,21606,12308,10
05-09-21,852705,376,703724,283,148981,93,810853,6955218,7766071,6858,19,12276,-334,8695,691,831734,20,21576,12298,7
05-08-21,852329,559,703441,395,148888,164,810525,6948688,7759213,10282,0,12257,-84,9029,643,831043,12,21556,12291,8
05-07-21,851770,1034,703046,733,148724,301,810016,6938915,7748931,14997,2,12257,70,9113,962,830400,25,21544,12283,7
05-06-21,850736,789,702313,542,148423,247,809166,6924768,7733934,11573,11,12255,-287,9043,1065,829438,24,21519,12276,9
05-05-21,849947,1208,701771,759,148176,449,808533,6913828,7722361,17613,16,12244,226,9330,966,828373,36,21495,12267,12
05-04-21,848739,853,701012,598,147727,255,807660,6897088,7704748,12166,11,12228,-305,9104,1147,827407,29,21459,12255,9
05-03-21,847886,655,700414,449,147472,206,806966,6885616,7692582,8383,13,12217,-635,9409,1277,826260,29,21430,12246,6
05-02-21,847231,499,699965,373,147266,126,806444,6877755,7684199,7359,1,12204,-222,10044,720,824983,21,21401,12240,11
05-01-21,846732,608,699592,445,147140,163,806007,6870833,7676840,10355,-1,12203,-132,10266,741,824263,22,21380,12229,7
04-30-21,846124,1073,699147,770,146977,303,805516,6860969,7666485,14923,7,12204,10,10398,1056,823522,28,21358,12222,10
04-29-21,845051,1029,698377,681,146674,348,804648,6846914,7651562,14642,9,12197,-120,10388,1140,822466,29,21330,12212,10
04-28-21,844022,1194,697696,858,146326,336,803871,6833049,7636920,20508,17,12188,-94,10508,1271,821326,45,21301,12202,9
04-27-21,842828,1159,696838,710,145990,449,802873,6813539,7616412,13779,8,12171,-81,10602,1232,820055,45,21256,12193,12
04-26-21,841669,1091,696128,713,145541,378,802075,6800558,7602633,9824,11,12163,-376,10683,1456,818823,27,21211,12181,11
04-25-21,840578,552,695415,425,145163,127,801292,6791517,7592809,8248,6,12152,-269,11059,815,817367,25,21184,12170,7
04-24-21,840026,752,694990,564,145036,188,800777,6783784,7584561,13043,0,12146,-174,11328,926,816552,30,21159,12163,7
04-23-21,839274,954,694426,691,144848,263,800134,6771384,7571518,14908,4,12146,-216,11502,1166,815626,22,21129,12156,5
04-22-21,838320,1848,693735,1041,144585,807,799293,6757317,7556610,22084,12,12142,551,11718,1285,814460,33,21107,12151,12
04-21-21,836472,1382,692694,943,143778,439,798102,6736424,7534526,17937,19,12130,120,11167,1243,813175,21,21074,12139,15
04-20-21,835090,1096,691751,900,143339,196,797047,6719542,7516589,13973,15,12111,-258,11047,1339,811932,44,21053,12124,7
04-19-21,833994,841,690851,546,143143,295,796072,6706544,7502616,9282,15,12096,-692,11305,1518,810593,37,21009,12117,11
04-18-21,833153,560,690305,479,142848,81,795458,6697876,7493334,8184,17,12081,-162,11997,705,809075,17,20972,12106,11
04-17-21,832593,705,689826,574,142767,131,794882,6690268,7485150,11805,1,12064,-77,12159,781,808370,17,20955,12095,10
04-16-21,831888,4214,689252,3993,142636,221,794213,6679132,7473345,35540,14,12063,3243,12236,957,807589,37,20938,12085,6
04-15-21,827674,1374,685259,998,142415,376,789518,6648287,7437805,18271,8,12049,158,8993,1208,806632,34,20901,12079,12
04-14-21,826300,1803,684261,1337,142039,466,788422,6631112,7419534,24931,9,12041,650,8835,1144,805424,36,20867,12067,11
04-13-21,824497,1138,682924,706,141573,432,786902,6607701,7394603,10967,10,12032,-98,8185,1226,804280,33,20831,12056,11
04-12-21,823359,1231,682218,881,141141,350,786147,6597489,7383636,9376,7,12022,-153,8283,1377,803054,31,20798,12045,15
04-11-21,822128,653,681337,461,140791,192,785151,6589109,7374260,7668,3,12015,-188,8436,838,801677,21,20767,12030,5
04-10-21,821475,872,680876,605,140599,267,784630,6581962,7366592,12240,8,12012,122,8624,742,800839,24,20746,12025,10
04-09-21,820603,1339,680271,1044,140332,295,783893,6570459,7354352,16475,3,12004,216,8502,1120,800097,36,20722,12015,13
04-08-21,819264,1148,679227,781,140037,367,782751,6555126,7337877,15052,4,12001,-50,8286,1194,798977,22,20686,12002,5
04-07-21,818116,1582,678446,1186,139670,396,781866,6540959,7322825,21230,21,11997,327,8336,1234,797783,34,20664,11997,8
04-06-21,816534,1335,677260,883,139274,452,780564,6521031,7301595,14562,9,11976,66,8009,1260,796549,26,20630,11989,5
04-05-21,815199,892,676377,516,138822,376,779557,6507476,7287033,6216,38,11967,-618,7943,1472,795289,42,20604,11984,10
04-04-21,814307,551,675861,414,138446,137,778996,6501821,7280817,9601,7,11929,-263,8561,807,793817,10,20562,11974,16
04-03-21,813756,895,675447,636,138309,259,778505,6492711,7271216,10429,0,11922,8,8824,887,793010,17,20552,11958,14
04-02-21,812861,1066,674811,810,138050,256,777783,6483004,7260787,14203,1,11922,-66,8816,1131,792123,18,20535,11944,11
04-01-21,811795,1249,674001,898,137794,351,776829,6469755,7246584,14415,6,11921,-194,8882,1437,790992,18,20517,11933,7
03-31-21,810546,1867,673103,1195,137443,672,775835,6456334,7232169,22835,11,11915,591,9076,1265,789555,29,20499,11926,11
03-30-21,808679,1193,671908,879,136771,314,774451,6434883,7209334,14239,10,11904,-100,8485,1283,788290,34,20470,11915,9
03-29-21,807486,1193,671029,616,136457,577,773431,6421664,7195095,8855,29,11894,-286,8585,1450,787007,25,20436,11906,6
03-28-21,806293,815,670413,566,135880,249,772691,6413549,7186240,10825,13,11865,-45,8871,847,785557,24,20411,11900,8
03-27-21,805478,814,669847,744,135631,70,772042,6403373,7175415,13029,11,11852,3,8916,800,784710,22,20387,11892,9
03-26-21,804664,994,669103,797,135561,197,771136,6391250,7162386,11720,25,11841,-245,8913,1214,783910,14,20365,11883,15
03-25-21,803670,1145,668306,870,135364,275,770290,6380376,7150666,16324,20,11816,-108,9158,1233,782696,35,20351,11868,6
03-24-21,802525,1608,667436,1278,135089,330,769321,6365021,7134342,21266,4,11796,378,9266,1226,781463,28,20316,11862,6
03-23-21,800917,1171,666158,722,134759,449,767963,6345113,7113076,14486,45,11792,-132,8888,1258,780237,33,20288,11856,12
03-22-21,799746,1266,665436,808,134310,458,767152,6331438,7098590,9714,34,11747,-54,9020,1286,778979,35,20255,11844,13
03-21-21,798480,757,664628,562,133852,195,766226,6322650,7088876,8881,8,11713,-9,9074,758,777693,7,20220,11831,13
03-20-21,797723,754,664066,517,133657,237,765605,6314390,7079995,9693,4,11705,-25,9083,775,776935,17,20213,11818,7
03-19-21,796969,1941,663549,1287,133420,654,765051,6305251,7070302,22135,28,11701,758,9108,1155,776160,32,20196,11811,11
03-18-21,795028,1415,662262,967,132766,448,763638,6284529,7048167,18711,23,11673,278,8350,1114,775005,42,20164,11800,14
03-17-21,793613,1071,661295,825,132318,246,762519,6266937,7029456,15439,8,11650,-82,8072,1145,773891,24,20122,11786,19
03-16-21,792542,1937,660470,1246,132072,691,761619,6252398,7014017,19034,12,11642,727,8154,1198,772746,50,20098,11767,9
03-15-21,790605,903,659224,498,131381,405,760177,6234806,6994983,5276,11,11630,-246,7427,1138,771548,24,20048,11758,8
03-14-21,789702,662,658726,460,130976,202,759631,6230076,6989707,8039,0,11619,-91,7673,753,770410,17,20024,11750,15
03-13-21,789040,1486,658266,802,130774,684,759076,6222592,6981668,16649,-12,11619,605,7764,893,769657,22,20007,11735,12
03-12-21,787554,1111,657464,838,130090,273,758140,6206879,6965019,13854,16,11631,-21,7159,1116,768764,13,19985,11723,19
03-11-21,786443,1366,656626,923,129817,443,757137,6194028,6951165,19243,17,11615,169,7180,1180,767648,15,19972,11704,12
03-10-21,785077,1598,655703,1132,129374,466,756113,6175809,6931922,23672,18,11598,298,7011,1282,766468,29,19957,11692,25
03-09-21,783479,1350,654571,806,128908,544,754841,6153409,6908250,17106,32,11580,-37,6713,1355,765186,24,19928,11667,21
03-08-21,782129,1087,653765,676,128364,411,753891,6137253,6891144,7645,9,11548,-556,6750,1634,763831,15,19904,11646,26
03-07-21,781042,752,653089,472,127953,280,753118,6130381,6883499,7138,4,11539,-201,7306,949,762197,9,19889,11620,23
03-06-21,780290,1234,652617,841,127673,393,752542,6123819,6876361,18287,9,11535,170,7507,1055,761248,20,19880,11597,20
03-05-21,779056,1227,651776,781,127280,446,751515,6106559,6858074,14116,33,11526,-68,7337,1262,760193,14,19860,11577,19
03-04-21,777829,1609,650995,1066,126834,543,750601,6093357,6843958,25298,42,11493,570,7405,997,758931,27,19846,11558,18
03-03-21,776220,1307,649929,882,126291,425,749309,6069351,6818660,18079,23,11451,16,6835,1268,757934,22,19819,11540,23
03-02-21,774913,1551,649047,983,125866,568,748277,6052304,6800581,15999,15,11428,527,6819,1009,756666,32,19797,11517,11
03-01-21,773362,568,648064,359,125298,209,747105,6037477,6784582,3824,10,11413,-434,6292,992,755657,16,19765,11506,14
02-28-21,772794,841,647705,582,125089,259,746708,6034050,6780758,10209,18,11403,-70,6726,893,754665,11,19749,11492,13
02-27-21,771953,1438,647123,855,124830,583,746027,6024522,6770549,18086,16,11385,376,6796,1046,753772,23,19738,11479,16
02-26-21,770515,1130,646268,793,124247,337,744988,6007475,6752463,11958,56,11369,-562,6420,1636,752726,16,19715,11463,11
02-25-21,769385,1682,645475,1175,123910,507,744064,5996441,6740505,22426,55,11313,-96,6982,1723,751090,37,19699,11452,23
02-24-21,767703,1923,644300,1476,123403,447,742708,5975371,6718079,24675,68,11258,-41,7078,1896,749367,39,19662,11429,19
02-23-21,765780,1844,642824,1126,122956,718,740979,5952425,6693404,16865,45,11190,-376,7119,2175,747471,44,19623,11410,21
02-22-21,763936,1057,641698,601,122238,456,739739,5936800,6676539,6162,20,11145,-1275,7495,2312,745296,37,19579,11389,23
02-21-21,762879,872,641097,583,121782,289,739037,5931340,6670377,6860,18,11125,-271,8770,1125,742984,15,19542,11366,30
02-20-21,762007,1366,640514,836,121493,530,738335,5925182,6663517,12464,51,11107,-57,9041,1372,741859,31,19527,11336,20
02-19-21,760641,998,639678,643,120963,355,737421,5913632,6651053,6665,7,11056,-925,9098,1916,740487,37,19496,11316,29
02-18-21,759643,1486,639035,952,120608,534,736688,5907700,6644388,12978,72,11049,-645,10023,2059,738571,42,19459,11287,30
02-17-21,758157,932,638083,596,120074,336,735611,5895799,6631410,6595,31,10977,-1299,10668,2200,736512,16,19417,11257,38
02-16-21,757225,1232,637487,784,119738,448,734927,5889888,6624815,9889,17,10946,-1243,11967,2458,734312,30,19401,11219,31
02-15-21,755993,779,636703,453,119290,326,734039,5880887,6614926,6226,4,10929,-2028,13210,2803,731854,13,19371,11188,26
02-14-21,755214,1255,636250,899,118964,356,733512,5875188,6608700,13046,31,10925,-356,15238,1580,729051,23,19358,11162,31
02-13-21,753959,1678,635351,1121,118608,557,732463,5863191,6595654,19166,9,10894,14,15594,1655,727471,30,19335,11131,33
02-12-21,752281,1928,634230,1382,118051,546,731128,5845360,6576488,22320,81,10885,-394,15580,2241,725816,21,19305,11098,27
02-11-21,750353,2420,632848,1738,117505,682,729503,5824665,6554168,25276,81,10804,-275,15974,2614,723575,35,19284,11071,34
02-10-21,747933,2140,631110,1517,116823,623,727512,5801380,6528892,24637,100,10723,-579,16249,2619,720961,39,19249,11037,37
02-09-21,745793,2700,629593,1780,116200,920,725737,5778518,6504255,21681,65,10623,-586,16828,3221,718342,57,19210,11000,40
02-08-21,743093,1249,627813,785,115280,464,723600,5758974,6482574,6678,97,10558,-2327,17414,3479,715121,30,19153,10960,36
02-07-21,741844,1354,627028,940,114816,414,722689,5753207,6475896,12771,6,10461,-435,19741,1783,711642,27,19123,10924,26
02-06-21,740490,3664,626088,2594,114402,1070,721648,5741477,6463125,39408,58,10455,1598,20176,2008,709859,44,19096,10898,58
02-05-21,736826,2184,623494,1569,113332,615,718410,5705307,6423717,22737,203,10397,-770,18578,2751,707851,53,19052,10840,50
