DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-16-21,858355,284,707663,205,150692,79,815240,7026907,7842147,5303,4,12327,-249,7667,529,838361,0,21621,12318,0
05-15-21,858071,421,707458,297,150613,124,814982,7021862,7836844,8620,1,12323,-184,7916,604,837832,2,21621,12318,2
05-14-21,857650,836,707161,585,150489,251,814591,7013633,7828224,12102,10,12322,96,8100,730,837228,10,21619,12316,3
05-13-21,856814,728,706576,480,150238,248,813909,7002213,7816122,12403,7,12312,-159,8004,880,836498,9,21609,12313,3
05-12-21,856086,904,706096,661,149990,243,813348,6990371,7803719,17235,9,12305,-49,8163,944,835618,21,21600,12310,7
05-11-21,855182,853,705435,616,149747,237,812526,6973958,7786484,11479,4,12296,-137,8212,986,834674,25,21579,12303,5
05-10-21,854329,629,704819,373,149510,256,811880,6963125,7775005,7515,16,12292,-575,8349,1188,833688,28,21554,12298,9
05-09-21,853700,376,704446,282,149254,94,811447,6956043,7767490,6855,19,12276,-337,8924,694,832500,18,21526,12289,7
05-08-21,853324,561,704164,395,149160,166,811121,6949514,7760635,10283,0,12257,-77,9261,638,831806,10,21508,12282,7
05-07-21,852763,1036,703769,731,148994,305,810613,6939739,7750352,15003,2,12257,74,9338,960,831168,21,21498,12275,7
05-06-21,851727,791,703038,541,148689,250,809756,6925593,7735349,11578,11,12255,-292,9264,1072,830208,22,21477,12268,8
05-05-21,850936,1209,702497,758,148439,451,809119,6914652,7723771,17618,16,12244,218,9556,975,829136,30,21455,12260,10
05-04-21,849727,854,701739,597,147988,257,808241,6897912,7706153,12167,11,12228,-316,9338,1159,828161,27,21425,12250,9
05-03-21,848873,656,701142,449,147731,207,807547,6886439,7693986,8387,13,12217,-652,9654,1295,827002,27,21398,12241,5
05-02-21,848217,499,700693,373,147524,126,807023,6878576,7685599,7365,1,12204,-230,10306,728,825707,19,21371,12236,10
05-01-21,847718,607,700320,444,147398,163,806582,6871652,7678234,10367,-1,12203,-137,10536,745,824979,21,21352,12226,7
04-30-21,847111,1074,699876,769,147235,305,806079,6861788,7667867,14984,7,12204,2,10673,1065,824234,26,21331,12219,10
04-29-21,846037,1060,699107,695,146930,365,805206,6847677,7652883,14650,9,12197,-102,10671,1153,823169,26,21305,12209,9
04-28-21,844977,1202,698412,864,146565,338,804424,6833809,7638233,20540,17,12188,-88,10773,1273,822016,42,21279,12200,9
04-27-21,843775,1163,697548,711,146227,452,803425,6814268,7617693,13782,8,12171,-79,10861,1234,820743,41,21237,12191,12
04-26-21,842612,1096,696837,714,145775,382,802624,6801287,7603911,9834,11,12163,-369,10940,1454,819509,26,21196,12179,10
04-25-21,841516,553,696123,426,145393,127,801833,6792244,7594077,8248,6,12152,-273,11309,820,818055,25,21170,12169,7
04-24-21,840963,754,695697,566,145266,188,801318,6784511,7585829,13047,0,12146,-176,11582,930,817235,29,21145,12162,7
04-23-21,840209,955,695131,691,145078,264,800670,6772112,7572782,14911,4,12146,-219,11758,1170,816305,22,21116,12155,5
04-22-21,839254,1895,694440,1075,144814,820,799824,6758047,7557871,22085,12,12142,598,11977,1285,815135,30,21094,12150,12
04-21-21,837359,1407,693365,950,143994,457,798632,6737154,7535786,17944,19,12130,141,11379,1247,813850,20,21064,12138,15
