DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-09-21,854360,382,704780,281,149580,101,811583,6956164,7785961,6881,19,12276,-317,9484,680,832600,1,21420,12268,1
05-08-21,853978,572,704499,395,149479,177,811248,6949619,7779080,10286,0,12257,-49,9801,621,831920,0,21419,12267,2
05-07-21,853406,1062,704104,737,149302,325,810742,6939842,7768794,15021,2,12257,112,9850,948,831299,10,21419,12265,4
05-06-21,852344,810,703367,544,148977,266,809880,6925689,7753773,11584,11,12255,-267,9738,1066,830351,13,21409,12261,5
05-05-21,851534,1239,702823,769,148711,470,809241,6914747,7742189,17625,16,12244,254,10005,969,829285,22,21396,12256,8
05-04-21,850295,874,702054,602,148241,272,808361,6898007,7724564,12176,11,12228,-291,9751,1154,828316,23,21374,12248,8
05-03-21,849421,666,701452,451,147969,215,807667,6886526,7712388,8361,13,12217,-637,10042,1290,827162,21,21351,12240,5
05-02-21,848755,507,701001,379,147754,128,807176,6878661,7704027,7368,1,12204,-217,10679,723,825872,17,21330,12235,10
05-01-21,848248,624,700622,450,147626,174,806735,6871736,7696659,10374,-1,12203,-114,10896,739,825149,20,21313,12225,6
04-30-21,847624,1095,700172,775,147452,320,806230,6861871,7686285,14988,7,12204,22,11010,1066,824410,23,21293,12219,8
04-29-21,846529,1062,699397,694,147132,368,805357,6847760,7671297,14655,9,12197,-98,10988,1151,823344,25,21270,12211,9
04-28-21,845467,1204,698703,864,146764,340,804574,6833892,7656642,20559,17,12188,-90,11086,1277,822193,37,21245,12202,9
04-27-21,844263,1165,697839,712,146424,453,803574,6814349,7636083,13789,8,12171,-72,11176,1229,820916,38,21208,12193,12
04-26-21,843098,1094,697127,711,145971,383,802772,6801364,7622294,9838,11,12163,-363,11248,1446,819687,26,21170,12181,10
04-25-21,842004,553,696416,426,145588,127,801981,6792322,7612456,8252,6,12152,-272,11611,819,818241,24,21144,12171,7
04-24-21,841451,754,695990,566,145461,188,801466,6784589,7604204,13052,0,12146,-176,11883,930,817422,29,21120,12164,7
04-23-21,840697,955,695424,691,145273,264,800818,6772190,7591152,14921,4,12146,-213,12059,1164,816492,22,21091,12157,5
04-22-21,839742,1895,694733,1075,145009,820,799973,6758120,7576231,22093,12,12142,600,12272,1283,815328,28,21069,12152,11
04-21-21,837847,1408,693658,951,144189,457,798782,6737225,7554138,17951,19,12130,141,11672,1248,814045,18,21041,12141,15
04-20-21,836439,1113,692707,915,143732,198,797720,6720343,7536187,13993,15,12111,-238,11531,1336,812797,45,21023,12126,7
04-19-21,835326,848,691792,549,143534,299,796735,6707343,7522194,9287,15,12096,-684,11769,1517,811461,35,20978,12119,11
04-18-21,834478,562,691243,480,143235,82,796120,6698675,7512907,8191,17,12081,-161,12453,706,809944,16,20943,12108,10
04-17-21,833916,706,690763,572,143153,134,795541,6691067,7504716,11811,1,12064,-76,12614,781,809238,17,20927,12098,10
04-16-21,833210,4217,690191,3995,143019,222,794870,6679931,7492905,35553,14,12063,3249,12690,954,808457,34,20910,12088,6
04-15-21,828993,1378,686196,1001,142797,377,790169,6649086,7457352,18315,8,12049,158,9441,1212,807503,32,20876,12082,11
04-14-21,827615,1807,685195,1335,142420,472,789061,6631909,7439037,24951,9,12041,650,9283,1148,806291,36,20844,12071,11
04-13-21,825808,1139,683860,706,141948,433,787533,6608497,7414086,10972,10,12032,-95,8633,1224,805143,32,20808,12060,11
04-12-21,824669,1232,683154,882,141515,350,786775,6598285,7403114,9386,7,12022,-150,8728,1375,803919,29,20776,12049,15
04-11-21,823437,655,682272,461,141165,194,785778,6589904,7393728,7671,3,12015,-189,8878,841,802544,21,20747,12034,5
04-10-21,822782,873,681811,606,140971,267,785257,6582757,7386057,12246,8,12012,126,9067,739,801703,22,20726,12029,10
04-09-21,821909,1338,681205,1043,140704,295,784520,6571254,7373811,16498,3,12004,217,8941,1118,800964,35,20704,12019,13
04-08-21,820571,1151,680162,782,140409,369,783373,6555920,7357313,15068,4,12001,-48,8724,1195,799846,22,20669,12006,5
04-07-21,819420,1586,679380,1187,140040,399,782483,6541753,7342245,21247,21,11997,331,8772,1234,798651,32,20647,12001,8
04-06-21,817834,1337,678193,883,139641,454,781174,6521826,7320998,14568,9,11976,70,8441,1258,797417,25,20615,11993,5
04-05-21,816497,892,677310,516,139187,376,780166,6508270,7306430,6199,38,11967,-618,8371,1472,796159,41,20590,11988,10
04-04-21,815605,552,676794,415,138811,137,779612,6502626,7300231,9628,7,11929,-261,8989,806,794687,10,20549,11978,16
04-03-21,815053,896,676379,637,138674,259,779111,6493505,7290603,10439,0,11922,9,9250,887,793881,16,20539,11962,14
04-02-21,814157,1067,675742,810,138415,257,778385,6483799,7280164,14208,1,11922,-65,9241,1131,792994,17,20523,11948,11
04-01-21,813090,1255,674932,900,138158,355,777431,6470549,7265956,14425,6,11921,-189,9306,1438,791863,18,20506,11937,7
03-31-21,811835,1871,674032,1198,137803,673,776435,6457128,7251531,22855,11,11915,595,9495,1265,790425,29,20488,11930,11
03-30-21,809964,1193,672834,878,137130,315,775048,6435674,7228676,14249,10,11904,-101,8900,1284,789160,33,20459,11919,9
03-29-21,808771,1192,671956,615,136815,577,774025,6422455,7214427,8859,29,11894,-285,9001,1448,787876,24,20426,11910,6
03-28-21,807579,815,671341,565,136238,250,773284,6414341,7205568,10829,13,11865,-46,9286,848,786428,23,20402,11904,8
03-27-21,806764,814,670776,744,135988,70,772635,6404164,7194739,13035,11,11852,7,9332,796,785580,22,20379,11896,9
03-26-21,805950,998,670032,800,135918,198,771729,6392041,7181704,11735,25,11841,-238,9325,1211,784784,14,20357,11887,15
03-25-21,804952,1145,669232,870,135720,275,770876,6381167,7169969,16364,20,11816,-107,9563,1232,783573,34,20343,11872,6
03-24-21,803807,1610,668362,1279,135445,331,769894,6365810,7153605,21289,4,11796,383,9670,1223,782341,28,20309,11866,6
03-23-21,802197,1173,667083,723,135114,450,768531,6345899,7132316,14500,45,11792,-127,9287,1255,781118,33,20281,11860,11
03-22-21,801024,1267,666360,806,134664,461,767718,6332223,7117816,9722,34,11747,-54,9414,1287,779863,35,20248,11849,13
03-21-21,799757,757,665554,562,134203,195,766788,6323435,7108094,8886,8,11713,-9,9468,758,778576,7,20213,11836,13
03-20-21,799000,755,664992,518,134008,237,766167,6315174,7099208,9704,4,11705,-24,9477,775,777818,17,20206,11823,7
03-19-21,798245,1944,664474,1286,133771,658,765609,6306035,7089504,22157,28,11701,761,9501,1155,777043,32,20189,11816,11
03-18-21,796301,1415,663188,965,133113,450,764192,6285313,7067347,18729,23,11673,278,8740,1114,775888,42,20157,11805,14
03-17-21,794886,1073,662223,825,132663,248,763072,6267718,7048618,15453,8,11650,-81,8462,1146,774774,24,20115,11791,19
03-16-21,793813,1939,661398,1247,132415,692,762172,6253177,7033165,19083,12,11642,727,8543,1200,773628,50,20091,11772,9
03-15-21,791874,903,660151,498,131723,405,760727,6235585,7014082,5284,11,11630,-246,7816,1138,772428,24,20041,11763,8
03-14-21,790971,663,659653,461,131318,202,760179,6230855,7008798,8044,0,11619,-91,8062,754,771290,17,20017,11755,15
03-13-21,790308,1486,659192,800,131116,686,759623,6223370,7000754,16663,-12,11619,602,8153,896,770536,22,20000,11740,12
03-12-21,788822,1115,658392,842,130430,273,758687,6207656,6984091,13885,16,11631,-18,7551,1117,769640,13,19978,11728,19
03-11-21,787707,1368,657550,923,130157,445,757683,6194804,6970206,19262,17,11615,172,7569,1179,768523,15,19965,11709,12
03-10-21,786339,1602,656627,1136,129712,466,756654,6176583,6950944,23713,18,11598,304,7397,1280,767344,30,19950,11697,25
03-09-21,784737,1350,655491,804,129246,546,755377,6154181,6927231,17128,32,11580,-36,7093,1354,766064,24,19920,11672,21
03-08-21,783387,1089,654687,676,128700,413,754427,6138023,6910103,7650,9,11548,-551,7129,1631,764710,15,19896,11651,26
03-07-21,782298,753,654011,473,128287,280,753653,6131151,6902453,7141,4,11539,-198,7680,947,763079,9,19881,11625,24
03-06-21,781545,1237,653538,843,128007,394,753076,6124589,6895312,18302,9,11535,171,7878,1057,762132,20,19872,11601,20
03-05-21,780308,1227,652695,780,127613,447,752049,6107328,6877010,14128,33,11526,-68,7707,1262,761075,14,19852,11581,19
03-04-21,779081,1609,651915,1066,127166,543,751133,6094126,6862882,25316,42,11493,568,7775,999,759813,27,19838,11562,18
03-03-21,777472,1309,650849,883,126623,426,749841,6070119,6837566,18093,23,11451,20,7207,1266,758814,22,19811,11544,23
03-02-21,776163,1553,649966,984,126197,569,748808,6053071,6819473,16005,15,11428,527,7187,1011,757548,32,19789,11521,11
03-01-21,774610,572,648982,361,125628,211,747635,6038244,6803468,3828,10,11413,-433,6660,995,756537,16,19757,11510,15
02-28-21,774038,844,648621,585,125417,259,747237,6034817,6799640,10218,18,11403,-66,7093,892,755542,11,19741,11495,13
02-27-21,773194,1442,648036,858,125158,584,746556,6025289,6789422,18103,16,11385,379,7159,1047,754650,23,19730,11482,16
02-26-21,771752,1133,647178,796,124574,337,745516,6008241,6771319,11970,56,11369,-558,6780,1635,753603,16,19707,11466,11
02-25-21,770619,1685,646382,1178,124237,507,744589,5997205,6759349,22446,55,11313,-100,7338,1730,751968,37,19691,11455,23
02-24-21,768934,1927,645204,1479,123730,448,743232,5976132,6736903,24695,68,11258,-41,7438,1900,750238,39,19654,11432,19
02-23-21,767007,1848,643725,1128,123282,720,741501,5953184,6712208,16958,45,11190,-379,7479,2182,748338,44,19615,11413,21
02-22-21,765159,1064,642597,607,122562,457,740259,5937558,6695250,6163,20,11145,-1276,7858,2320,746156,37,19571,11392,23
02-21-21,764095,872,641990,583,122105,289,739557,5932098,6689087,6864,18,11125,-274,9134,1128,743836,15,19534,11369,30
02-20-21,763223,1368,641407,836,121816,532,738855,5925940,6682223,12473,51,11107,-57,9408,1374,742708,31,19519,11339,20
02-19-21,761855,1009,640571,648,121284,361,737941,5914390,6669750,6669,7,11056,-917,9465,1919,741334,37,19488,11319,29
02-18-21,760846,1491,639923,955,120923,536,737206,5908458,6663081,12992,72,11049,-643,10382,2062,739415,42,19451,11290,30
02-17-21,759355,937,638968,597,120387,340,736125,5896557,6650089,6599,31,10977,-1295,11025,2201,737353,16,19409,11260,38
02-16-21,758418,1237,638371,788,120047,449,735439,5890646,6643490,9895,17,10946,-1246,12320,2466,735152,30,19393,11222,31
02-15-21,757181,780,637583,454,119598,326,734549,5881645,6633595,6234,4,10929,-2029,13566,2805,732686,12,19363,11191,26
02-14-21,756401,1257,637129,901,119272,356,734021,5875946,6627361,13055,31,10925,-354,15595,1580,729881,23,19351,11165,31
02-13-21,755144,1682,636228,1123,118916,559,732972,5863948,6614306,19196,9,10894,15,15949,1658,728301,30,19328,11134,33
02-12-21,753462,1935,635105,1388,118357,547,731637,5846115,6595110,22352,81,10885,-388,15934,2242,726643,21,19298,11101,27
02-11-21,751527,2428,633717,1745,117810,683,730011,5825416,6572758,25293,81,10804,-274,16322,2621,724401,35,19277,11074,35
02-10-21,749099,2153,631972,1528,117127,625,728018,5802130,6547465,24660,100,10723,-569,16596,2622,721780,39,19242,11039,37
02-09-21,746946,2709,630444,1787,116502,922,726242,5779267,6522805,21702,65,10623,-581,17165,3225,719158,57,19203,11002,40
02-08-21,744237,1253,628657,789,115580,464,724105,5759722,6501103,6689,97,10558,-2326,17746,3482,715933,30,19146,10962,36
02-07-21,742984,1357,627868,943,115116,414,723187,5753955,6494414,12790,6,10461,-433,20072,1784,712451,27,19116,10926,26
02-06-21,741627,3669,626925,2599,114702,1070,722145,5742225,6481624,39471,58,10455,1603,20505,2008,710667,44,19089,10900,58
02-05-21,737958,2188,624326,1573,113632,615,718906,5706052,6442153,22775,203,10397,-765,18902,2750,708659,53,19045,10842,50
02-04-21,735770,2904,622753,2085,113017,819,716945,5685273,6419378,32473,169,10194,-540,19667,3275,705909,70,18992,10792,49
02-03-21,732866,3356,620668,2255,112198,1101,714591,5655189,6386905,27544,133,10025,26,20207,3197,702634,88,18922,10743,40
02-02-21,729510,1318,618413,839,111097,479,712016,5630244,6359361,6571,147,9892,-2885,20181,4056,699437,25,18834,10703,43
02-01-21,728192,1692,617574,1052,110618,640,711111,5624587,6352790,8156,103,9745,-1900,23066,3489,695381,50,18809,10660,51
01-31-21,726500,2177,616522,1383,109978,794,709960,5617593,6344634,17567,76,9642,-2,24966,2103,691892,48,18759,10609,48
01-30-21,724323,3528,615139,2949,109184,579,708232,5601783,6327067,38155,113,9566,807,24968,2608,689789,51,18711,10561,50
01-29-21,720795,1776,612190,1244,108605,532,704705,5567202,6288912,13920,44,9453,-1894,24161,3626,687181,36,18660,10511,55
01-28-21,719019,3967,610946,2019,108073,1948,703207,5554810,6274992,20493,101,9409,-350,26055,4216,683555,82,18624,10456,70
01-27-21,715052,2734,608927,2070,106125,664,700939,5536615,6254499,20374,154,9308,-1233,26405,3813,679339,60,18542,10386,62
01-26-21,712318,3144,606857,2324,105461,820,698650,5518546,6234125,22575,192,9154,-1939,27638,4891,675526,72,18482,10324,82
01-25-21,709174,1829,604533,1228,104641,601,696056,5498594,6211550,11679,111,8962,-3556,29577,5274,670635,52,18410,10242,76
01-24-21,707345,1603,603305,1312,104040,291,694678,5488331,6199871,13265,40,8851,-1654,33133,3217,665361,40,18358,10166,82
01-23-21,705742,4492,601993,3173,103749,1319,693156,5476609,6186606,38214,42,8811,1101,34787,3349,662144,88,18318,10084,73
01-22-21,701250,2642,598820,1970,102430,672,689106,5442490,6148392,21654,93,8769,-2521,33686,5070,658795,52,18230,10011,74
01-21-21,698608,4724,596850,3519,101758,1205,686823,5423148,6126738,31156,128,8676,-1943,36207,6539,653725,82,18178,9937,107
01-20-21,693884,3126,593331,2105,100553,1021,682871,5395982,6095582,19992,86,8548,-2751,38150,5791,647186,57,18096,9830,87
01-19-21,690758,4785,591226,2779,99532,2006,680423,5378453,6075590,22890,40,8462,-3143,40901,7888,641395,111,18039,9743,99
01-18-21,685973,1618,588447,1068,97526,550,677098,5358918,6052700,7872,39,8422,-7206,44044,8785,633507,42,17928,9644,80
01-17-21,684355,2569,587379,1875,96976,694,676007,5352146,6044828,15287,36,8383,-1874,51250,4407,624722,52,17886,9564,90
01-16-21,681786,6938,585504,5349,96282,1589,673939,5338957,6029541,46178,44,8347,1321,53124,5573,620315,122,17834,9474,89
01-15-21,674848,2763,580155,1815,94693,948,667417,5299354,5983363,14637,79,8303,-665,51803,3349,614742,58,17712,9385,90
01-14-21,672085,6160,578340,4798,93745,1362,665440,5286749,5968726,37467,84,8224,-278,52468,6354,611393,98,17654,9295,106
