DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-20-21,860084,562,708834,383,151250,179,816678,7082590,7899268,24095,16,12380,-207,6470,753,841234,4,21752,12370,4
05-19-21,859522,645,708451,464,151071,181,816201,7058972,7875173,13956,11,12364,-175,6677,809,840481,14,21748,12366,5
05-18-21,858877,575,707987,391,150890,184,815649,7045568,7861217,10647,14,12353,-269,6852,830,839672,16,21734,12361,4
05-17-21,858302,661,707596,390,150706,271,815208,7035362,7850570,9141,12,12339,-310,7121,959,838842,17,21718,12357,9
05-16-21,857641,277,707206,201,150435,76,814741,7026688,7841429,5296,4,12327,-252,7431,525,837883,13,21701,12348,8
05-15-21,857364,399,707005,290,150359,109,814487,7021646,7836133,8616,1,12323,-218,7683,616,837358,11,21688,12340,4
05-14-21,856965,811,706715,580,150250,231,814099,7013418,7827517,12088,10,12322,69,7901,732,836742,24,21677,12336,11
05-13-21,856154,711,706135,469,150019,242,813427,7002002,7815429,12396,7,12312,-175,7832,879,836010,13,21653,12325,5
05-12-21,855443,898,705666,660,149777,238,812872,6990161,7803033,17229,9,12305,-35,8007,924,835131,29,21640,12320,8
05-11-21,854545,847,705006,619,149539,228,812056,6973748,7785804,11469,4,12296,-140,8042,983,834207,27,21611,12312,6
05-10-21,853698,629,704387,376,149311,253,811419,6962916,7774335,7515,16,12292,-568,8182,1181,833224,30,21584,12306,10
05-09-21,853069,376,704011,283,149058,93,810985,6955835,7766820,6855,19,12276,-331,8750,688,832043,18,21554,12296,7
05-08-21,852693,559,703728,394,148965,165,810659,6949306,7759965,10282,0,12257,-83,9081,642,831355,12,21536,12289,8
05-07-21,852134,1036,703334,734,148800,302,810152,6939531,7749683,14997,2,12257,74,9164,960,830713,24,21524,12281,7
05-06-21,851098,789,702600,542,148498,247,809301,6925385,7734686,11573,11,12255,-292,9090,1070,829753,23,21500,12274,9
05-05-21,850309,1208,702058,759,148251,449,808668,6914445,7723113,17611,16,12244,228,9382,964,828683,34,21477,12265,11
05-04-21,849101,853,701299,597,147802,256,807797,6897705,7705502,12167,11,12228,-300,9154,1142,827719,29,21443,12254,9
05-03-21,848248,656,700702,450,147546,206,807103,6886232,7693335,8386,13,12217,-629,9454,1272,826577,28,21414,12245,5
