DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-17-21,858804,670,707912,393,150892,277,815687,7035354,7851041,9143,12,12339,-286,7277,944,839188,5,21668,12330,3
05-16-21,858134,279,707519,202,150615,77,815217,7026681,7841898,5296,4,12327,-252,7563,527,838244,7,21663,12327,4
05-15-21,857855,409,707317,289,150538,120,814962,7021640,7836602,8617,1,12323,-201,7815,609,837717,6,21656,12323,3
05-14-21,857446,824,707028,579,150418,245,814574,7013411,7827985,12095,10,12322,81,8016,733,837108,20,21650,12320,5
05-13-21,856622,717,706449,472,150173,245,813898,7001992,7815890,12401,7,12312,-165,7935,875,836375,10,21630,12315,4
05-12-21,855905,905,705977,660,149928,245,813337,6990152,7803489,17235,9,12305,-26,8100,922,835500,25,21620,12311,7
05-11-21,855000,851,705317,616,149683,235,812515,6973739,7786254,11477,4,12296,-139,8126,986,834578,27,21595,12304,5
05-10-21,854149,629,704701,373,149448,256,811870,6962907,7774777,7515,16,12292,-570,8265,1183,833592,29,21568,12299,8
05-09-21,853520,376,704328,282,149192,94,811436,6955826,7767262,6855,19,12276,-334,8835,691,832409,18,21539,12291,7
05-08-21,853144,561,704046,395,149098,166,811110,6949297,7760407,10283,0,12257,-76,9169,637,831718,11,21521,12284,7
05-07-21,852583,1036,703651,731,148932,305,810602,6939522,7750124,15003,2,12257,76,9245,958,831081,21,21510,12277,7
05-06-21,851547,790,702920,541,148627,249,809745,6925376,7735121,11577,11,12255,-290,9169,1069,830123,22,21489,12270,8
05-05-21,850757,1209,702379,758,148378,451,809109,6914435,7723544,17618,16,12244,230,9459,963,829054,31,21467,12262,10
05-04-21,849548,854,701621,597,147927,257,808231,6897695,7705926,12171,11,12228,-308,9229,1151,828091,29,21436,12252,9
05-03-21,848694,656,701024,449,147670,207,807533,6886222,7693755,8387,13,12217,-641,9537,1284,826940,28,21407,12243,5
05-02-21,848038,499,700575,373,147463,126,807009,6878359,7685368,7365,1,12204,-227,10178,725,825656,20,21379,12238,10
05-01-21,847539,607,700202,444,147337,163,806568,6871435,7678003,10367,-1,12203,-136,10405,744,824931,22,21359,12228,7
04-30-21,846932,1074,699758,770,147174,304,806065,6861571,7667636,14984,7,12204,9,10541,1058,824187,27,21337,12221,10
04-29-21,845858,1029,698988,681,146870,348,805192,6847460,7652652,14648,9,12197,-118,10532,1138,823129,26,21310,12211,9
04-28-21,844829,1194,698307,858,146522,336,804411,6833593,7638004,20540,17,12188,-97,10650,1274,821991,43,21284,12202,9
04-27-21,843635,1160,697449,710,146186,450,803412,6814052,7617464,13783,8,12171,-83,10747,1235,820717,42,21241,12193,12
04-26-21,842475,1092,696739,713,145736,379,802611,6801070,7603681,9832,11,12163,-376,10830,1457,819482,26,21199,12181,11
04-25-21,841383,552,696026,425,145357,127,801820,6792029,7593849,8248,6,12152,-274,11206,820,818025,25,21173,12170,7
04-24-21,840831,752,695601,564,145230,188,801305,6784296,7585601,13047,0,12146,-175,11480,927,817205,29,21148,12163,7
04-23-21,840079,955,695037,691,145042,264,800657,6771897,7572554,14911,4,12146,-219,11655,1170,816278,22,21119,12156,5
04-22-21,839124,1849,694346,1039,144778,810,799811,6757832,7557643,22085,12,12142,551,11874,1286,815108,31,21097,12151,12
04-21-21,837275,1393,693307,946,143968,447,798619,6736939,7535558,17944,19,12130,129,11323,1245,813822,21,21066,12139,15
04-20-21,835882,1113,692361,915,143521,198,797557,6720057,7517614,13985,15,12111,-242,11194,1340,812577,45,21045,12124,7
04-19-21,834769,848,691446,549,143323,299,796572,6707057,7503629,9282,15,12096,-681,11436,1514,811237,37,21000,12117,11
04-18-21,833921,562,690897,481,143024,81,795958,6698389,7494347,8187,17,12081,-161,12117,706,809723,16,20963,12106,10
04-17-21,833359,706,690416,574,142943,132,795379,6690781,7486160,11807,1,12064,-77,12278,782,809017,17,20947,12096,10
04-16-21,832653,4217,689842,3995,142811,222,794708,6679645,7474353,35546,14,12063,3247,12355,956,808235,37,20930,12086,6
04-15-21,828436,1377,685847,1000,142589,377,790007,6648800,7438807,18283,8,12049,158,9108,1211,807279,33,20893,12080,12
04-14-21,827059,1807,684847,1337,142212,470,788901,6631623,7420524,24938,9,12041,652,8950,1146,806068,36,20860,12068,11
04-13-21,825252,1139,683510,707,141742,432,787374,6608212,7395586,10970,10,12032,-96,8298,1225,804922,33,20824,12057,11
04-12-21,824113,1232,682803,882,141310,350,786616,6598000,7384616,9378,7,12022,-151,8394,1376,803697,30,20791,12046,15
04-11-21,822881,655,681921,461,140960,194,785619,6589619,7375238,7668,3,12015,-187,8545,839,802321,21,20761,12031,5
04-10-21,822226,873,681460,606,140766,267,785098,6582472,7367570,12240,8,12012,123,8732,742,801482,24,20740,12026,10
04-09-21,821353,1338,680854,1043,140499,295,784361,6570969,7355330,16481,3,12004,214,8609,1121,800740,35,20716,12016,13
04-08-21,820015,1150,679811,782,140204,368,783214,6555635,7338849,15056,4,12001,-50,8395,1196,799619,22,20681,12003,5
04-07-21,818865,1586,679029,1189,139836,397,782325,6541468,7323793,21235,21,11997,328,8445,1237,798423,34,20659,11998,8
04-06-21,817279,1337,677840,884,139439,453,781017,6521541,7302558,14562,9,11976,68,8117,1260,797186,26,20625,11990,5
04-05-21,815942,892,676956,516,138986,376,780010,6507986,7287996,6198,38,11967,-619,8049,1473,795926,42,20599,11985,10
04-04-21,815050,552,676440,415,138610,137,779456,6502342,7281798,9622,7,11929,-262,8668,807,794453,10,20557,11975,16
04-03-21,814498,896,676025,637,138473,259,778955,6493221,7272176,10432,0,11922,9,8930,887,793646,17,20547,11959,14
04-02-21,813602,1067,675388,810,138214,257,778229,6483515,7261744,14204,1,11922,-65,8921,1131,792759,17,20530,11945,11
04-01-21,812535,1254,674578,901,137957,353,777275,6470265,7247540,14416,6,11921,-190,8986,1438,791628,18,20513,11934,7
