DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
05-11-21,855587,869,705617,616,149970,253,812626,6974094,7786720,11557,4,12296,-104,8586,969,834705,10,21515,12287,0
05-10-21,854718,638,705001,375,149717,263,811959,6963204,7775163,7520,16,12292,-564,8690,1186,833736,15,21505,12287,6
05-09-21,854080,377,704626,281,149454,96,811523,6956120,7767643,6857,19,12276,-330,9254,688,832550,16,21490,12281,6
05-08-21,853703,560,704345,394,149358,166,811196,6949590,7760786,10283,0,12257,-72,9584,632,831862,10,21474,12275,5
05-07-21,853143,1042,703951,730,149192,312,810689,6939814,7750503,15007,2,12257,82,9656,958,831230,14,21464,12270,6
05-06-21,852101,791,703221,535,148880,256,809832,6925664,7735496,11579,11,12255,-291,9574,1071,830272,21,21450,12264,7
05-05-21,851310,1213,702686,760,148624,453,809194,6914723,7723917,17619,16,12244,227,9865,970,829201,27,21429,12257,10
05-04-21,850097,855,701926,594,148171,261,808315,6897983,7706298,12167,11,12228,-314,9638,1158,828231,27,21402,12247,9
05-03-21,849242,656,701332,448,147910,208,807621,6886510,7694131,8373,13,12217,-648,9952,1291,827073,24,21375,12238,5
05-02-21,848586,500,700884,373,147702,127,807113,6878645,7685758,7365,1,12204,-226,10600,725,825782,18,21351,12233,10
05-01-21,848086,621,700511,448,147575,173,806672,6871721,7678393,10368,-1,12203,-122,10826,744,825057,20,21333,12223,6
04-30-21,847465,1095,700063,775,147402,320,806169,6861856,7668025,14984,7,12204,23,10948,1065,824313,25,21313,12217,9
04-29-21,846370,1062,699288,694,147082,368,805296,6847745,7653041,14651,9,12197,-98,10925,1151,823248,26,21288,12208,9
04-28-21,845308,1203,698594,863,146714,340,804513,6833877,7638390,20541,17,12188,-87,11023,1273,822097,40,21262,12199,9
04-27-21,844105,1164,697731,712,146374,452,803514,6814335,7617849,13783,8,12171,-77,11110,1233,820824,40,21222,12190,12
04-26-21,842941,1095,697019,711,145922,384,802713,6801353,7604066,9833,11,12163,-364,11187,1448,819591,26,21182,12178,10
04-25-21,841846,553,696308,426,145538,127,801922,6792311,7594233,8248,6,12152,-273,11551,820,818143,25,21156,12168,7
04-24-21,841293,754,695882,566,145411,188,801407,6784578,7585985,13047,0,12146,-176,11824,930,817323,29,21131,12161,7
04-23-21,840539,955,695316,691,145223,264,800759,6772179,7572938,14915,4,12146,-216,12000,1167,816393,22,21102,12154,5
04-22-21,839584,1895,694625,1075,144959,820,799914,6758109,7558023,22086,12,12142,602,12216,1281,815226,29,21080,12149,11
04-21-21,837689,1408,693550,951,144139,457,798723,6737214,7535937,17944,19,12130,141,11614,1248,813945,19,21051,12138,15
04-20-21,836281,1113,692599,915,143682,198,797661,6720332,7517993,13985,15,12111,-240,11473,1338,812697,45,21032,12123,7
04-19-21,835168,848,691684,549,143484,299,796676,6707332,7504008,9283,15,12096,-683,11713,1516,811359,35,20987,12116,11
04-18-21,834320,562,691135,480,143185,82,796061,6698664,7494725,8187,17,12081,-162,12396,707,809843,16,20952,12105,10
04-17-21,833758,706,690655,573,143103,133,795482,6691056,7486538,11807,1,12064,-77,12558,782,809136,17,20936,12095,10
04-16-21,833052,4217,690082,3995,142970,222,794811,6679920,7474731,35546,14,12063,3247,12635,956,808354,36,20919,12085,6
04-15-21,828835,1377,686087,1000,142748,377,790110,6649075,7439185,18284,8,12049,158,9388,1211,807398,32,20883,12079,11
04-14-21,827458,1807,685087,1335,142371,472,789003,6631898,7420901,24940,9,12041,651,9230,1147,806187,36,20851,12068,11
04-13-21,825651,1139,683752,706,141899,433,787475,6608486,7395961,10970,10,12032,-96,8579,1225,805040,32,20815,12057,11
04-12-21,824512,1232,683046,882,141466,350,786717,6598274,7384991,9378,7,12022,-151,8675,1376,803815,29,20783,12046,15
04-11-21,823280,655,682164,461,141116,194,785720,6589893,7375613,7668,3,12015,-188,8826,840,802439,21,20754,12031,5
04-10-21,822625,873,681703,606,140922,267,785199,6582746,7367945,12240,8,12012,126,9014,739,801599,24,20733,12026,10
