date_stamp,us_county_fips,tn_covid_geo,cnt_total,cnt_total_new,cnt_confirmed,cnt_confirmed_new,cnt_active,cnt_active_new,cnt_hospitalized,cnt_hospitalized_new,cnt_recovered,cnt_recovered_new,cnt_death,cnt_death_new,cnt_tested_pos,cnt_tested_neg,cnt_tested,cnt_tested_new
2020-03-05,47187,47187,1,,,,,,,,,,,,,,,
2020-03-06,47187,47187,1,0,,,,,,,,,,,,,,
2020-03-07,47187,47187,1,0,,,,,,,,,,,,,,
2020-03-08,47037,47037,1,,,,,,,,,,,,,,,
2020-03-08,47157,47157,1,,,,,,,,,,,,,,,
2020-03-08,47187,47187,1,0,,,,,,,,,,,,,,
2020-03-09,47037,47037,1,0,,,,,,,,,,,,,,
2020-03-09,,47PEN,1,,,,,,,,,,,,,,,
2020-03-09,47157,47157,1,0,,,,,,,,,,,,,,
2020-03-09,47187,47187,1,0,,,,,,,,,,,,,,
2020-03-10,47037,47037,2,1,,,,,,,,,,,,,,
2020-03-10,47157,47157,1,0,,,,,,,,,,,,,,
2020-03-10,47163,47163,1,,,,,,,,,,,,,,,
2020-03-10,47187,47187,3,2,,,,,,,,,,,,,,
2020-03-11,47163,47163,1,0,,,,,,,,,,,,,,
2020-03-11,47187,47187,5,2,,,,,,,,,,,,,,
2020-03-11,47037,47037,2,0,,,,,,,,,,,,,,
2020-03-11,47157,47157,1,0,,,,,,,,,,,,,,
2020-03-12,47037,47037,6,4,,,,,,,,,,,,,,
2020-03-12,47093,47093,1,,,,,,,,,,,,,,,
2020-03-12,47157,47157,2,1,,,,,,,,,,,,,,
2020-03-12,47163,47163,1,0,,,,,,,,,,,,,,
2020-03-12,47187,47187,8,3,,,,,,,,,,,,,,
2020-03-13,47187,47187,9,1,,,,,,,,,,,,,,
2020-03-13,47163,47163,1,0,,,,,,,,,,,,,,
2020-03-13,47157,47157,2,0,,,,,,,,,,,,,,
2020-03-13,47149,47149,1,,,,,,,,,,,,,,,
2020-03-13,47089,47089,1,,,,,,,,,,,,,,,
2020-03-13,47065,47065,1,,,,,,,,,,,,,,,
2020-03-13,47037,47037,10,4,,,,,,,,,,,,,,
2020-03-13,47093,47093,1,0,,,,,,,,,,,,,,
2020-03-14,47149,47149,1,0,,,,,,,,,,,,,,
2020-03-14,47187,47187,10,1,,,,,,,,,,,,,,
2020-03-14,47163,47163,1,0,,,,,,,,,,,,,,
2020-03-14,47093,47093,1,0,,,,,,,,,,,,,,
2020-03-14,47157,47157,2,0,,,,,,,,,,,,,,
2020-03-14,47065,47065,1,0,,,,,,,,,,,,,,
2020-03-14,47037,47037,14,4,,,,,,,,,,,,,,
2020-03-14,47013,47013,1,,,,,,,,,,,,,,,
2020-03-14,47089,47089,1,0,,,,,,,,,,,,,,
2020-03-15,47187,47187,14,4,,,,,,,,,,,,,,
2020-03-15,47163,47163,1,0,,,,,,,,,,,,,,
2020-03-15,47157,47157,2,0,,,,,,,,,,,,,,
2020-03-15,47149,47149,1,0,,,,,,,,,,,,,,
2020-03-15,47093,47093,1,0,,,,,,,,,,,,,,
2020-03-15,47065,47065,1,0,,,,,,,,,,,,,,
2020-03-15,47037,47037,17,3,,,,,,,,,,,,,,
2020-03-15,47013,47013,1,0,,,,,,,,,,,,,,
2020-03-15,47089,47089,1,0,,,,,,,,,,,,,,
2020-03-16,47187,47187,18,4,,,,,,,,,,,,,,
2020-03-16,47163,47163,1,0,,,,,,,,,,,,,,
2020-03-16,47157,47157,2,0,,,,,,,,,,,,,,
2020-03-16,47149,47149,1,0,,,,,,,,,,,,,,
2020-03-16,47155,47155,1,,,,,,,,,,,,,,,
2020-03-16,47089,47089,1,0,,,,,,,,,,,,,,
