district_id,region_id,school_id,can_submit_covid_data,student_cases,staff_cases,student_cases_prev_week,staff_cases_prev_week,student_cases_inferred,staff_cases_inferred,student_cases_prev_week_inferred,staff_cases_prev_week_inferred,date_stamp,op_model_id,op_has_restrictions,op_restrictions,op_restrictions_end_date,op_last_update,date_cases_updated
TN-00020,8,TN-00020-0078,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0004,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0009,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0010,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0015,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0020,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0025,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0027,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00030,1,TN-00030-0030,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00040,4,TN-00040-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 17:58:50,
TN-00040,4,TN-00040-0006,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 17:59:06,
TN-00040,4,TN-00040-0010,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 17:59:18,
TN-00040,4,TN-00040-0025,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 17:59:30,
TN-00040,4,TN-00040-0030,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 17:59:39,
TN-00050,5,TN-00050-0022,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:51:25,
TN-00050,5,TN-00050-0023,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:55:37,
TN-00050,5,TN-00050-0030,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:56:14,
TN-00050,5,TN-00050-0043,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:56:01,
TN-00050,5,TN-00050-0045,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:56:32,
TN-00050,5,TN-00050-0055,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:56:49,
TN-00050,5,TN-00050-0061,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:57:17,
TN-00050,5,TN-00050-0063,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:57:01,
TN-00050,5,TN-00050-0070,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:57:33,
TN-00050,5,TN-00050-0084,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 14:00:15,
TN-00050,5,TN-00050-0090,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:57:51,
TN-00050,5,TN-00050-0093,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:58:12,
TN-00050,5,TN-00050-0094,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 16:45:30,
TN-00050,5,TN-00050-0095,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:58:30,
TN-00050,5,TN-00050-0110,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:59:04,
TN-00050,5,TN-00050-0123,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:59:24,
TN-00050,5,TN-00050-0125,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:59:42,
TN-00050,5,TN-00050-0138,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:59:59,
TN-00050,5,TN-00050-0145,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 14:00:30,
TN-00050,5,TN-00050-0155,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 14:00:46,
TN-00050,5,TN-00050-0160,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 13:58:45,
TN-00051,5,TN-00051-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00051,5,TN-00051-0006,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-21 15:39:37,
TN-00051,5,TN-00051-0010,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00051,5,TN-00051-0012,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00052,5,TN-00052-0010,1,0,0,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:18,2020-09-28 12:00:18
TN-00052,5,TN-00052-0015,1,0,0,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:25,2020-09-28 12:00:25
TN-00052,5,TN-00052-0018,1,0,0,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:41,2020-09-28 12:00:41
TN-00052,5,TN-00052-0020,1,0,<5,,,0,5,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:32,2020-09-28 12:00:32
TN-00052,5,TN-00052-0025,1,0,0,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:46,2020-09-28 12:00:46
TN-00052,5,TN-00052-0030,1,0,0,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:11,2020-09-28 12:00:11
TN-00052,5,TN-00052-0035,1,0,0,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 12:00:01,2020-09-28 12:00:02
TN-00060,7,TN-00060-0010,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-04 18:58:00,
TN-00060,7,TN-00060-0018,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00060,7,TN-00060-0020,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00060,7,TN-00060-0030,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 14:42:56,
TN-00060,7,TN-00060-0040,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:26:58,
TN-00060,7,TN-00060-0050,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:28:59,
TN-00060,7,TN-00060-0053,0,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:29:13,
TN-00060,7,TN-00060-0055,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:29:33,
TN-00060,7,TN-00060-0060,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:29:48,
TN-00060,7,TN-00060-0065,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:29:59,
TN-00060,7,TN-00060-0070,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:30:15,
TN-00060,7,TN-00060-0072,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00060,7,TN-00060-0075,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:30:27,
TN-00060,7,TN-00060-0078,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00060,7,TN-00060-0100,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:26:21,
TN-00060,7,TN-00060-0102,1,,,,,0,0,0,0,2020-10-01 00:00:00,1,0,,,2020-09-14 18:32:11,
TN-00060,7,TN-00060-0105,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00061,7,TN-00061-0010,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:05:47,
TN-00061,7,TN-00061-0012,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:05:58,
TN-00061,7,TN-00061-0018,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:07:02,
TN-00061,7,TN-00061-0020,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:06:11,
TN-00061,7,TN-00061-0021,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:07:10,
TN-00061,7,TN-00061-0022,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:07:16,
TN-00061,7,TN-00061-0025,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:07:24,
