date_stamp,age_group,cnt_confirmed,cnt_confirmed_new,pct_confirmed,pct_confirmed_new,cnt_death,cnt_death_new
2020-04-01,71,175,31,6.0,6.2249,,
2020-04-01,51,456,88,17.0,17.6707,,
2020-04-01,81,79,16,3.0,3.2129,,
2020-04-01,31,426,80,16.0,16.0643,,
2020-04-01,00,33,9,1.0,1.8072,,
2020-04-01,41,471,120,17.0,24.0964,,
2020-04-01,21,637,71,23.0,14.257,,
2020-04-01,11,131,24,5.0,4.8193,,
2020-04-02,61,331,23,12.0,21.2963,,
2020-04-02,00,36,3,1.0,2.7778,,
2020-04-02,11,138,7,5.0,6.4815,,
2020-04-02,21,665,28,23.0,25.9259,,
2020-04-02,31,456,30,16.0,27.7778,,
2020-04-02,41,437,-34,15.0,-31.4815,,
2020-04-02,51,484,28,17.0,25.9259,,
2020-04-02,71,184,9,6.0,8.3333,,
2020-04-02,81,97,18,3.0,16.6667,,
2020-04-02,99,17,-4,1.0,-3.7037,,
2020-04-03,71,196,12,6.0,5.4054,,
2020-04-03,61,359,28,12.0,12.6126,,
2020-04-03,99,15,-2,0.0,-0.9009,,
2020-04-03,81,105,8,3.0,3.6036,,
2020-04-03,51,544,60,18.0,27.027,,
2020-04-03,00,39,3,1.0,1.3514,,
2020-04-03,31,494,38,16.0,17.1171,,
2020-04-03,21,693,28,23.0,12.6126,,
2020-04-03,11,148,10,5.0,4.5045,,
2020-04-03,41,474,37,15.0,16.6667,,
2020-04-04,61,391,32,12.0,12.5984,,
2020-04-04,81,107,2,3.0,0.7874,,
2020-04-04,71,205,9,6.0,3.5433,,
2020-04-04,51,593,49,18.0,19.2913,,
2020-04-04,99,27,12,1.0,4.7244,,
2020-04-04,31,543,49,16.0,19.2913,,
2020-04-04,21,744,51,22.0,20.0787,,
2020-04-04,11,158,10,5.0,3.937,,
2020-04-04,00,43,4,1.0,1.5748,,
2020-04-04,41,510,36,15.0,14.1732,,
2020-04-05,99,24,-3,1.0,-0.9615,,
2020-04-05,81,118,11,3.0,3.5256,,
2020-04-05,61,431,40,12.0,12.8205,,
2020-04-05,71,215,10,6.0,3.2051,,
2020-04-05,51,644,51,18.0,16.3462,,
2020-04-05,11,171,13,5.0,4.1667,,
2020-04-05,31,608,65,17.0,20.8333,,
2020-04-05,21,815,71,22.0,22.7564,,
2020-04-05,00,42,-1,1.0,-0.3205,,
2020-04-05,41,565,55,16.0,17.6282,,
2020-04-06,99,27,3,1.0,1.7751,,
2020-04-06,81,122,4,3.0,2.3669,,
2020-04-06,71,232,17,6.0,10.0592,,
2020-04-06,61,454,23,12.0,13.6095,,
2020-04-06,51,679,35,18.0,20.7101,,
2020-04-06,31,627,19,16.0,11.2426,,
2020-04-06,21,846,31,22.0,18.3432,,
2020-04-06,11,183,12,5.0,7.1006,,
2020-04-06,00,45,3,1.0,1.7751,,
2020-04-06,41,587,22,15.0,13.0178,,
2020-04-07,61,508,54,12.0,16.0714,,
2020-04-07,99,22,-5,1.0,-1.4881,,
2020-04-07,81,124,2,3.0,0.5952,,
2020-04-07,71,251,19,6.0,5.6548,,
2020-04-07,51,755,76,18.0,22.619,,
2020-04-07,00,52,7,1.0,2.0833,,
2020-04-07,31,684,57,17.0,16.9643,,
2020-04-07,21,905,59,22.0,17.5595,,
2020-04-07,11,198,15,5.0,4.4643,,
2020-04-07,41,639,52,15.0,15.4762,,
2020-04-08,51,803,48,18.0,21.4286,,
2020-04-08,81,143,19,3.0,8.4821,,
2020-04-08,71,268,17,6.0,7.5893,,
2020-04-08,61,542,34,12.0,15.1786,,
2020-04-08,99,23,1,1.0,0.4464,,
2020-04-08,41,674,35,15.0,15.625,,
2020-04-08,21,943,38,22.0,16.9643,,
2020-04-08,11,208,10,5.0,4.4643,,
2020-04-08,00,53,1,1.0,0.4464,,
2020-04-08,31,705,21,16.0,9.375,,
2020-04-09,99,22,-1,0.0,-0.3676,0.0,
2020-04-09,81,156,13,3.0,4.7794,30.0,
2020-04-09,71,288,20,6.0,7.3529,24.0,
2020-04-09,61,586,44,13.0,16.1765,23.0,
2020-04-09,51,845,42,18.0,15.4412,9.0,
2020-04-09,41,730,56,16.0,20.5882,5.0,
2020-04-09,31,747,42,16.0,15.4412,1.0,
