date_stamp,cnt_total,cnt_total_new,cnt_confirmed,cnt_confirmed_new,cnt_active,cnt_active_new,cnt_hospitalized,cnt_hospitalized_new,cnt_recovered,cnt_recovered_new,cnt_death,cnt_death_new,cnt_tested_pos,cnt_tested_neg,cnt_tested,cnt_tested_new
2020-03-04,0,,,,,,,,,,,,,,,
2020-03-05,1,1,,,,,,,,,,,,,,
2020-03-06,1,0,,,,,,,,,,,,,,
2020-03-07,1,0,,,,,,,,,,,,,,
2020-03-08,3,2,,,,,,,,,,,,,,
2020-03-09,4,1,,,,,,,,,,,,,,
2020-03-10,7,3,,,,,,,,,,,,,,
2020-03-11,9,2,,,,,,,,,,,,,,
2020-03-12,18,9,,,,,,,,,,,,,,
2020-03-13,26,8,,,,,,,,,,,,,,
2020-03-14,32,6,,,,,,,,,,,,,,
2020-03-15,39,7,,,,,,,,,,,,,,
2020-03-16,52,13,,,,,,,,,,,,,,
2020-03-17,73,21,,,,,,,,,,,,,,
2020-03-18,98,25,,,,,,,,,,,,,,
2020-03-19,154,56,,,,,,,,,,,,,,
2020-03-20,228,74,,,,,,,,,,,,,,
2020-03-21,371,143,,,,,,,,,,,,,,
2020-03-22,505,134,,,,,,,,,,,,,,
2020-03-23,615,110,,,,,,,,,,,,,,
2020-03-24,667,52,,,,,,,,,,,,,,
2020-03-25,784,117,,,,,,,,,,,,,,
2020-03-26,957,173,,,,,,,,,,,,,,
2020-03-27,1203,246,,,,,,,,,,,,,,
2020-03-28,1373,170,,,,,,,,,,,,,,
2020-03-29,1537,164,,,,,,,,,,,,,,
2020-03-30,1834,297,,,,,,,,,,,,,,
2020-03-31,2239,405,,,,,,,,,,,,,,
2020-04-01,2683,444,,,,,,,,,,,,,,
2020-04-02,2845,162,,,,,,,,,,,,,,
2020-04-03,3067,222,,,,,,,,,,,,,,
2020-04-04,3321,254,,,,,,,,,,,,,,
2020-04-05,3633,312,,,,,,,,,,,,,,
2020-04-06,3802,169,,,,,,,,,,,,,,
2020-04-07,4138,336,,,,,,,,,,,,,,
2020-04-08,4362,224,,,,,,,,,,,,,,
2020-04-09,4634,272,,,,,,,,,,,,,,
2020-04-10,4862,228,,,,,,,,,,,,,,
2020-04-11,5114,252,,,,,,,,,,,,,,
2020-04-12,5308,194,,,,,,,,,,,,,,
2020-04-13,5610,302,,,,,,,,,,,,,,
2020-04-14,5823,213,,,,,,,,,,,,,,
2020-04-15,6079,256,,,,,,,,,,,,,,
2020-04-16,6262,183,,,,,,,,,,,,,,
2020-04-17,6589,327,,,,,,,,,,,,,,
2020-04-18,6762,173,,,,,,,,,,,,,,
2020-04-19,7070,308,,,,,,,,,,,,,,
2020-04-20,7238,168,,,,,,,,,,,,,,
2020-04-21,7394,156,,,,,,,,,,,,,,
2020-04-22,7842,448,,,,,,,,,,,,,,
2020-04-23,8266,424,,,,,,,,,,,,,,
2020-04-24,8726,460,,,,,,,,,,,,,,
2020-04-25,9189,463,,,,,,,,,,,,,,
2020-04-26,9667,478,,,,,,,,,,,,,,
2020-04-27,9918,251,,,,,,,,,,,,,,
2020-04-28,10052,134,,,,,,,,,,,,,,
2020-04-29,10366,314,,,,,,,,,,,,,,
2020-04-30,10735,369,,,,,,,,,,,,,,
2020-05-01,11891,1156,,,,,,,,,,,,,,
2020-05-02,12661,770,,,,,,,,,,,,,,
2020-05-03,13177,516,,,,,,,,,,,,,,
2020-05-04,13502,325,,,,,,,,,,,,,,
2020-05-05,13624,122,,,,,,,,,,,,,,
2020-05-06,13938,314,,,,,,,,,,,,,,
2020-05-07,14096,158,,,,,,,,,,,,,,
2020-05-08,14441,345,,,,,,,,,,,,,,
2020-05-09,14768,327,,,,,,,,,,,,,,
2020-05-10,14985,217,,,,,,,,,,,,,,
2020-05-11,15544,559,,,,,,,,,,,,,,
2020-05-12,16110,566,,,,,,,,,,,,,,
2020-05-13,16370,260,,,,,,,,,,,,,,
2020-05-14,16699,329,,,,,,,,,,,,,,
2020-05-15,16970,271,,,,,,,,,,,,,,
2020-05-16,17288,318,,,,,,,,,,,,,,
2020-05-17,17388,100,,,,,,,,,,,,,,
2020-05-18,18011,623,,,,,,,,,,,,,,
2020-05-19,18378,367,,,,,,,,,,,,,,
2020-05-20,18532,154,,,,,,,,,,,,,,
2020-05-21,18961,429,,,,,,,,,,,,,,
2020-05-22,19394,433,,,,,,,,,,,,,,
2020-05-23,19789,395,,,,,,,,,,,,,,
2020-05-24,20145,356,,,,,,,,,,,,,,
2020-05-25,20607,462,,,,,,,,,,,,,,
2020-05-26,20965,358,,,,,,,,,,,,,,
2020-05-27,21306,341,,,,,,,,,,,,,,
2020-05-28,21679,373,,,,,,,,,,,,,,
2020-05-29,22085,406,,,,,,,,,,,,,,
2020-05-30,22566,481,,,,,,,,,,,,,,
2020-05-31,23006,440,23006,,7342,,1750,,15300,,364,,23006,412971,435977,
