date_stamp,resource_type,cnt_used,cnt_capacity,cnt_available,pct_used,pct_available
2020-07-12,2,98,242,144,40.50,59.50
2020-07-13,0,2534,3186,652,79.50,20.50
2020-07-13,1,251,272,21,92.30,7.70
2020-07-13,2,98,242,144,40.50,59.50
2020-07-14,0,2534,3186,652,79.50,20.50
2020-07-14,1,251,272,21,92.30,7.70
2020-07-14,2,98,242,144,40.50,59.50
2020-07-15,0,2496,3186,690,78.30,21.70
2020-07-15,1,248,272,24,91.20,8.80
2020-07-15,2,108,242,134,44.60,55.40
2020-07-16,0,2496,3186,690,78.30,21.70
2020-07-16,1,248,272,24,91.20,8.80
2020-07-16,2,108,242,134,44.60,55.40
2020-07-17,0,2496,3186,690,78.30,21.70
2020-07-17,1,248,272,24,91.20,8.80
2020-07-17,2,108,242,134,44.60,55.40
2020-07-18,0,2496,3186,690,78.30,21.70
2020-07-18,1,248,272,24,91.20,8.80
2020-07-18,2,108,242,134,44.60,55.40
2020-07-19,0,2496,3186,690,78.30,21.70
2020-07-19,1,248,272,24,91.20,8.80
2020-07-19,2,108,242,134,44.60,55.40
2020-07-20,0,2496,3186,690,78.30,21.70
2020-07-20,1,248,272,24,91.20,8.80
2020-07-20,2,108,242,134,44.60,55.40
2020-07-21,0,2496,3186,690,78.30,21.70
2020-07-21,1,248,272,24,91.20,8.80
2020-07-21,2,108,242,134,44.60,55.40
2020-07-22,0,2466,3219,753,76.60,23.40
2020-07-22,1,229,272,43,84.20,15.80
2020-07-22,2,107,246,139,43.50,56.50
2020-07-23,0,2466,3219,753,76.60,23.40
2020-07-23,1,229,272,43,84.20,15.80
2020-07-23,2,107,246,139,43.50,56.50
2020-07-24,0,2466,3219,753,76.60,23.40
2020-07-24,1,229,272,43,84.20,15.80
2020-07-24,2,107,246,139,43.50,56.50
2020-07-25,0,2466,3219,753,76.60,23.40
2020-07-25,1,229,272,43,84.20,15.80
2020-07-25,2,107,246,139,43.50,56.50
2020-07-26,0,2466,3219,753,76.60,23.40
2020-07-26,1,229,272,43,84.20,15.80
2020-07-26,2,107,246,139,43.50,56.50
2020-07-27,0,2466,3219,753,76.60,23.40
2020-07-27,1,229,272,43,84.20,15.80
2020-07-27,2,107,246,139,43.50,56.50
2020-07-28,0,2466,3219,753,76.60,23.40
2020-07-28,1,229,272,43,84.20,15.80
2020-07-28,2,107,246,139,43.50,56.50
2020-07-29,0,2126,3106,980,68.40,31.60
2020-07-29,1,215,272,57,79.00,21.00
2020-07-29,2,93,250,157,37.20,62.80
2020-07-30,0,2126,3106,980,68.40,31.60
2020-07-30,1,215,272,57,79.00,21.00
2020-07-30,2,93,250,157,37.20,62.80
2020-07-31,0,2126,3106,980,68.40,31.60
2020-07-31,1,215,272,57,79.00,21.00
2020-07-31,2,93,250,157,37.20,62.80
2020-08-01,0,2126,3106,980,68.40,31.60
2020-08-01,1,215,272,57,79.00,21.00
2020-08-01,2,93,250,157,37.20,62.80
2020-08-02,0,2126,3106,980,68.40,31.60
2020-08-02,1,215,272,57,79.00,21.00
2020-08-02,2,93,250,157,37.20,62.80
2020-08-03,0,2126,3106,980,68.40,31.60
2020-08-03,1,215,272,57,79.00,21.00
2020-08-03,2,93,250,157,37.20,62.80
2020-08-04,0,2126,3106,980,68.40,31.60
2020-08-04,1,215,272,57,79.00,21.00
2020-08-04,2,93,250,157,37.20,62.80
2020-08-05,0,2140,3066,926,69.80,30.20
2020-08-05,1,225,278,53,80.90,19.10
2020-08-05,2,107,249,142,43.00,57.00
2020-08-06,0,2140,3066,926,69.80,30.20
2020-08-06,1,225,278,53,80.90,19.10
2020-08-06,2,107,249,142,43.00,57.00
2020-08-07,0,2140,3066,926,69.80,30.20
2020-08-07,1,225,278,53,80.90,19.10
2020-08-07,2,107,249,142,43.00,57.00
2020-08-08,0,2140,3066,926,69.80,30.20
2020-08-08,1,225,278,53,80.90,19.10
2020-08-08,2,107,249,142,43.00,57.00
2020-08-09,0,2140,3066,926,69.80,30.20
2020-08-09,1,225,278,53,80.90,19.10
2020-08-09,2,107,249,142,43.00,57.00
2020-08-10,0,2140,3066,926,69.80,30.20
2020-08-10,1,225,278,53,80.90,19.10
2020-08-10,2,107,249,142,43.00,57.00
2020-08-11,0,2140,3066,926,69.80,30.20
2020-08-11,1,225,278,53,80.90,19.10
2020-08-11,2,107,249,142,43.00,57.00
2020-08-12,0,2084,3057,973,68.20,31.80
2020-08-12,1,195,278,83,70.10,29.90
2020-08-12,2,80,250,170,32.00,68.00
2020-08-13,0,2084,3057,973,68.20,31.80
2020-08-13,1,195,278,83,70.10,29.90
2020-08-13,2,80,250,170,32.00,68.00
2020-08-14,0,2084,3057,973,68.20,31.80
2020-08-14,1,195,278,83,70.10,29.90
2020-08-14,2,80,250,170,32.00,68.00
