pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
59,British Columbia,Colombie-Britannique,26-02-2020,,7,0.0,0,7,0.0,292,0,0.0,0.0,55.99,0,0.0,0.13,0.0,0,0.0,0.0,62,0,100.0,7,0.13,6,0.12,0,0.0,6,0.12,0,0.0,0.86,0.02,0.0,0.0,0.0
1,Canada,Canada,26-02-2020,,12,0.0,0,12,0.0,292,0,0.0,0.0,7.63,1,8.33,0.03,0.0,0,0.0,0.0,62,0,100.0,12,0.03,8,0.02,0,0.0,8,0.02,0,0.0,1.14,0.0,0.0,0.0,0.0
35,Ontario,Ontario,27-02-2020,,6,0.0,0,6,0.0,0,0,0.0,0.0,0.0,1,16.67,0.04,0.0,0,0.0,0.0,0,0,100.0,6,0.04,3,0.02,0,0.0,3,0.02,0,0.0,0.43,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,27-02-2020,,7,0.0,0,7,0.0,369,0,0.0,0.0,70.76,0,0.0,0.13,0.0,0,0.0,0.0,77,0,100.0,7,0.13,6,0.12,0,0.0,6,0.12,0,0.0,0.86,0.02,0.0,0.0,0.0
1,Canada,Canada,27-02-2020,,13,0.0,0,13,0.0,369,0,0.0,0.0,9.65,1,7.69,0.03,0.0,0,0.0,0.0,77,0,100.0,13,0.03,9,0.02,0,0.0,9,0.02,0,0.0,1.29,0.0,0.0,0.0,0.0
35,Ontario,Ontario,29-02-2020,,8,0.0,0,8,0.0,0,0,0.0,0.0,0.0,2,25.0,0.05,0.0,0,0.0,0.0,0,0,100.0,8,0.05,5,0.03,0,0.0,5,0.03,0,0.0,0.71,0.0,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,29-02-2020,,7,0.0,0,7,0.0,510,0,0.0,0.0,97.8,0,0.0,0.13,0.0,0,0.0,0.0,141,0,100.0,7,0.13,6,0.12,0,0.0,3,0.06,0,0.0,0.43,0.01,0.0,0.0,0.0
1,Canada,Canada,29-02-2020,,15,0.0,0,15,0.0,510,0,0.0,0.0,13.33,2,13.33,0.04,0.0,0,0.0,0.0,141,0,100.0,15,0.04,11,0.03,0,0.0,8,0.02,0,0.0,1.14,0.0,0.0,0.0,0.0
35,Ontario,Ontario,01-03-2020,,15,0.0,0,15,0.0,0,0,0.0,0.0,0.0,7,46.67,0.1,0.0,0,0.0,0.0,0,0,100.0,15,0.1,12,0.08,0,0.0,12,0.08,0,0.0,1.71,0.01,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,01-03-2020,,8,0.0,0,8,0.0,616,0,0.0,0.0,118.13,1,12.5,0.15,0.0,0,0.0,0.0,106,0,100.0,8,0.15,7,0.13,0,0.0,3,0.06,0,0.0,0.43,0.01,0.0,0.0,0.0
24,Quebec,Québec,01-03-2020,,1,0.0,0,1,0.0,19,0,0.0,0.0,2.21,0,0.0,0.01,0.0,0,0.0,0.0,0,0,100.0,1,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Canada,Canada,01-03-2020,,24,0.0,0,24,0.0,635,0,0.0,0.0,16.6,9,37.5,0.06,0.0,0,0.0,0.0,125,0,100.0,24,0.06,20,0.05,0,0.0,16,0.04,0,0.0,2.29,0.01,0.0,0.0,0.0
35,Ontario,Ontario,03-03-2020,,20,0.0,0,20,0.0,0,0,0.0,0.0,0.0,5,25.0,0.13,0.0,0,0.0,0.0,0,0,100.0,20,0.13,17,0.11,0,0.0,17,0.11,0,0.0,2.43,0.02,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,03-03-2020,,12,0.0,0,12,0.0,690,0,0.0,0.0,132.32,4,33.33,0.23,0.0,0,0.0,0.0,74,0,100.0,12,0.23,11,0.21,0,0.0,6,0.12,0,0.0,0.86,0.02,0.0,0.0,0.0
24,Quebec,Québec,03-03-2020,,1,0.0,0,1,0.0,43,0,0.0,0.0,5.0,0,0.0,0.01,0.0,0,0.0,0.0,24,0,100.0,1,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Canada,Canada,03-03-2020,,33,0.0,0,33,0.0,733,0,0.0,0.0,19.17,9,27.27,0.09,0.0,0,0.0,0.0,98,0,100.0,33,0.09,29,0.08,0,0.0,24,0.06,0,0.0,3.43,0.01,0.0,0.0,0.0
