pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numtotal,numtotal_last7,ratecases_total,numconf,numprob,numtests,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
11,Prince Edward Island,Île-du-Prince-Édouard,15-02-2020,7,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,15-02-2020,7,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,15-02-2020,7,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,15-02-2020,7,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,15-02-2020,7,2020,,0,0,,,,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,15-02-2020,7,2020,,7,0,0.02,,,,0,0,0,0,0,3,0,0.01,0,0,0,0,0
59,British Columbia,Colombie-Britannique,22-02-2020,8,2020,1,6,2,0.12,,,,0,0,0,0.04,0,2,0,0.04,0,0.29,0.01,0,0
48,Alberta,Alberta,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Saskatchewan,Saskatchewan,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Manitoba,Manitoba,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,Ontario,22-02-2020,8,2020,1,3,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Quebec,Québec,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,22-02-2020,8,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,22-02-2020,8,2020,,0,0,,,,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,22-02-2020,8,2020,,9,2,0.02,,,,0,0,0,0.01,0,2,0,0.01,0,0.29,0,0,0
59,British Columbia,Colombie-Britannique,29-02-2020,9,2020,1,7,1,0.14,,,,0,0,0,0.02,0,3,0,0.06,0,0.14,0,0,0
48,Alberta,Alberta,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Saskatchewan,Saskatchewan,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Manitoba,Manitoba,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,Ontario,29-02-2020,9,2020,1,8,5,0.05,,,,0,0,0,0.03,0,5,0,0.03,0,0.71,0,0,0
24,Quebec,Québec,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,29-02-2020,9,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,29-02-2020,9,2020,,0,0,,,,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,29-02-2020,9,2020,,15,6,0.04,,,,0,0,0,0.02,0,8,0,0.02,0,0.86,0,0,0
59,British Columbia,Colombie-Britannique,07-03-2020,10,2020,1,27,20,0.52,,,,0,0,0,0.38,0,21,0,0.4,0,2.86,0.05,0,0
48,Alberta,Alberta,07-03-2020,10,2020,1,4,4,0.09,,,,0,0,0,0.09,0,4,0,0.09,0,0.57,0.01,0,0
47,Saskatchewan,Saskatchewan,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Manitoba,Manitoba,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Ontario,Ontario,07-03-2020,10,2020,1,28,20,0.19,,,,0,0,0,0.13,0,25,0,0.17,0,2.86,0.02,0,0
24,Quebec,Québec,07-03-2020,10,2020,1,1,1,0.01,,,,0,0,0,0.01,0,1,0,0.01,0,0.14,0,0,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,07-03-2020,10,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,07-03-2020,10,2020,,0,0,,,,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,07-03-2020,10,2020,,60,45,0.16,,,,0,0,0,0.12,0,51,0,0.13,0,6.43,0.02,0,0
59,British Columbia,Colombie-Britannique,14-03-2020,11,2020,1,64,37,1.23,,,,1,1,0.02,0.71,0.02,57,1,1.09,0.02,5.29,0.1,0.14,0
48,Alberta,Alberta,14-03-2020,11,2020,1,45,41,1.02,,,,0,0,0,0.93,0,45,0,1.02,0,5.9,0.13,0,0
47,Saskatchewan,Saskatchewan,14-03-2020,11,2020,1,2,2,0.17,,,,0,0,0,0.17,0,2,0,0.17,0,0.29,0.02,0,0
46,Manitoba,Manitoba,14-03-2020,11,2020,1,4,4,0.29,,,,0,0,0,0.29,0,4,0,0.29,0,0.57,0.04,0,0
35,Ontario,Ontario,14-03-2020,11,2020,1,79,51,0.53,,,,0,0,0,0.34,0,71,0,0.48,0,7.29,0.05,0,0
24,Quebec,Québec,14-03-2020,11,2020,1,8,6,0.09,,,,0,0,0,0.08,0,8,0,0.09,0,0.93,0.01,0,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,11,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,14-03-2020,11,2020,1,2,2,0.25,,,,0,0,0,0.25,0,2,0,0.25,0,0.29,0.04,0,0
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,11,2020,1,2,2,0.22,,,,0,0,0,0.22,0,2,0,0.22,0,0.31,0.03,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,11,2020,1,1,1,0.35,,,,0,0,0,0.35,0,1,0,0.35,0,0.08,0.05,0,0
60,Yukon,Yukon,14-03-2020,11,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
