hash,date_stamp,datetime_checked,us_state_postal,us_state_fips,cnt_tested_pos,cnt_tested_pos_new,cnt_tested_neg,cnt_tested_neg_new,cnt_tested_pending,cnt_recovered,cnt_death,cnt_death_new,cnt_hospitalized,cnt_hospitalized_new,cnt_hospitalized_current,cnt_icu_current,cnt_icu_total,cnt_vent_current,cnt_vent_total,cnt_tested,cnt_tested_new
00204bcdd1828164f28ff336af010befc611be6f,2020-05-05,2020-05-05 20:00:00,AK,02,371,1,22321,968,,277,9,0,,0,13,,,,,22692,969
cdeeecd2210217b93fc3b08765445de51e2cebcc,2020-05-05,2020-05-05 20:00:00,AL,01,8285,260,98481,3389,,,313,17,1107,43,,,428,,255,106766,3649
3cc9e3312bd3ccab63c4e8b814a946a97f184370,2020-05-05,2020-05-05 20:00:00,AR,05,3496,38,51139,155,,2041,80,-1,453,15,89,,,16,89,54635,193
f94c558e51e8e65ec0f3cabbacdfc175c6c485e1,2020-05-05,2020-05-05 20:00:00,AS,60,0,0,83,0,,,0,0,,0,,,,,,83,0
735adac292a2c990854cd5e5b718e42fe1aa4c45,2020-05-05,2020-05-05 20:00:00,AZ,04,9305,386,78955,2621,,1671,395,33,1397,40,728,303,,185,,88260,3007
d1e1fbebac80a5b1d13fc2900c50bff6c705d793,2020-05-05,2020-05-05 20:00:00,CA,06,56212,1275,723690,30753,,,2317,63,,0,4622,1388,,,,779902,32028
43f0cb7325e1903299a64b9258c10a63681d438e,2020-05-05,2020-05-05 20:00:00,CO,08,16907,272,68097,1642,,2743,851,9,2838,39,834,,,,,85004,1914
3488aabd351aea8585068a7fc27d49d9563f83c8,2020-05-05,2020-05-05 20:00:00,CT,09,30621,1334,78022,4816,,4346,2633,138,7758,0,1500,,,,,108643,6150
a0b3d68c2585ef94d3ddd3c69e2a6042672a2488,2020-05-05,2020-05-05 20:00:00,DC,11,5322,152,19007,382,,667,264,6,,0,447,130,,91,,24329,534
c0c1630758c4164710e71aa3cdb8f4eb34b22f8e,2020-05-05,2020-05-05 20:00:00,DE,10,5371,83,19309,487,,1847,187,5,,0,284,,,,,24680,570
cc9858355edd3f9217a9161416e34034e40cfd24,2020-05-05,2020-05-05 20:00:00,FL,12,37439,542,428252,20879,1265,,1536,113,6546,217,,,,,,465691,21421
5ae5e90907f6431ec82926953cadb35734aae2b1,2020-05-05,2020-05-05 20:00:00,GA,13,29711,343,171172,17215,,,1288,66,5634,108,,,1318,,,200883,17558
da2be305fcb62d71c916f9a592b8d5c52932737e,2020-05-05,2020-05-05 20:00:00,GU,66,149,0,3341,99,,124,5,0,,0,,,,,,3490,99
8776cad44a432b84f7a3c2b78a5f960983b55ef1,2020-05-05,2020-05-05 20:00:00,HI,15,621,1,33378,132,,548,17,0,73,0,,,,,,33999,133
6d9839305f5fb6657d48b48c6a6c63e446cba279,2020-05-05,2020-05-05 20:00:00,IA,19,10111,408,50458,3000,,3572,207,19,,0,407,152,,94,,60569,3408
448b45a6b4659f99f4359f0d2b376f0329445496,2020-05-05,2020-05-05 20:00:00,ID,16,2106,45,28202,456,,1358,64,0,201,1,,,83,,,30308,501
e21339964b8c7a6a92673f5c4e442e0c7cac79d8,2020-05-05,2020-05-05 20:00:00,IL,17,65962,2122,280324,11017,,,2838,176,,0,4780,1266,,780,,346286,13139
24f7f8571c40557ecd256e61727a7a074590bd94,2020-05-05,2020-05-05 20:00:00,IN,18,21033,526,94801,2011,,,1326,62,,0,1537,480,,272,,115834,2537
8ff92e3fe8a630f59bb17426fbbf5e798a9c8376,2020-05-05,2020-05-05 20:00:00,KS,20,5458,213,34634,1276,,296,137,1,566,13,,,212,,95,40092,1489
5bc7150780989d3c773ad0a7b6087632a7c24912,2020-05-05,2020-05-05 20:00:00,KY,21,5245,115,54802,1523,,1892,261,8,1529,10,333,174,659,,,60047,1638
