hash,date_stamp,datetime_checked,us_state_postal,us_state_fips,cnt_tested_pos,cnt_tested_pos_new,cnt_tested_neg,cnt_tested_neg_new,cnt_tested_pending,cnt_recovered,cnt_death,cnt_death_new,cnt_hospitalized,cnt_hospitalized_new,cnt_hospitalized_current,cnt_icu_current,cnt_icu_total,cnt_vent_current,cnt_vent_total,cnt_tested,cnt_tested_new
78605f774dcba587c8b24512354a3830ef3b5e4f,2020-04-30,2020-04-30 20:00:00,AK,02,355,0,18764,0,,252,9,0,,0,19,,,,,19119,0
47546b95299bd673c18e27d5284d7ba75b362464,2020-04-30,2020-04-30 20:00:00,AL,01,7019,177,80177,6570,,,269,24,978,33,,,335,,195,87196,6747
8f880ed4454e1fc3bbeff4b0655314f8878cbe22,2020-04-30,2020-04-30 20:00:00,AR,05,3255,63,45124,2867,,1305,61,2,402,13,95,,,23,85,48379,2930
14c16072106c6d59a534dfcbd590ca14f42e4a7f,2020-04-30,2020-04-30 20:00:00,AS,60,0,0,3,0,17,,0,0,,0,,,,,,3,0
eb3be7d08e6c0e46e5aa79eb92b2da29f2e6dc13,2020-04-30,2020-04-30 20:00:00,AZ,04,7648,446,64138,2527,,1499,320,16,1169,38,755,311,,194,,71786,2973
c7ce1d5139d266f5288852a7459f68b1844f7669,2020-04-30,2020-04-30 20:00:00,CA,06,48917,2417,576420,19781,,,1982,95,,0,4981,1473,,,,625337,22198
a73e7ba81f00367d2f86a71ecffd065d46405bb7,2020-04-30,2020-04-30 20:00:00,CO,08,14758,23,56301,1587,,2415,766,6,2621,11,966,,,,,71059,1610
8c982109251aeeb06276f4d206d17f63e48fd061,2020-04-30,2020-04-30 20:00:00,CT,09,27700,933,69433,1382,,,2257,89,,0,1650,,,,,97133,2315
f83232cd2dc5b3dc946ed4e96bbb47bcbe2b9ee7,2020-04-30,2020-04-30 20:00:00,DC,11,4323,217,15756,633,,660,224,19,,0,,,,,,20079,850
53cb88f60dbb28089a1b59e5e6720bad1632b50c,2020-04-30,2020-04-30 20:00:00,DE,10,4734,79,17086,203,,1275,152,8,,0,296,,,,,21820,282
0ab34c1effbbf79f11fcf5cdbe3bddd988da96c4,2020-04-30,2020-04-30 20:00:00,FL,12,33690,497,348715,8420,1187,,1290,50,5795,171,,,,,,382405,8917
a92f06545bd7268404aa042e63dfc9ac978c167e,2020-04-30,2020-04-30 20:00:00,GA,13,26155,583,122889,4522,,,1120,27,5156,100,,,1171,,,149044,5105
5121c826a9db554e688ff1dae22309e3dea2105d,2020-04-30,2020-04-30 20:00:00,GU,66,146,1,1962,260,,131,5,0,,0,,,,,,2108,261
68f73080c79f2e818df1413c54fd4a538abcd024,2020-04-30,2020-04-30 20:00:00,HI,15,613,4,30027,1018,,516,16,0,69,0,,,,,,30640,1022
d2f338abcdcba2e0fa0f8220d51dcce6426878ef,2020-04-30,2020-04-30 20:00:00,IA,19,7145,302,35522,1028,,2697,162,14,,0,335,121,,86,,42667,1330
